ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-20302282,A,Melastomataceae,,Graffenrieda,,"acida",,"","Markgr.",Synonym,,M,TRO,20302282,568727-1,"Notizbl. Bot. Gart. Berlin-Dahlem","13: 462","462","1937",tro-20303567
tro-20300582,A,Melastomataceae,,Graffenrieda,,"anomala",,"","Triana",Unresolved,,L,TRO,20300582,568728-1,"Trans. Linn. Soc. London","28(1): 71","71","1871",
tro-50306548,A,Melastomataceae,,Graffenrieda,,"barahonensis",,"","Urb.",Unresolved,,L,TRO,50306548,112926-2,"Repert. Spec. Nov. Regni Veg.","17: 161","161","1921",
tro-20302650,A,Melastomataceae,,Graffenrieda,,"bella",,"","Almeda",Accepted,,M,TRO,20302650,277721-2,"Proc. Calif. Acad. Sci., ser. 4,","43(17): 275, f. 3","275","1984",
tro-20303655,A,Melastomataceae,,Graffenrieda,,"boliviensis",,"","Cogn.",Synonym,,M,TRO,20303655,112927-2,"Mem. Torrey Bot. Club","3(3): 28–29","28","1893",tro-20300590
tro-50306596,A,Melastomataceae,,Graffenrieda,,"brachycentra",,"","Griseb.",Synonym,,M,TRO,50306596,568731-1,"Pl. Wright.","1: 186","186","1860",tro-100370346
tro-50306597,A,Melastomataceae,,Graffenrieda,,"brevicalcarata",,"","Markgr.",Unresolved,,L,TRO,50306597,112929-2,"Notizbl. Bot. Gart. Berlin-Dahlem","10: 53","53","1927",
tro-20303747,A,Melastomataceae,,Graffenrieda,,"calyptrelloides",,"","Wurdack",Accepted,,M,TRO,20303747,112930-2,"Phytologia","9(7): 412","412","1964",
tro-20302283,A,Melastomataceae,,Graffenrieda,,"candelabrum",,"","J.F. Macbr.",Synonym,,M,TRO,20302283,112931-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","13(4/1): 321","321","1941",tro-20303755
tro-20300583,A,Melastomataceae,,Graffenrieda,,"caryophyllea",,"","Triana",Accepted,,M,TRO,20300583,568735-1,"Trans. Linn. Soc. London","28(1): 69–70","69","1871",
tro-50172028,A,Melastomataceae,,Graffenrieda,,"caudata",,"","Wurdack",Accepted,,M,TRO,50172028,112932-2,"Mem. New York Bot. Gard.","10(5): 152","152","1964",
tro-50306550,A,Melastomataceae,,Graffenrieda,,"chrysandra",,"","(Griseb.) Triana",Accepted,,M,TRO,50306550,,"Trans. Linn. Soc. London","28: 70","70","1871",
tro-20302284,A,Melastomataceae,,Graffenrieda,,"cinna",,"","J.F. Macbr.",Accepted,,M,TRO,20302284,112933-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","13(4/1): 321","321","1941",
tro-50296353,A,Melastomataceae,,Graffenrieda,,"cinnoides",,"","Gleason",Accepted,,M,TRO,50296353,112934-2,"Mem. New York Bot. Gard.","8: 135","135","1953",
tro-20304142,A,Melastomataceae,,Graffenrieda,,"colombiana",,"","Gleason",Accepted,,M,TRO,20304142,112935-2,"Phytologia","1: 41","41","1933",
tro-20300081,A,Melastomataceae,,Graffenrieda,,"conostegioides",,"","Triana",Accepted,,M,TRO,20300081,568741-1,"Trans. Linn. Soc. London","28(1): 69","69","1871",
tro-50074101,A,Melastomataceae,,Graffenrieda,,"cordifolia",,"","A. H. Liogier",Unresolved,,L,TRO,50074101,,"Contr. Ocas. Mus. Hist. Nat. Colegio ""De La Salle""","14: 1","1","1955",
tro-20303657,A,Melastomataceae,,Graffenrieda,,"cucullata",,"","(Triana) L.O. Williams",Accepted,,M,TRO,20303657,112936-2,"Fieldiana, Bot.","29(10): 563","563","1963",
tro-50296527,A,Melastomataceae,,Graffenrieda,,"curta",,"","Gleason",Synonym,,M,TRO,50296527,112937-2,"Fieldiana, Bot.","28(2): 431","431","1952",tro-20303878
tro-20304126,A,Melastomataceae,,Graffenrieda,,"denticulata",,"","(Gleason) L.O. Williams",Synonym,,M,TRO,20304126,112938-2,"Fieldiana, Bot.","29(10): 563","563","1963",tro-20304124
tro-20300584,A,Melastomataceae,,Graffenrieda,,"emarginata",,"","(Ruiz & Pav.) Triana",Accepted,,M,TRO,20300584,568746-1,"Trans. Linn. Soc. London","28(1): 71","71","1871",
tro-20304111,A,Melastomataceae,,Graffenrieda,,"excelsa",,"","(Bonpl.) DC.",Synonym,,M,TRO,20304111,568747-1,"Prodr.","3: 106","106","1828",tro-20303581
tro-20300585,A,Melastomataceae,,Graffenrieda,,"fantastica",,"","R.E. Schult. & L.B. Sm.",Accepted,,M,TRO,20300585,112939-2,"Bot. Mus. Leafl.","13(10): 306–307, pl. 35–36","306","1949",
tro-20300586,A,Melastomataceae,,Graffenrieda,,"floribunda",,"","Triana",Synonym,,M,TRO,20300586,,"Trans. Linn. Soc. London","28(1): 71, t. 5","71","1871",tro-20300591
tro-20300587,A,Melastomataceae,,Graffenrieda,,"foliosa",,"","Cogn.",Accepted,,M,TRO,20300587,112940-2,"Bot. Jahrb. Syst.","42: 137","137","1908",
tro-20303865,A,Melastomataceae,,Graffenrieda,,"fruticosa",,"","Wurdack",Accepted,,M,TRO,20303865,112941-2,"Mem. New York Bot. Gard.","10: 109","109","1958",
tro-20302651,A,Melastomataceae,,Graffenrieda,,"galeottii",,"","(Naudin) L.O. Williams",Accepted,,M,TRO,20302651,112942-2,"Fieldiana, Bot.","29(10): 563","563","1963",
tro-20303397,A,Melastomataceae,,Graffenrieda,,"gentlei",,"","Lundell",Accepted,,M,TRO,20303397,112943-2,"Wrightia","4(1): 43","43","1968",
tro-100367772,A,Melastomataceae,,Graffenrieda,,"glandulosa",,"","R. Goldenb. & J. Meirelles",Unresolved,,L,TRO,100367772,77113214-1,"Syst. Bot.","36(1): 119, f. 1–3","119","2011",
tro-20300082,A,Melastomataceae,,Graffenrieda,,"gracilis",,"","(Triana) L.O. Williams",Accepted,,M,TRO,20300082,112944-2,"Fieldiana, Bot.","29(10): 564","564","1963",
tro-20303356,A,Melastomataceae,,Graffenrieda,,"grandifolia",,"","Gleason",Unresolved,,L,TRO,20303356,112945-2,"Phytologia","3(7): 352–353","352","1950",
tro-20304141,A,Melastomataceae,,Graffenrieda,,"harlingii",,"","Wurdack",Accepted,,M,TRO,20304141,112946-2,"Phytologia","35(1): 7–8","7","1976",
tro-20303903,A,Melastomataceae,,Graffenrieda,,"hitchcockii",,"","Gleason",Accepted,,M,TRO,20303903,112947-2,"Brittonia","7: 83","83","1950",
tro-20303904,A,Melastomataceae,,Graffenrieda,,"hitchcockii",var.,"parvifolia","Wurdack",Synonym,,L,TRO,20303904,112948-2,"Mem. New York Bot. Gard.","10: 108","108","1958",tro-20303903
tro-20300588,A,Melastomataceae,,Graffenrieda,,"intermedia",,"","Triana",Accepted,,M,TRO,20300588,568758-1,"Trans. Linn. Soc. London","28(1): 71","71","1871",
tro-50162437,A,Melastomataceae,,Graffenrieda,,"irwinii",,"","Wurdack",Accepted,,M,TRO,50162437,112949-2,"Mem. New York Bot. Gard.","10(5): 149","149","1964",
tro-50296319,A,Melastomataceae,,Graffenrieda,,"jauana",,"","Wurdack",Accepted,,M,TRO,50296319,112950-2,"Mem. New York Bot. Gard.","23: 874","874","1972",
tro-50306552,A,Melastomataceae,,Graffenrieda,,"jucunda",,"","(DC.) Mart.",Synonym,,M,TRO,50306552,,"Nov. Gen. Sp. Pl.","3(3): 145–146, t. 276","145","1832",tro-50318518
tro-50249076,A,Melastomataceae,,Graffenrieda,,"kralii",,"","Wurdack",Accepted,,M,TRO,50249076,277722-2,"Mem. New York Bot. Gard.","51: 102","102","1989",
tro-50306553,A,Melastomataceae,,Graffenrieda,,"lanceolata",,"","Gleason",Accepted,,M,TRO,50306553,112951-2,"Fieldiana, Bot.","28: 432","432","1952",
tro-20303943,A,Melastomataceae,,Graffenrieda,,"latifolia",,"","(Naudin) Triana",Accepted,,M,TRO,20303943,1043391-2,"Trans. Linn. Soc. London","28(1): 71","71","1871",
tro-50173395,A,Melastomataceae,,Graffenrieda,,"latifolia",subsp.,"latifolia","",Synonym,,L,TRO,50173395,,"","","","",tro-20303943
tro-20300589,A,Melastomataceae,,Graffenrieda,,"laurina",,"","Triana",Accepted,,M,TRO,20300589,568764-1,"Trans. Linn. Soc. London","28(1): 70–71","70","1871",
tro-20300590,A,Melastomataceae,,Graffenrieda,,"limbata",,"","Triana",Accepted,,M,TRO,20300590,568765-1,"Trans. Linn. Soc. London","28(1): 70","70","1871",
tro-50306586,A,Melastomataceae,,Graffenrieda,,"meridensis",,"","Wurdack",Accepted,,M,TRO,50306586,112953-2,"Acta Bot. Venez.","13(1–4): 138, 1978","138","",
tro-20300591,A,Melastomataceae,,Graffenrieda,,"miconioides",,"","Naudin",Accepted,,M,TRO,20300591,568767-1,"Ann. Sci. Nat., Bot., sér. 3,","18: 118","118","1852",
tro-20302652,A,Melastomataceae,,Graffenrieda,,"micrantha",,"","(Gleason) L.O. Williams",Accepted,,M,TRO,20302652,112954-2,"Fieldiana, Bot.","29(10): 564","564","1963",
tro-50172733,A,Melastomataceae,,Graffenrieda,,"moaensis",,"","Wurdack",Accepted,,M,TRO,50172733,112955-2,"Phytologia","24(3): 197–198","197","1972",
tro-20300592,A,Melastomataceae,,Graffenrieda,,"moritziana",,"","Triana",Accepted,,M,TRO,20300592,568770-1,"Trans. Linn. Soc. London","28(1): 70","70","1871",
tro-20300083,A,Melastomataceae,,Graffenrieda,,"obliqua",,"","Triana",Accepted,,M,TRO,20300083,568771-1,"Trans. Linn. Soc. London","28(1): 71","71","1871",
tro-50236938,A,Melastomataceae,,Graffenrieda,,"obtusa",,"","Griseb.",Synonym,,M,TRO,50236938,568772-1,"Cat. Pl. Cub.","103","103","1866",tro-50318174
tro-50306587,A,Melastomataceae,,Graffenrieda,,"ottoschulzii",,"","(Urb. & Ekman) Urb. & Ekman",Accepted,,M,TRO,50306587,568773-1,"Ark. Bot.","23a(11): 15, pl. 1","15","1931",
tro-50187225,A,Melastomataceae,,Graffenrieda,,"ovalifolia",,"","Naudin",Synonym,,M,TRO,50187225,568774-1,"Ann. Sci. Nat., Bot., sér. 3,","18(2): 117","117","1852",tro-20300600
tro-20300593,A,Melastomataceae,,Graffenrieda,,"parviflora",,"","Cogn.",Synonym,,M,TRO,20300593,112958-2,"Repert. Spec. Nov. Regni Veg.","8: 1–2","1","1910",tro-20300082
tro-20300594,A,Melastomataceae,,Graffenrieda,,"patens",,"","Triana",Accepted,,M,TRO,20300594,568776-1,"Trans. Linn. Soc. London","28(1): 70","70","1871",
tro-50296321,A,Melastomataceae,,Graffenrieda,,"pedunculata",,"","Gleason",Accepted,,M,TRO,50296321,112959-2,"Mem. New York Bot. Gard.","8: 135","135","1953",
tro-20304140,A,Melastomataceae,,Graffenrieda,,"phoenicea",,"","Markgr.",Accepted,,M,TRO,20304140,112960-2,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 377","377","1941",
tro-20303905,A,Melastomataceae,,Graffenrieda,,"polymera",,"","Gleason",Accepted,,M,TRO,20303905,112961-2,"Bull. Torrey Bot. Club","58: 420","420","1931",
tro-50249068,A,Melastomataceae,,Graffenrieda,,"polymera",subsp.,"polymera","",Synonym,,L,TRO,50249068,,"","","","",tro-20303905
tro-50180326,A,Melastomataceae,,Graffenrieda,,"reticulata",,"","Wurdack",Accepted,,M,TRO,50180326,112963-2,"Mem. New York Bot. Gard.","10: 110","110","1958",
