ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-96283,A,Myrtaceae,,Harmogia,,"baueriana",,"","Schauer",Synonym,,H,WCSP,96283,,"Linnaea","17: 238","","1843",kew-96288
kew-96284,A,Myrtaceae,,Harmogia,,"corynophylla",,"","F.Muell.",Synonym,,H,WCSP,96284,596770-1,"Fragm.","2: 30","","1860",kew-19165
kew-96285,A,Myrtaceae,,Harmogia,,"crenulata",,"","Miq.",Synonym,,H,WCSP,96285,596771-1,"Ned. Kruidk. Arch.","4: 148","","1856",kew-374160
kew-96286,A,Myrtaceae,,Harmogia,,"crispiflora",,"","F.Muell.",Synonym,,H,WCSP,96286,596772-1,"Fragm.","2: 31","","1860",kew-19174
kew-96287,A,Myrtaceae,,Harmogia,,"cunninghamii",,"","Schauer",Synonym,,H,WCSP,96287,,"Linnaea","17: 238","","1843",kew-374149
kew-96288,A,Myrtaceae,,Harmogia,,"densifolia",,"","(Sm.) Schauer",Accepted,,H,WCSP,96288,596774-1,"Linnaea","17: 238","","1843",
kew-96289,A,Myrtaceae,,Harmogia,,"leptophylla",,"","Turcz.",Synonym,,H,WCSP,96289,596775-1,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","10: 330","","1852",kew-19222
kew-96290,A,Myrtaceae,,Harmogia,,"ovalifolia",,"","F.Muell.",Synonym,,H,WCSP,96290,596776-1,"Fragm.","2: 32","","1860",kew-19246
kew-96291,A,Myrtaceae,,Harmogia,,"parviflora",,"","Turcz.",Unresolved,,L,WCSP,96291,596777-1,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","10: 330","","1852",
kew-96292,A,Myrtaceae,,Harmogia,,"parvula",,"","Schauer",Synonym,,H,WCSP,96292,596778-1,"Linnaea","17: 238","","1843",kew-374154
kew-96293,A,Myrtaceae,,Harmogia,,"pentandra",,"","F.Muell.",Synonym,,H,WCSP,96293,596779-1,"Fragm.","2: 31","","1860",kew-19253
kew-96294,A,Myrtaceae,,Harmogia,,"pinifolia",,"","(Labill.) Schauer",Synonym,,H,WCSP,96294,596780-1,"Linnaea","17: 238","","1843",kew-374158
kew-96295,A,Myrtaceae,,Harmogia,,"propinqua",,"","Schauer",Synonym,,H,WCSP,96295,,"Linnaea","17: 238","","1843",kew-96288
kew-96296,A,Myrtaceae,,Harmogia,,"serpyllifolia",,"","Turcz.",Synonym,,H,WCSP,96296,596782-1,"Bull. Cl. Phys.-Math. Acad. Imp. Sci. Saint-Pétersbourg","10: 330","","1852",kew-19271
kew-96297,A,Myrtaceae,,Harmogia,,"umbellata",,"","F.Muell.",Synonym,,H,WCSP,96297,596783-1,"Fragm.","2: 31","","1860",kew-374154
kew-96298,A,Myrtaceae,,Harmogia,,"virgata",,"","(J.R.Forst. & G.Forst.) Schauer",Synonym,,H,WCSP,96298,596784-1,"Linnaea","17: 238","","1843",kew-374154
