ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2842011,A,Olacaceae,,Heisteria,,"acuminata",,"","(Humb. & Bonpl.) Engl.",Accepted,,M,WCSP (in review),,70029599-1,"Fl. Bras.","12(2): 14","","1872",
tro-50203743,A,Olacaceae,,Heisteria,,"acuminata",subsp.,"acuminata","",Synonym,,L,TRO,50203743,,"","","","",kew-2842011
kew-2842014,A,Olacaceae,,Heisteria,,"acuta",,"","Engl.",Synonym,,M,WCSP (in review),,607844-1,"Fl. Bras.","12(2): 21","","1872",kew-2842073
kew-2842015,A,Olacaceae,,Heisteria,,"amazonica",,"","Sleumer",Accepted,,M,WCSP (in review),,118582-2,"Repert. Spec. Nov. Regni Veg.","38: 206","","1935",
tro-50167309,A,Olacaceae,,Heisteria,,"amphoricarpa",,"","(Ducke) Sleumer",Accepted,,L,TRO,50167309,914072-1,"Fl. Neotrop.","38: 49–50, f. 3A–B","49","1984",
kew-2842017,A,Olacaceae,,Heisteria,,"asplundii",,"","Sleumer",Accepted,,M,WCSP (in review),,118584-2,"Fl. Neotrop. Monogr.","38: 48","","1984",
kew-2842018,A,Olacaceae,,Heisteria,,"barbata",,"","Cuatrec.",Accepted,,M,WCSP (in review),,118585-2,"Trop. Woods","101: 26","","1955",
kew-2842019,A,Olacaceae,,Heisteria,,"biflora",,"","Rusby",Synonym,,M,WCSP (in review),,118586-2,"Mem. Torrey Bot. Club","6: 18","","1896",kew-2842068
kew-2842020,A,Olacaceae,,Heisteria,,"blanchetiana",,"","(Engl.) Sleumer",Accepted,,M,WCSP (in review),,914073-1,"Fl. Neotrop. Monogr.","38: 80","","1984",
tro-22900019,A,Olacaceae,,Heisteria,,"brasiliensis",,"","Engl.",Synonym,,M,TRO,22900019,,"Fl. Bras.","12(2): 19, t. 5, f. 3","19","1872",tro-50167483
tro-22900021,A,Olacaceae,,Heisteria,,"brasiliensis",var.,"blanchetiana","Engl.",Synonym,,L,TRO,22900021,118589-2,"Fl. Bras.","12(2): 19, t. 5, f. 3","19","1872",kew-2842020
kew-2842023,A,Olacaceae,,Heisteria,,"burchellii",,"","Hochr.",Synonym,,M,WCSP (in review),,118590-2,"Bull. New York Bot. Gard.","6: 271","","1910",kew-2842011
kew-2842024,A,Olacaceae,,Heisteria,,"caloneura",,"","Sleumer",Synonym,,M,WCSP (in review),,118591-2,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 66","","1934",kew-2842068
tro-22900022,A,Olacaceae,,Heisteria,,"cauliflora",,"","Sm.",Accepted,,M,TRO,22900022,607851-1,"Cycl.","17: Heisteria no. 2","Heisteria no. 2","1819",
tro-22900078,A,Olacaceae,,Heisteria,,"celastrinea",,"","Triana & Planch.",Synonym,,M,TRO,22900078,607852-1,"Ann. Sci. Nat., Bot., sér. 5,","15: 381","381","1872",kew-2842011
tro-22900023,A,Olacaceae,,Heisteria,,"chippiana",,"","Standl.",Synonym,,M,TRO,22900023,118593-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","11(4): 130","130","1932",kew-2842059
kew-2842028,A,Olacaceae,,Heisteria,,"citrifolia",,"","Engl.",Accepted,,M,WCSP (in review),,607854-1,"Fl. Bras.","12(2): 18","","1872",
kew-2842029,A,Olacaceae,,Heisteria,,"coccinea",,"","Jacq.",Accepted,,M,WCSP (in review),,607856-1,"Enum. Syst. Pl.","20","","1760",
kew-2842032,A,Olacaceae,,Heisteria,,"concinna",,"","Standl.",Accepted,,M,WCSP (in review),,118596-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","8: 137","","1930",
kew-2842033,A,Olacaceae,,Heisteria,,"costaricensis",,"","Donn.Sm.",Accepted,,M,WCSP (in review),,118597-2,"Bot. Gaz.","19: 255","","1894",
kew-2842034,A,Olacaceae,,Heisteria,,"crassifolia",,"","Mart. ex Engl.",Unresolved,,L,WCSP (in review),,607860-1,"Fl. Bras.","12(2): 16","","1872",kew-2842068
kew-2842035,A,Olacaceae,,Heisteria,,"cyanocarpa",,"","Poepp.",Synonym,,M,WCSP (in review),,607861-1,"Nov. Gen. Sp. Pl.","3: 35","","1843",kew-2842011
kew-2842036,A,Olacaceae,,Heisteria,,"cyanocarpa",subsp.,"occidentalis","Cuatrec.",Synonym,,L,WCSP (in review),,118599-2,"Brittonia","11: 171","","1959",kew-2842011
kew-2842037,A,Olacaceae,,Heisteria,,"cyathiformis",,"","Little",Accepted,,M,WCSP (in review),,118600-2,"J. Wash. Acad. Sci.","38: 87","","1948",
kew-2842038,A,Olacaceae,,Heisteria,,"densifrons",,"","Engl.",Accepted,,M,WCSP (in review),,607863-1,"Fl. Bras.","12(2): 17","","1872",
kew-2842039,A,Olacaceae,,Heisteria,,"duckei",,"","Sleumer",Accepted,,M,WCSP (in review),,118602-2,"Repert. Spec. Nov. Regni Veg.","38: 207","","1935",
tro-50209325,A,Olacaceae,,Heisteria,,"erythrocarpa",,"","P. Jørg. & C. Ulloa",Accepted,,M,TRO,50209325,70029596-1,"Fl. Ecuador","69: 82, f. 18","82","2002",
kew-2842041,A,Olacaceae,,Heisteria,,"eurycarpa",,"","Standl.",Synonym,,M,WCSP (in review),,118603-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","11: 148","","1936",kew-2842081
kew-2842042,A,Olacaceae,,Heisteria,,"fatoensis",,"","Standl.",Synonym,,M,WCSP (in review),,118604-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","8: 137","","1930",kew-2842081
kew-2842043,A,Olacaceae,,Heisteria,,"flexuosa",,"","Engl.",Synonym,,M,WCSP (in review),,607868-1,"Fl. Bras.","12(2): 17","","1872",kew-2842068
kew-2842044,A,Olacaceae,,Heisteria,,"guianensis",,"","Engl.",Synonym,,M,WCSP (in review),,607869-1,"Fl. Bras.","12(2): 15","","1872",kew-2842029
kew-2842045,A,Olacaceae,,Heisteria,,"heistera",,"","Kuntze",Unresolved,,L,WCSP (in review),,690395-1,"Revis. Gen. Pl.","3(2): 10","","1898",
tro-50167320,A,Olacaceae,,Heisteria,,"huberiana",,"","Sleumer",Accepted,,M,TRO,50167320,297626-2,"Nat. Pflanzenfam. (ed. 2)","16b: 17","17","1935",
kew-2842047,A,Olacaceae,,Heisteria,,"insculpta",,"","Sleumer",Accepted,,M,WCSP (in review),,118607-2,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 65","","1934",
kew-2842048,A,Olacaceae,,Heisteria,,"iquitensis",,"","Sleumer",Synonym,,M,WCSP (in review),,118608-2,"Repert. Spec. Nov. Regni Veg.","38: 207","","1935",kew-2842039
kew-2842049,A,Olacaceae,,Heisteria,,"ixiamensis",,"","Rusby",Synonym,,M,WCSP (in review),,118609-2,"Mem. New York Bot. Gard.","7: 234","","1927",kew-2842011
tro-22900033,A,Olacaceae,,Heisteria,,"kappleri",,"","Sagot ex Engl.",Synonym,,M,TRO,22900033,,"Fl. Bras.","12(2): 14, t. 4, f. 1","14","1872",kew-2716037
tro-22900034,A,Olacaceae,,Heisteria,,"krukovii",,"","A.C. Sm.",Synonym,,M,TRO,22900034,118611-2,"Brittonia","2: 147","147","1936",kew-2842068
kew-2842052,A,Olacaceae,,Heisteria,,"latifolia",,"","Standl.",Accepted,,M,WCSP (in review),,118612-2,"J. Wash. Acad. Sci.","17: 8","","1927",
tro-22900035,A,Olacaceae,,Heisteria,,"laxiflora",,"","Engl.",Accepted,,M,TRO,22900035,607877-1,"Fl. Bras.","12(2): 19","19","1872",
kew-2842054,A,Olacaceae,,Heisteria,,"longifolia",,"","Spruce ex Engl.",Unresolved,,L,WCSP (in review),,118614-2,"Fl. Bras.","12(2): 14","","1872",kew-2770610
kew-2842055,A,Olacaceae,,Heisteria,,"longipes",,"","Standl.",Synonym,,M,WCSP (in review),,118615-2,"J. Wash. Acad. Sci.","17: 8","","1927",kew-2842011
kew-2842056,A,Olacaceae,,Heisteria,,"macrophylla",,"","Oerst.",Accepted,,M,WCSP (in review),,607881-1,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn","1856: 40","","1856",
kew-2842057,A,Olacaceae,,Heisteria,,"maguirei",,"","Sleumer",Accepted,,M,WCSP (in review),,118616-2,"Fl. Neotrop. Monogr.","38: 68","","1984",
kew-2842058,A,Olacaceae,,Heisteria,,"maytenoides",,"","Spruce ex Engl.",Accepted,,M,WCSP (in review),,607882-1,"Fl. Bras.","12(2): 15","","1872",
kew-2842059,A,Olacaceae,,Heisteria,,"media",,"","S.F.Blake",Accepted,,M,WCSP (in review),,118618-2,"Contr. U. S. Natl. Herb.","24: 3","","1922",
kew-2842060,A,Olacaceae,,Heisteria,,"megalophylla",,"","Sleumer",Synonym,,M,WCSP (in review),,118619-2,"Repert. Spec. Nov. Regni Veg.","45: 9","","1938",kew-2842052
tro-22900160,A,Olacaceae,,Heisteria,,"micrantha",,"","Huber",Synonym,,M,TRO,22900160,118620-2,"Bol. Mus. Goeldi Hist. Nat. Ethnogr.","5: 340","340","1909",kew-2842068
tro-22900040,A,Olacaceae,,Heisteria,,"microcalyx",,"","Sagot",Synonym,,M,TRO,22900040,,"Ann. Sci. Nat., Bot., sér. 4,","11: 159","159","1881",kew-2842038
kew-2842064,A,Olacaceae,,Heisteria,,"microcarpa",,"","Spruce ex Engl.",Synonym,,M,WCSP (in review),,607888-1,"Fl. Bras.","12(2): 21","","1872",kew-2842038
tro-50180010,A,Olacaceae,,Heisteria,,"minor",,"","Glaz.",Synonym,,M,TRO,50180010,,"Bull. Soc. Bot. France","52(Me|4m. 3): 308","308","1905",tro-50167483
tro-50260522,A,Polygalaceae,,Heisteria,,"mitior",,"","P.J. Bergius",Synonym,,M,TRO,50260522,690396-1,"Descr. Pl. Cap.","187","187","1767",tro-25900805
kew-2842066,A,Olacaceae,,Heisteria,,"nitida",,"","Engl.",Synonym,,M,WCSP (in review),,607890-1,"Fl. Bras.","12(2): 18","","1872",kew-2842068
kew-2842067,A,Olacaceae,,Heisteria,,"olivae",,"","Steyerm.",Synonym,,M,WCSP (in review),,118624-2,"Bol. Soc. Venez. Ci. Nat.","26: 453","","1966",kew-2842052
kew-2842068,A,Olacaceae,,Heisteria,,"ovata",,"","Benth.",Accepted,,M,WCSP (in review),,607892-1,"Hooker's J. Bot. Kew Gard. Misc.","3: 366","","1851",
tro-50209333,A,Olacaceae,,Heisteria,,"pacifica",,"","P. Jørg. & C. Ulloa",Accepted,,M,TRO,50209333,70029595-1,"Fl. Ecuador","69: 72, f. 16","72","2002",
kew-2842070,A,Olacaceae,,Heisteria,,"pallida",,"","Engl.",Synonym,,M,WCSP (in review),,607893-1,"Fl. Bras.","12(2): 16","","1872",kew-2842011
tro-22900046,A,Olacaceae,,Heisteria,,"paraensis",,"","Huber",Unresolved,,L,TRO,22900046,,"","","","",
tro-22900047,A,Olacaceae,,Heisteria,,"parvicalyx",,"","A.C. Sm.",Synonym,,M,TRO,22900047,118627-2,"Brittonia","2(2): 147","147","1936",kew-2842038
kew-2842072,A,Olacaceae,,Heisteria,,"parvifolia",,"","Sm.",Accepted,,M,WCSP (in review),,607895-1,"Cycl.","17: 3","","1811",
kew-2842073,A,Olacaceae,,Heisteria,,"pentandra",,"","(Benth. ex Reissek) Engl.",Accepted,,M,WCSP (in review),,607896-1,"Fl. Bras.","12(2): 20","","1872",
tro-50167483,A,Olacaceae,,Heisteria,,"perianthomega",,"","(Vell.) Sleumer",Accepted,,M,TRO,50167483,914074-1,"Fl. Neotrop.","38: 76–77","76","1984",
