ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2844848,A,Malvaceae,,Helmiopsis,,"bernieri",,"","(Baill.) Arènes",Accepted,,M,WCSP (in review),,823537-1,"Bull. Mus. Natl. Hist. Nat.","II, 28: 416","","1956",
kew-2844849,A,Malvaceae,,Helmiopsis,,"boivinii",,"","(Baill.) Arènes",Accepted,,M,WCSP (in review),,823538-1,"Bull. Mus. Natl. Hist. Nat.","II, 28: 418","","1956",
kew-2844850,A,Malvaceae,,Helmiopsis,,"calcicola",,"","Arènes",Accepted,,M,WCSP (in review),,823539-1,"Bull. Mus. Natl. Hist. Nat.","II, 28: 418","","1956",
kew-2844851,A,Malvaceae,,Helmiopsis,,"glaberrima",,"","Arènes",Accepted,,M,WCSP (in review),,823540-1,"Bull. Mus. Natl. Hist. Nat.","II, 28: 417","","1956",
kew-2844852,A,Malvaceae,,Helmiopsis,,"hily",,"","Arènes",Accepted,,M,WCSP (in review),,823541-1,"Bull. Mus. Natl. Hist. Nat.","II, 28: 415","","1956",
kew-2844853,A,Malvaceae,,Helmiopsis,,"inversa",,"","H.Perrier",Synonym,,M,WCSP (in review),,830331-1,"Bull. Soc. Bot. France","91: 230","","1945",kew-2844849
kew-2899916,A,Malvaceae,,Helmiopsis,,"polyandra",,"","Appleq.",Accepted,,M,WCSP (in review),,77104859-1,"Ann. Missouri Bot. Gard.","96: 531","","2009",
kew-2844854,A,Malvaceae,,Helmiopsis,,"pseudopopulus",,"","(Baill.) Capuron",Accepted,,M,WCSP (in review),,830332-1,"Notul. Syst. (Paris)","14: 263","","1953",
tro-30401008,A,Malvaceae,,Helmiopsis,,"pseudopopulus",,"","(Baill.) Capuron ex Arènes",Synonym,,M,TRO,30401008,,"Bull. Mus. Natl. Hist. Nat., sér. 2","28: 416","416","1956",kew-2844854
kew-2844855,A,Malvaceae,,Helmiopsis,,"richardii",,"","(Baill.) Capuron",Accepted,,M,WCSP (in review),,830333-1,"Notul. Syst. (Paris)","14: 263","","1953",
tro-30401007,A,Malvaceae,,Helmiopsis,,"richardii",,"","(Baill.) Capuron ex Arènes",Synonym,,M,TRO,30401007,,"Bull. Mus. Natl. Hist. Nat., sér. 2","28: 416","416","1956",kew-2844855
kew-2844856,A,Malvaceae,,Helmiopsis,,"rigida",,"","(Baill.) Dorr",Synonym,,M,WCSP (in review),,1021172-1,"Adansonia","III, 23: 151","","2001",kew-2775175
kew-2844857,A,Malvaceae,,Helmiopsis,,"sphaerocarpa",,"","L.C.Barnett",Accepted,,M,WCSP (in review),,933306-1,"Ann. Missouri Bot. Gard.","74: 450","","1987",
