ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-277608,A,Melanthiaceae,,Heloniopsis,,"acutifolia",,"","Hayata",Synonym,,H,WCSP,277608,536296-1,"Icon. Pl. Formosan.","9: 144","","1920",kew-277618
kew-277609,A,Melanthiaceae,,Heloniopsis,,"arisanensis",,"","Hayata ex Honda",Synonym,,H,WCSP,277609,536297-1,"Bot. & Zool.","6(10): 1679","","1938",kew-277618
kew-277610,A,Melanthiaceae,,Heloniopsis,,"breviscapa",,"","Maxim.",Synonym,,H,WCSP,277610,536298-1,"Bull. Acad. Imp. Sci. Saint-Pétersbourg","11: 435","","1867",kew-310509
kew-312177,A,Melanthiaceae,,Heloniopsis,,"breviscapa",var.,"albiflora","(Honda) H.Hara",Synonym,,L,WCSP,312177,,"J. Jap. Bot.","21: 149","","1947",kew-310506
kew-312178,A,Melanthiaceae,,Heloniopsis,,"breviscapa",subsp.,"breviscapa","",Synonym,,L,WCSP,312178,,"Acta Phytotax. Geobot.","22: 72","","1966",kew-310509
kew-312176,A,Melanthiaceae,,Heloniopsis,,"breviscapa",var.,"flavida","(Nakai) H.Hara",Synonym,,L,WCSP,312176,,"J. Jap. Bot.","21: 149","","1947",kew-310506
kew-310513,A,Melanthiaceae,,Heloniopsis,,"breviscapa",var.,"yakusimensis","(Masam.) H.Hara",Synonym,,L,WCSP,310513,,"J. Jap. Bot.","21: 148","","1947",kew-310509
kew-277611,A,Melanthiaceae,,Heloniopsis,,"grandiflora",,"","Franch. & Sav.",Synonym,,H,WCSP,277611,536299-1,"Enum. Pl. Jap.","2: 88","","1877",kew-277614
kew-277612,A,Melanthiaceae,,Heloniopsis,,"japonica",,"","(Thunb.) Maxim.",Synonym,,H,WCSP,277612,536301-1,"Bull. Acad. Imp. Sci. Saint-Pétersbourg","11: 437","","1867",kew-310509
kew-310508,A,Melanthiaceae,,Heloniopsis,,"japonica",var.,"albiflora","Honda",Synonym,,L,WCSP,310508,,"Bot. & Zool.","6: 1678","","1938",kew-310506
kew-310510,A,Melanthiaceae,,Heloniopsis,,"japonica",var.,"breviscapa","(Maxim.) Honda",Synonym,,L,WCSP,310510,,"Bot. & Zool.","6: 1678","","1938",kew-310509
kew-310505,A,Melanthiaceae,,Heloniopsis,,"japonica",var.,"flavida","Nakai",Synonym,,L,WCSP,310505,,"Bot. Mag. (Tokyo)","47: 243","","1933",kew-310506
kew-311948,A,Melanthiaceae,,Heloniopsis,,"japonica",var.,"grandiflora","(Franch. & Sav.) Nakai",Synonym,,L,WCSP,311948,,"Bot. Mag. (Tokyo)","47: 243","","1933",kew-277614
kew-312174,A,Melanthiaceae,,Heloniopsis,,"japonica",f.,"lateritia","Nakai ex Honda",Synonym,,L,WCSP,312174,,"Bot. & Zool.","6: 1679","","1938",kew-277614
kew-310336,A,Melanthiaceae,,Heloniopsis,,"japonica",var.,"purpurea","Nakai",Synonym,,L,WCSP,310336,,"Bot. Mag. (Tokyo)","47: 243","","1933",kew-277614
kew-311949,A,Melanthiaceae,,Heloniopsis,,"japonica",var.,"sanguinea","Nakai",Synonym,,L,WCSP,311949,,"Bot. Mag. (Tokyo)","47: 243","","1933",kew-277614
kew-310507,A,Melanthiaceae,,Heloniopsis,,"japonica",var.,"tessellata","Honda",Synonym,,L,WCSP,310507,,"Bot. & Zool.","6: 1679","","1938",kew-310506
kew-310511,A,Melanthiaceae,,Heloniopsis,,"japonica",var.,"yakusimensis","Masam.",Synonym,,L,WCSP,310511,,"Mem. Fac. Sci. Taihoku Imp. Univ.","11: 551","","1934",kew-310509
kew-310283,A,Melanthiaceae,,Heloniopsis,,"kawanoi",,"","(Koidz.) Honda",Accepted,,H,WCSP,310283,,"Bot. & Zool.","6: 1680","","1938",
kew-309545,A,Melanthiaceae,,Heloniopsis,,"koreana",,"","Fuse, N.S.Lee & M.N.Tamura",Accepted,,H,WCSP,309545,77063313-1,"Taxon","53: 956","","2004",
kew-310282,A,Melanthiaceae,,Heloniopsis,,"leucantha",,"","(Koidz.) Honda",Accepted,,H,WCSP,310282,,"Bot. & Zool.","6: 1680","","1938",
kew-277613,A,Melanthiaceae,,Heloniopsis,,"nipponica",,"","(Ohwi) Nemoto",Synonym,,H,WCSP,277613,536305-1,"Fl. Japan, Suppl.","1058","","1936",kew-310506
kew-277614,A,Melanthiaceae,,Heloniopsis,,"orientalis",,"","(Thunb.) Tanaka",Accepted,,H,WCSP,277614,536307-1,"Bult. Sci. Fak. Terk. Kjusu Imp. Univ.","1: 200","","1925",
kew-310509,A,Melanthiaceae,,Heloniopsis,,"orientalis",var.,"breviscapa","(Maxim.) Ohwi",Accepted,,L,WCSP,310509,,"Bull. Natl. Sci. Mus. Tokyo","33: 68","","1953",
kew-310506,A,Melanthiaceae,,Heloniopsis,,"orientalis",var.,"flavida","(Nakai) Ohwi",Accepted,,L,WCSP,310506,,"Bull. Natl. Sci. Mus. Tokyo","33: 68","","1953",
kew-312175,A,Melanthiaceae,,Heloniopsis,,"orientalis",f.,"lutea","Mochizuki",Synonym,,L,WCSP,312175,,"J. Geobot.","26: 14","","1978",kew-277614
kew-311950,A,Melanthiaceae,,Heloniopsis,,"orientalis",var.,"orientalis","",Synonym,,L,WCSP,311950,,"Unknown","","","",kew-277614
kew-310337,A,Melanthiaceae,,Heloniopsis,,"orientalis",var.,"purpurea","(Nakai) Nakai",Synonym,,L,WCSP,310337,,"Bull. Natl. Sci. Mus. Tokyo","31: 146","","1952",kew-277614
kew-310512,A,Melanthiaceae,,Heloniopsis,,"orientalis",var.,"yakusimensis","(Masam.) Ohwi",Synonym,,L,WCSP,310512,,"Bull. Natl. Sci. Mus. Tokyo","33: 68","","1953",kew-310509
kew-277615,A,Melanthiaceae,,Heloniopsis,,"pauciflora",,"","A.Gray",Synonym,,H,WCSP,277615,,"Mem. Amer. Acad. Arts","n.s., 6: 416","","1859",kew-277614
kew-277616,A,Melanthiaceae,,Heloniopsis,,"pauciflora",,"","Maxim.",Synonym,Illegitimate,H,WCSP,277616,536309-1,"Bull. Acad. Imp. Sci. Saint-Pétersbourg","11: 436","","1867",kew-310509
kew-312173,A,Melanthiaceae,,Heloniopsis,,"pauciflora",var.,"rubra","Koidz.",Synonym,,L,WCSP,312173,,"Shinano Kyôiku","421: 15","","1921",kew-277614
kew-277617,A,Melanthiaceae,,Heloniopsis,,"taiwaniana",,"","S.S.Ying",Synonym,,H,WCSP,277617,928521-1,"Col. Ill. Fl. Taiwan","1: 222","","1980",kew-277618
kew-309546,A,Melanthiaceae,,Heloniopsis,,"tubiflora",,"","Fuse, N.S.Lee & M.N.Tamura",Accepted,,H,WCSP,309546,,"Taxon","53: 954","","2004",
kew-277618,A,Melanthiaceae,,Heloniopsis,,"umbellata",,"","Baker",Accepted,,H,WCSP,277618,536310-1,"J. Bot.","12: 278","","1874",
