ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-277748,A,Amaryllidaceae,,Hermione,,"aequilimba",,"","Herb.",Synonym,,H,WCSP,277748,64846-1,"Amaryllidaceae","404","","1837",kew-281989
kew-277749,A,Amaryllidaceae,,Hermione,×,"alba",,"","Haw.",Synonym,,H,WCSP,277749,64847-1,"Monogr. Narcissin.","8","","1831",kew-282674
kew-277750,A,Amaryllidaceae,,Hermione,,"ambigena",,"","Salisb.",Synonym,,H,WCSP,277750,64848-1,"Trans. Hort. Soc. London","1: 361","","1812",kew-282289
kew-277751,A,Amaryllidaceae,,Hermione,,"amoena",,"","Jord. & Fourr.",Synonym,,H,WCSP,277751,64849-1,"Brev. Pl. Nov.","2: 117","","1868",kew-282289
kew-277752,A,Amaryllidaceae,,Hermione,,"anceps",,"","(DC.) M.Roem.",Synonym,,H,WCSP,277752,64850-1,"Fam. Nat. Syn. Monogr.","4: 229","","1847",kew-281955
kew-277753,A,Amaryllidaceae,,Hermione,,"angustifolia",,"","M.Roem.",Synonym,Illegitimate,H,WCSP,277753,64851-1,"Fam. Nat. Syn. Monogr.","4: 234","","1847",kew-282063
kew-277754,A,Amaryllidaceae,,Hermione,,"antipolensis",,"","Jord. & Fourr.",Synonym,,H,WCSP,277754,64852-1,"Brev. Pl. Nov.","2: 111","","1868",kew-282289
kew-277755,A,Amaryllidaceae,,Hermione,,"aperticorona",,"","Haw.",Synonym,,H,WCSP,277755,64853-1,"Monogr. Narcissin.","9","","1831",kew-282289
kew-277756,A,Amaryllidaceae,,Hermione,,"auranticorona",,"","Haw.",Synonym,,H,WCSP,277756,64854-1,"Monogr. Narcissin.","11","","1831",kew-282289
kew-277757,A,Amaryllidaceae,,Hermione,,"aurea",,"","Jord. & Fourr.",Synonym,,H,WCSP,277757,64855-1,"Icon. Fl. Eur.","1: 65","","1867",kew-309100
kew-277758,A,Amaryllidaceae,,Hermione,,"autumnalis",,"","(Link) M.Roem.",Synonym,,H,WCSP,277758,64856-1,"Fam. Nat. Syn. Monogr.","4: 231","","1847",kew-282677
kew-277759,A,Amaryllidaceae,,Hermione,,"bertolonii",,"","(Parl.) Jord. & Fourr.",Synonym,,H,WCSP,277759,,"Icon. Fl. Eur.","1: 64","","1867",kew-309100
kew-277760,A,Amaryllidaceae,,Hermione,,"biancae",,"","Tod. ex Reut.",Synonym,,H,WCSP,277760,,"Linnaea","29: 746","","1859",kew-282289
kew-277761,A,Amaryllidaceae,,Hermione,×,"bifrons",,"","Salisb.",Synonym,,H,WCSP,277761,64859-1,"Trans. Hort. Soc. London","1: 359","","1812",kew-282674
kew-277762,A,Amaryllidaceae,,Hermione,,"breviflora",,"","Haw.",Synonym,,H,WCSP,277762,64860-1,"Monogr. Narcissin.","11","","1831",kew-282289
kew-277763,A,Amaryllidaceae,,Hermione,,"brevistyla",,"","Herb.",Synonym,,H,WCSP,277763,64861-1,"Amaryllidaceae","324","","1837",kew-282289
kew-277764,A,Amaryllidaceae,,Hermione,,"callichroa",,"","Jord. & Fourr.",Synonym,,H,WCSP,277764,64862-1,"Brev. Pl. Nov.","2: 119","","1868",kew-282289
kew-277765,A,Amaryllidaceae,,Hermione,,"calliopsis",,"","Jord. & Fourr.",Synonym,,H,WCSP,277765,64863-1,"Brev. Pl. Nov.","2: 117","","1868",kew-282289
kew-277766,A,Amaryllidaceae,,Hermione,,"candida",,"","M.Roem.",Synonym,,H,WCSP,277766,64864-1,"Fam. Nat. Syn. Monogr.","4: 216","","1847",kew-309114
kew-277767,A,Amaryllidaceae,,Hermione,,"candidissima",,"","M.Roem.",Synonym,,H,WCSP,277767,64865-1,"Fam. Nat. Syn. Monogr.","4: 228","","1847",kew-281955
kew-277768,A,Amaryllidaceae,,Hermione,,"cerina",,"","Haw.",Synonym,,H,WCSP,277768,64866-1,"Syn. Pl. Succ.","329","","1812",kew-282289
kew-277769,A,Amaryllidaceae,,Hermione,,"cheiranthea",,"","Jord. & Fourr.",Synonym,,H,WCSP,277769,64867-1,"Brev. Pl. Nov.","2: 117","","1868",kew-282289
kew-277770,A,Amaryllidaceae,,Hermione,,"chlorotica",,"","Jord. & Fourr.",Synonym,,H,WCSP,277770,64868-1,"Brev. Pl. Nov.","2: 116","","1868",kew-309099
kew-277771,A,Amaryllidaceae,,Hermione,,"chrysantha",,"","Haw.",Synonym,,H,WCSP,277771,,"Monogr. Narcissin.","12","","1831",kew-282289
kew-277772,A,Amaryllidaceae,,Hermione,,"citrina",,"","Haw.",Synonym,,H,WCSP,277772,64870-1,"Suppl. Pl. Succ.","141","","1819",kew-282289
kew-277773,A,Amaryllidaceae,,Hermione,×,"compressa",,"","(Haw.) Haw.",Synonym,,H,WCSP,277773,64871-1,"Suppl. Pl. Succ.","139","","1819",kew-282674
kew-277774,A,Amaryllidaceae,,Hermione,,"concolor",,"","M.Roem.",Synonym,,H,WCSP,277774,64872-1,"Fam. Nat. Syn. Monogr.","4: 214","","1847",kew-282111
kew-277775,A,Amaryllidaceae,,Hermione,,"contorta",,"","Jord. & Fourr.",Synonym,,H,WCSP,277775,64873-1,"Brev. Pl. Nov.","2: 113","","1868",kew-282289
kew-277776,A,Amaryllidaceae,,Hermione,,"corcyrensis",,"","Herb.",Synonym,,H,WCSP,277776,,"Amaryllidaceae","323","","1837",kew-309101
kew-277777,A,Amaryllidaceae,,Hermione,,"corrugata",,"","Jord. & Fourr.",Synonym,,H,WCSP,277777,64875-1,"Brev. Pl. Nov.","2: 115","","1868",kew-282289
kew-277778,A,Amaryllidaceae,,Hermione,,"crenularis",,"","Salisb.",Synonym,,H,WCSP,277778,64876-1,"Trans. Hort. Soc. London","1: 363","","1812",kew-282289
kew-277779,A,Amaryllidaceae,,Hermione,,"crenulata",,"","Haw.",Synonym,,H,WCSP,277779,,"Monogr. Narcissin.","10","","1831",kew-282289
kew-277780,A,Amaryllidaceae,,Hermione,,"crispicorona",,"","Haw.",Synonym,,H,WCSP,277780,,"Monogr. Narcissin.","10","","1831",kew-282289
kew-277781,A,Amaryllidaceae,,Hermione,,"croceocincta",,"","(Spach) M.Roem.",Synonym,,L,WCSP,277781,64879-1,"Fam. Nat. Syn. Monogr.","4: 234","","1847",kew-282653
kew-277782,A,Amaryllidaceae,,Hermione,,"cupularis",,"","Salisb.",Synonym,,H,WCSP,277782,64880-1,"Trans. Hort. Soc. London","1: 361","","1812",kew-309100
kew-277783,A,Amaryllidaceae,,Hermione,,"cypri",,"","Haw.",Synonym,,H,WCSP,277783,64881-1,"Philos. Mag. Ann. Chem.","5: 184","","1831",kew-282289
kew-277784,A,Amaryllidaceae,,Hermione,,"debilis",,"","Jord. & Fourr.",Synonym,,H,WCSP,277784,64882-1,"Brev. Pl. Nov.","1: 114","","1866",kew-282289
kew-277785,A,Amaryllidaceae,,Hermione,,"decora",,"","Haw.",Synonym,,H,WCSP,277785,64883-1,"Monogr. Narcissin.","9","","1831",kew-282289
kew-277786,A,Amaryllidaceae,,Hermione,,"deficiens",,"","(Herb.) Kunth",Synonym,,H,WCSP,277786,64884-1,"Enum. Pl.","5: 750","","1850",kew-281989
kew-277787,A,Amaryllidaceae,,Hermione,,"deflexicaulis",,"","Haw.",Synonym,,H,WCSP,277787,64885-1,"Monogr. Narcissin.","9","","1831",kew-282289
kew-277788,A,Amaryllidaceae,,Hermione,,"discolor",,"","Jord. & Fourr.",Synonym,,H,WCSP,277788,,"Brev. Pl. Nov.","2: 111","","1868",kew-282289
kew-277789,A,Amaryllidaceae,,Hermione,,"discreta",,"","Jord. & Fourr.",Synonym,,H,WCSP,277789,64887-1,"Brev. Pl. Nov.","2: 113","","1868",kew-282289
kew-277790,A,Amaryllidaceae,,Hermione,,"dubia",,"","(Gouan) Haw.",Synonym,,H,WCSP,277790,64888-1,"Monogr. Narcissin.","12","","1831",kew-282687
kew-277791,A,Amaryllidaceae,,Hermione,,"elegans",,"","Haw.",Synonym,,H,WCSP,277791,64889-1,"Monogr. Narcissin.","13","","1831",kew-282677
kew-277792,A,Amaryllidaceae,,Hermione,,"erodora",,"","Jord. & Fourr.",Synonym,,H,WCSP,277792,64890-1,"Brev. Pl. Nov.","2: 120","","1868",kew-282289
kew-277793,A,Amaryllidaceae,,Hermione,,"fistulosa",,"","Haw.",Synonym,,H,WCSP,277793,64891-1,"Syn. Pl. Succ.","330","","1812",kew-282289
kew-277794,A,Amaryllidaceae,,Hermione,,"flava",,"","(Lag.) M.Roem.",Synonym,,H,WCSP,277794,64892-1,"Fam. Nat. Syn. Monogr.","4: 220","","1847",kew-282600
kew-277795,A,Amaryllidaceae,,Hermione,,"flaveola",,"","Haw.",Synonym,,H,WCSP,277795,64893-1,"Monogr. Narcissin.","8","","1831",kew-282289
kew-277796,A,Amaryllidaceae,,Hermione,,"flexiflora",,"","Haw.",Synonym,,H,WCSP,277796,64894-1,"Monogr. Narcissin.","10","","1831",kew-282289
kew-277797,A,Amaryllidaceae,,Hermione,,"floribunda",,"","Salisb.",Synonym,,H,WCSP,277797,64895-1,"Trans. Hort. Soc. London","1: 362","","1812",kew-282289
kew-277798,A,Amaryllidaceae,,Hermione,,"floslactis",,"","Haw.",Synonym,,H,WCSP,277798,64896-1,"Monogr. Narcissin.","8","","1831",kew-282289
kew-277799,A,Amaryllidaceae,,Hermione,,"formosa",,"","Jord. & Fourr.",Synonym,,H,WCSP,277799,64897-1,"Brev. Pl. Nov.","2: 115","","1868",kew-282289
kew-277800,A,Amaryllidaceae,,Hermione,,"formosissima",,"","Tod.",Synonym,,H,WCSP,277800,64898-1,"Nuov. Gen. Sp.","29","","1860",kew-282289
kew-277801,A,Amaryllidaceae,,Hermione,,"fulgida",,"","Jord. & Fourr.",Synonym,,H,WCSP,277801,64899-1,"Brev. Pl. Nov.","2: 120","","1868",kew-282289
kew-277802,A,Amaryllidaceae,,Hermione,,"ganymedoides",,"","Jord. & Fourr.",Synonym,,H,WCSP,277802,64900-1,"Brev. Pl. Nov.","2: 113","","1868",kew-282289
kew-277803,A,Amaryllidaceae,,Hermione,×,"gracilis",,"","(Sabine) M.Roem.",Synonym,,H,WCSP,277803,64901-1,"Fam. Nat. Syn. Monogr.","4: 232","","1847",kew-282314
kew-277804,A,Amaryllidaceae,,Hermione,,"grandicrenata",,"","Bianca ex Parl.",Synonym,,H,WCSP,277804,64902-1,"Fl. Ital.","3: 154","","1858",kew-282289
kew-277805,A,Amaryllidaceae,,Hermione,,"grandiflora",,"","Haw.",Synonym,,H,WCSP,277805,64903-1,"Syn. Pl. Succ.","330","","1812",kew-282289
kew-277806,A,Amaryllidaceae,,Hermione,,"hololeuca",,"","Jord. & Fourr.",Synonym,,H,WCSP,277806,64904-1,"Brev. Pl. Nov.","2: 109","","1868",kew-282289
kew-277807,A,Amaryllidaceae,,Hermione,,"homochroa",,"","M.Roem.",Synonym,,H,WCSP,277807,64905-1,"Fam. Nat. Syn. Monogr.","4: 229","","1847",kew-282111
kew-277808,A,Amaryllidaceae,,Hermione,,"insolita",,"","Jord. & Fourr.",Synonym,,H,WCSP,277808,64906-1,"Brev. Pl. Nov.","2: 114","","1868",kew-282289
kew-277809,A,Amaryllidaceae,,Hermione,,"intermedia",,"","Haw.",Synonym,,H,WCSP,277809,64907-1,"Monogr. Narcissin.","7","","1831",kew-282289
kew-277810,A,Amaryllidaceae,,Hermione,,"italica",,"","(Ker Gawl.) Haw.",Synonym,,H,WCSP,277810,64909-1,"Suppl. Pl. Succ.","144","","1819",kew-309099
kew-277811,A,Amaryllidaceae,,Hermione,,"italica",,"","Herb.",Synonym,Illegitimate,H,WCSP,277811,,"Amaryllidaceae","325","","1837",kew-282289
kew-311699,A,Amaryllidaceae,,Hermione,,"italica",var.,"plena","Haw.",Synonym,,L,WCSP,311699,,"Suppl. Pl. Succ.","145","","1819",kew-309099
kew-311698,A,Amaryllidaceae,,Hermione,,"italica",var.,"semiplena","Haw.",Synonym,,L,WCSP,311698,,"Suppl. Pl. Succ.","145","","1819",kew-309099
kew-311697,A,Amaryllidaceae,,Hermione,,"italica",var.,"tenuiflora","Haw.",Synonym,,L,WCSP,311697,,"Suppl. Pl. Succ.","144","","1819",kew-309099
kew-277812,A,Amaryllidaceae,,Hermione,,"jasminea",,"","Salisb.",Synonym,,H,WCSP,277812,64910-1,"Trans. Hort. Soc. London","1: 360","","1812",kew-281955
kew-277813,A,Amaryllidaceae,,Hermione,,"jonquilla",,"","(L.) Haw.",Synonym,,H,WCSP,277813,64911-1,"Suppl. Pl. Succ.","137","","1819",kew-281942
kew-277814,A,Amaryllidaceae,,Hermione,,"jucunda",,"","Jord. & Fourr.",Synonym,,H,WCSP,277814,64912-1,"Brev. Pl. Nov.","2: 115","","1868",kew-282289
kew-277815,A,Amaryllidaceae,,Hermione,,"juncifolia",,"","(Salisb.) Salisb.",Synonym,Illegitimate,H,WCSP,277815,64913-1,"Trans. Hort. Soc. London","1: 357","","1812",kew-281942
kew-277817,A,Amaryllidaceae,,Hermione,,"lacticolor",,"","Haw.",Synonym,,H,WCSP,277817,64915-1,"Brit. Fl. Gard.","4(App.): 10","","1838",kew-309099
kew-277818,A,Amaryllidaceae,,Hermione,,"latifolia",,"","Haw.",Synonym,,H,WCSP,277818,,"Suppl. Pl. Succ.","145","","1819",kew-282289
kew-277819,A,Amaryllidaceae,,Hermione,,"leucojifolia",,"","Salisb.",Synonym,,H,WCSP,277819,64917-1,"Trans. Hort. Soc. London","1: 359","","1812",kew-282289
kew-277820,A,Amaryllidaceae,,Hermione,,"littoralis",,"","Jord. & Fourr.",Synonym,,H,WCSP,277820,64918-1,"Brev. Pl. Nov.","2: 112","","1868",kew-282289
kew-277821,A,Amaryllidaceae,,Hermione,,"lobata",,"","Jord. & Fourr.",Synonym,,H,WCSP,277821,64919-1,"Brev. Pl. Nov.","2: 112","","1868",kew-282289
kew-277822,A,Amaryllidaceae,,Hermione,×,"longiflora",,"","(Willd.) M.Roem.",Synonym,,H,WCSP,277822,64920-1,"Fam. Nat. Syn. Monogr.","4: 218","","1847",kew-282674
kew-277823,A,Amaryllidaceae,,Hermione,,"luna",,"","Haw.",Synonym,,H,WCSP,277823,64921-1,"Suppl. Pl. Succ.","143","","1819",kew-282289
kew-277824,A,Amaryllidaceae,,Hermione,,"lutea",,"","Haw.",Synonym,,H,WCSP,277824,64922-1,"Monogr. Narcissin.","10","","1831",kew-282289
kew-277825,A,Amaryllidaceae,,Hermione,,"luteola",,"","Jord. & Fourr.",Synonym,,H,WCSP,277825,64923-1,"Brev. Pl. Nov.","2: 118","","1868",kew-282289
kew-277826,A,Amaryllidaceae,,Hermione,,"mediterranea",,"","Jord. & Fourr.",Synonym,,H,WCSP,277826,64924-1,"Brev. Pl. Nov.","2: 110","","1868",kew-282289
kew-277827,A,Amaryllidaceae,,Hermione,,"micrantha",,"","Jord. & Fourr.",Synonym,,H,WCSP,277827,64925-1,"Brev. Pl. Nov.","2: 108","","1868",kew-282687
kew-277828,A,Amaryllidaceae,,Hermione,,"modesta",,"","Jord. & Fourr.",Synonym,,H,WCSP,277828,64926-1,"Brev. Pl. Nov.","2: 112","","1868",kew-282289
kew-277829,A,Amaryllidaceae,,Hermione,,"monspeliensis",,"","Jord. & Fourr.",Synonym,,H,WCSP,277829,64927-1,"Brev. Pl. Nov.","2: 110","","1868",kew-282289
kew-277830,A,Amaryllidaceae,,Hermione,,"multiflora",,"","(Lam.) Haw.",Synonym,,H,WCSP,277830,64928-1,"Monogr. Narcissin.","8","","1831",kew-309100
kew-311700,A,Amaryllidaceae,,Hermione,,"multiflora",var.,"aurantia","Haw.",Synonym,,L,WCSP,311700,,"Suppl. Pl. Succ.","146","","1819",kew-282289
