ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2847304,A,Brassicaceae,,Hesperis,,"abyssinica",,"","Kuntze",Unresolved,,L,WCSP (in review),,284834-1,"Revis. Gen. Pl.","2: 934","","1891",
kew-2847305,A,Brassicaceae,,Hesperis,,"acaulis",,"","Kuntze",Unresolved,,L,WCSP (in review),,284835-1,"Revis. Gen. Pl.","2: 934","","1891",kew-2359096
kew-2847306,A,Brassicaceae,,Hesperis,,"acris",,"","Forssk.",Synonym,,M,WCSP (in review),,284836-1,"Fl. Aegypt.-Arab.","118","","1775",kew-2771219
kew-2847307,A,Brassicaceae,,Hesperis,,"aculeolata",,"","Kuntze",Unresolved,,L,WCSP (in review),,284837-1,"Revis. Gen. Pl.","2: 934","","1891",
kew-2847308,A,Brassicaceae,,Hesperis,,"adenocarpa",,"","Borbás",Unresolved,,L,WCSP (in review),,20011221-1,"Magyar Bot. Lapok","1: 267","","1902",
kew-2847309,A,Brassicaceae,,Hesperis,,"adenopoda",,"","Fritsch",Unresolved,,L,WCSP (in review),,284838-1,"Excursionsfl. Oesterreich","ed. 3: 175","","1922",
tro-4103892,A,Brassicaceae,,Hesperis,,"adenosepala",,"","Borbás",Synonym,,M,TRO,4103892,,"","","","",kew-2847567
tro-4103893,A,Brassicaceae,,Hesperis,,"adzharica",,"","Tzvelev",Synonym,,M,TRO,4103893,,"","","","",tro-4103902
kew-2847313,A,Brassicaceae,,Hesperis,,"aeruginea",,"","Jord.",Unresolved,,L,WCSP (in review),,,"Diagn. Esp. Nouv.","136","","1864",kew-2847527
kew-2847314,A,Brassicaceae,,Hesperis,,"aestiva",,"","Lam.",Unresolved,,L,WCSP (in review),,284843-1,"Encycl.","3: 324","","1789",kew-2359115
kew-2847315,A,Brassicaceae,,Hesperis,,"africana",,"","L.",Synonym,,M,WCSP (in review),,324655-2,"Sp. Pl.","663","","1753",kew-2357893
tro-100357460,A,Brassicaceae,,Hesperis,,"aintabica",,"","Post",Accepted,,M,TRO,100357460,284845-1,"J. Linn. Soc., Bot.","24: 420","420","1888",
tro-100360025,A,Brassicaceae,,Hesperis,,"alabadensis",,"","Stapf",Synonym,,M,TRO,100360025,,"Denkschr. Kaiserl. Akad. Wiss., Math.-Naturwiss. Kl.","51(2): 300.","300.","1886",tro-4103909
kew-2847317,A,Brassicaceae,,Hesperis,,"aladabadensis",,"","Stapf",Unresolved,,L,WCSP (in review),,284846-1,"Denkschr. Kaiserl. Akad. Wiss., Wien. Math.-Naturwiss. Kl.","51: 32","","1886",
tro-100360628,A,Brassicaceae,,Hesperis,,"alba",,"","J.S. Muell.",Synonym,,M,TRO,100360628,,"Gard. Dict. (ed. 8)","","","",kew-2847567
kew-2847319,A,Brassicaceae,,Hesperis,,"albiflora",,"","Schur",Unresolved,,L,WCSP (in review),,284848-1,"Verh. Mitth. Siebenbürg. Vereins Naturwiss. Hermannstadt","4: 66","","1853",kew-2847567
tro-50297957,A,Brassicaceae,,Hesperis,,"alliaria",,"","(L.) Lam.",Synonym,,M,TRO,50297957,,"Fl. Franç.","2: 503","503","1778",kew-2628680
kew-2847321,A,Brassicaceae,,Hesperis,,"alpina",,"","Schur",Unresolved,,L,WCSP (in review),,284850-1,"Verh. Mitth. Siebenbürg. Vereins Naturwiss. Hermannstadt","4: 66","","1853",
kew-2847323,A,Brassicaceae,,Hesperis,,"altissima",,"","(L.) Kuntze",Synonym,,M,WCSP (in review),,284852-1,"Revis. Gen. Pl.","2: 934","","1891",kew-2476102
tro-4103894,A,Brassicaceae,,Hesperis,,"alyssifolia",,"","DC.",Synonym,,M,TRO,4103894,,"","","","",tro-4104072
kew-2847325,A,Brassicaceae,,Hesperis,,"alyssoides",,"","Pers.",Unresolved,,L,WCSP (in review),,284854-1,"Syn. Pl.","2: 203","","1806",kew-2357880
kew-2847326,A,Brassicaceae,,Hesperis,,"amplexicaulis",,"","(Desf.) Kuntze",Synonym,,M,WCSP (in review),,120827-2,"Revis. Gen. Pl.","2: 934","","1891",kew-2682823
kew-2896345,A,Brassicaceae,,Hesperis,,"anatolica",,"","A.Duran",Accepted,,M,WCSP (in review),,77098960-1,"Novon","18: 454","","2008",
kew-2847327,A,Brassicaceae,,Hesperis,,"andina",,"","(Phil.) Kuntze",Synonym,,M,WCSP (in review),,120828-2,"Revis. Gen. Pl.","2: 934","","1891",kew-2607883
kew-2847328,A,Brassicaceae,,Hesperis,,"angustifolia",,"","Lam.",Unresolved,,L,WCSP (in review),,284859-1,"Encycl.","3: 322","","1789",kew-2359169
kew-2847329,A,Brassicaceae,,Hesperis,,"angustifolia",,"","DC.",Unresolved,,L,WCSP (in review),,284857-1,"Syst. Nat.","2: 457","","1821",kew-2380896
kew-2847330,A,Brassicaceae,,Hesperis,,"angustifolia",,"","Pourr. ex Willk. & Lange",Unresolved,,L,WCSP (in review),,284858-1,"Prodr. Fl. Hispan.","3: 807","","1880",kew-2800207
kew-2847331,A,Brassicaceae,,Hesperis,,"anomala",,"","Kuntze",Unresolved,,L,WCSP (in review),,120829-2,"Revis. Gen. Pl.","2: 934","","1891",
tro-100360349,A,Brassicaceae,,Hesperis,,"antarctica",,"","(E. Fourn.) Kuntze",Synonym,,M,TRO,100360349,120830-2,"Revis. Gen. Pl.","2: 934.","934.","1891",kew-2761695
kew-2847333,A,Brassicaceae,,Hesperis,,"aprica",,"","(Stephan) Poir.",Synonym,,M,WCSP (in review),,284862-1,"Encycl.","Suppl. 3: 194","","1813",kew-2724871
kew-2847334,A,Brassicaceae,,Hesperis,,"arabica",,"","Kuntze",Unresolved,,L,WCSP (in review),,284863-1,"Revis. Gen. Pl.","2: 935","","1891",kew-2359163
tro-50202542,A,Brassicaceae,,Hesperis,,"arabidiflora",,"","DC.",Synonym,,M,TRO,50202542,,"","","","",kew-2411880
tro-50104452,A,Brassicaceae,,Hesperis,,"arctica",,"","(E. Fourn.) Kuntze",Synonym,,M,TRO,50104452,284865-1,"Revis. Gen. Pl.","2: 934","934","1891",kew-2761853
kew-2847337,A,Brassicaceae,,Hesperis,,"arcuata",,"","Nocca",Unresolved,,L,WCSP (in review),,284866-1,"Ticin. Hort. Pl.","1: 3","","1800",kew-2719512
tro-100357461,A,Brassicaceae,,Hesperis,,"arenaria",,"","Desf.",Synonym,,M,TRO,100357461,284867-1,"Fl. Arct.","2: 91, tab. 162","91","1798",tro-100358724
tro-100357462,A,Brassicaceae,,Hesperis,,"armena",,"","Boiss.",Accepted,,M,TRO,100357462,284869-1,"Ann. Sci. Nat., Bot., sér. 2,","17: 63","63","1842",
tro-50094898,A,Brassicaceae,,Hesperis,,"arnottiana",,"","(Gillies ex Hook. & Arn.) Kuntze",Synonym,,M,TRO,50094898,1007071-2,"","","","",tro-50303909
tro-4103913,A,Brassicaceae,,Hesperis,,"arobusta",,"","Tzvelev",Unresolved,,L,TRO,4103913,,"","","","",
kew-2847343,A,Brassicaceae,,Hesperis,,"arundana",,"","(Boiss.) Kuntze",Synonym,,M,WCSP (in review),,284871-1,"Revis. Gen. Pl.","2: 934","","1891",kew-2476586
kew-2847344,A,Brassicaceae,,Hesperis,,"arvensis",,"","(L.) Cav.",Synonym,,L,WCSP (in review),,284872-1,"Descr. Pl.","431","","1802",kew-2360753
tro-100357463,A,Brassicaceae,,Hesperis,,"aspera",,"","E. Fourn.",Accepted,,M,TRO,100357463,,"Bull. Musee Georgie","13: 352","352","1866",
kew-2847346,A,Brassicaceae,,Hesperis,,"assoana",,"","Kuntze",Unresolved,,L,WCSP (in review),,284874-1,"Revis. Gen. Pl.","2: 934","","1891",kew-2476136
tro-100358585,A,Brassicaceae,,Hesperis,,"athrocarpa",,"","(A. Gray) Kuntze",Synonym,,M,TRO,100358585,120832-2,"Revista Facultad Ci. Nat. Salta","2: 934","934","1891",kew-2761707
tro-100358398,A,Brassicaceae,,Hesperis,,"aucheri",,"","Boiss.",Synonym,,M,TRO,100358398,284876-1,"Ann. Sci. Nat., Bot., sér. 2,","17: 66","66","1842",tro-100358588
kew-2847350,A,Brassicaceae,,Hesperis,,"auriculata",,"","Kuntze",Unresolved,,L,WCSP (in review),,120833-2,"Revis. Gen. Pl.","2: 934","","1891",
kew-2847351,A,Brassicaceae,,Hesperis,,"australis",,"","F.Dvořák",Synonym,,M,WCSP (in review),,,"Spisy P?ír. Fak. Univ. J. E. Purkyne Brn?","459: 6","","1965",kew-2847427
kew-2847352,A,Brassicaceae,,Hesperis,,"axillaris",,"","Kuntze",Unresolved,,L,WCSP (in review),,284880-1,"Revis. Gen. Pl.","2: 934","","1891",
tro-100357464,A,Brassicaceae,,Hesperis,,"balansae",,"","E. Fourn.",Accepted,,M,TRO,100357464,,"Bull. Musee Georgie","13: 338","338","1866",
tro-100357465,A,Brassicaceae,,Hesperis,,"balansae",subsp.,"balansae","",Synonym,,L,TRO,100357465,,"","","","",tro-100357464
tro-50191123,A,Brassicaceae,,Hesperis,,"balansae",f.,"scabrida","F. Dvořák",Synonym,,L,TRO,50191123,,"","","","",tro-50191125
tro-50191125,A,Brassicaceae,,Hesperis,,"balansae",subsp.,"scabrida","(F.Dvořák) F.Dvořák",Accepted,,L,TRO,50191125,,"Scripta Fac. Sci. Nat. Univ. Purkyn. Brun.","Biol.,4,1(10): 242","242","1971",
kew-2847355,A,Brassicaceae,,Hesperis,,"belangeri",,"","Kuntze",Unresolved,,L,WCSP (in review),,284882-1,"Revis. Gen. Pl.","2: 934","","1891",kew-2476306
kew-2847356,A,Brassicaceae,,Hesperis,,"berlandieri",,"","(E.Fourn.) Kuntze",Synonym,,M,WCSP (in review),,120834-2,"Revis. Gen. Pl.","2: 934","","1891",kew-2604471
kew-2847357,A,Brassicaceae,,Hesperis,,"berteroana",,"","(Phil.) Kuntze",Synonym,,M,WCSP (in review),,120835-2,"Revis. Gen. Pl.","2: 934","","1891",kew-2476144
kew-2847358,A,Brassicaceae,,Hesperis,,"bicolor",,"","Kuntze",Unresolved,,L,WCSP (in review),,284885-1,"Revis. Gen. Pl.","2: 935","","1891",
kew-2847359,A,Brassicaceae,,Hesperis,,"bicuspidata",,"","(Willd.) Poir.",Accepted,,M,WCSP (in review),,284887-1,"Encycl.","Suppl. 3: 195","","1813",
kew-2847360,A,Brassicaceae,,Hesperis,,"bituminosa",,"","Willd.",Unresolved,,L,WCSP (in review),,284888-1,"Enum. Pl.","Suppl.: 45","","1814",kew-2847567
kew-2847361,A,Brassicaceae,,Hesperis,,"blakelockii",,"","F.Dvořák",Unresolved,,L,WCSP (in review),,,"Kew Bull.","21: 459","","1968",
tro-100357467,A,Brassicaceae,,Hesperis,,"boissieriana",,"","Bornm.",Accepted,,M,TRO,100357467,284890-1,"Auct. Fl. Pedem.","27(2): 300","300","1910",
kew-2847363,A,Brassicaceae,,Hesperis,,"borbasii",,"","F.Dvořák",Unresolved,Illegitimate,L,WCSP (in review),,,"in Fl. Iran.","57: 270","","1968",
tro-100357469,A,Brassicaceae,,Hesperis,,"bottae",,"","E. Fourn.",Accepted,,M,TRO,100357469,,"Bull. Musee Georgie","13: 352","352","1866",
kew-2847365,A,Brassicaceae,,Hesperis,,"bourgaeana",,"","(E.Fourn.) Kuntze",Synonym,,M,WCSP (in review),,,"Revis. Gen. Pl.","2: 934","","1891",kew-2761712
tro-50104482,A,Brassicaceae,,Hesperis,,"brachycarpa",,"","(Richardson) Kuntze",Synonym,,M,TRO,50104482,120836-2,"Revis. Gen. Pl.","2: 934","934","1891",kew-2761808
tro-100360198,A,Brassicaceae,,Hesperis,,"brassiciformis",,"","(C.A. Mey.) Kuntze",Synonym,,M,TRO,100360198,284896-1,"Revis. Gen. Pl.","2: 934.","934.","1891",tro-4104353
tro-50203089,A,Brassicaceae,,Hesperis,,"brevipes",,"","(Kar. & Kir.) Kuntze",Synonym,,M,TRO,50203089,,"","","","",kew-2380953
tro-100357470,A,Brassicaceae,,Hesperis,,"breviscapa",,"","Boiss.",Accepted,,M,TRO,100357470,284898-1,"Ann. Sci. Nat., Bot., sér. 2,","17: 67","67","1842",
kew-2847371,A,Brassicaceae,,Hesperis,,"broussonetii",,"","Kuntze",Unresolved,,L,WCSP (in review),,284899-1,"Revis. Gen. Pl.","2: 935","","1891",kew-2357880
kew-2847373,A,Brassicaceae,,Hesperis,,"bungei",,"","Kuntze",Unresolved,,L,WCSP (in review),,284901-1,"Revis. Gen. Pl.","2: 935","","1891",kew-2775364
tro-4103896,A,Brassicaceae,,Hesperis,,"buschiana",,"","Tzvelev",Accepted,,M,TRO,4103896,,"","","","",
kew-2847376,A,Brassicaceae,,Hesperis,,"cabulica",,"","Kuntze",Unresolved,,L,WCSP (in review),,284904-1,"Revis. Gen. Pl.","2: 934","","1891",kew-2771363
tro-4104586,A,Brassicaceae,,Hesperis,,"calycina",,"","(Desv.) Kuntze",Synonym,,M,TRO,4104586,120837-2,"Rev. Gén. Bot.","2: 934","934","1891",kew-2683132
tro-100357471,A,Brassicaceae,,Hesperis,,"campicarpa",,"","Boiss.",Synonym,,M,TRO,100357471,284906-1,"Ann. Sci. Nat., Bot., sér. 2,","17: 66","66","1842",tro-100358590
kew-2847379,A,Brassicaceae,,Hesperis,,"candida",,"","Kit.",Synonym,,M,WCSP (in review),,,"Verh. K. K. Zool.-Bot. Ges. Wien","16: 143","","1866",kew-2871141
tro-4103897,A,Brassicaceae,,Hesperis,,"candida",,"","Kit. ex Muggenb., Kanitz & Knapp",Synonym,,M,TRO,4103897,,"","","","",tro-4100497
kew-2847380,A,Brassicaceae,,Hesperis,,"capensis",,"","Kuntze",Unresolved,,L,WCSP (in review),,284907-1,"Revis. Gen. Pl.","2: 934","","1891",
tro-100357472,A,Brassicaceae,,Hesperis,,"cappadocica",,"","E. Fourn.",Synonym,,M,TRO,100357472,,"Bull. Musee Georgie","13: 351","351","1866",tro-100357522
