ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-99016,A,Myrtaceae,,Hexachlamys,,"anomala",,"","(D.Legrand) D.Legrand",Synonym,,H,WCSP,99016,121770-2,"Darwiniana","9: 302","","1950",kew-74343
kew-99017,A,Myrtaceae,,Hexachlamys,,"anomala",var.,"rojasiana","D.Legrand",Synonym,,L,WCSP,99017,121771-2,"Bol. Soc. Argent. Bot.","10: 9","","1961",kew-76666
kew-454392,A,Myrtaceae,,Hexachlamys,,"anomala",var.,"tomentosa","Loefgr. ex Mattos",Synonym,,L,WCSP,454392,,"Arq. Bot. Estado São Paulo","n.s., f.m., 5: 288","","1962",kew-74343
kew-99018,A,Myrtaceae,,Hexachlamys,,"boliviana",,"","D.Legrand",Synonym,,H,WCSP,99018,121772-2,"Loefgrenia","55: 1","","1972",kew-74526
kew-99019,A,Myrtaceae,,Hexachlamys,,"boliviensis",,"","Kausel",Synonym,,H,WCSP,99019,121773-2,"Lilloa","33: 103","","1971 publ. 1972",kew-74526
kew-99020,A,Myrtaceae,,Hexachlamys,,"edulis",,"","(O.Berg) Kausel & D.Legrand",Synonym,,H,WCSP,99020,596795-1,"Darwiniana","9: 302","","1950",kew-76066
kew-99021,A,Myrtaceae,,Hexachlamys,,"emerichii",,"","Mattos",Unresolved,,L,WCSP,99021,902211-1,"Loefgrenia","78: 2","","1983",
kew-99022,A,Myrtaceae,,Hexachlamys,,"excelsa",,"","(Cambess.) Mattos",Synonym,,H,WCSP,99022,946787-1,"Loefgrenia","94: 12","","1989",kew-76066
kew-99023,A,Myrtaceae,,Hexachlamys,,"geraensis",,"","D.Legrand & Mattos",Synonym,,H,WCSP,99023,121774-2,"Loefgrenia","62: 3","","1974",kew-75297
kew-99024,A,Myrtaceae,,Hexachlamys,,"hamiltonii",,"","Mattos",Synonym,,H,WCSP,99024,121775-2,"Loefgrenia","11: 1","","1963",kew-75402
kew-99025,A,Myrtaceae,,Hexachlamys,,"hamiltonii",var.,"sehnemiana","Mattos",Synonym,,L,WCSP,99025,121776-2,"Loefgrenia","61: 2","","1974",kew-76797
kew-99026,A,Myrtaceae,,Hexachlamys,,"handroi",,"","Mattos",Synonym,,H,WCSP,99026,121777-2,"Loefgrenia","1: 1","","1961",kew-75405
kew-99027,A,Myrtaceae,,Hexachlamys,,"humilis",,"","O.Berg",Synonym,,H,WCSP,99027,596798-1,"Linnaea","27: 345","","1856",kew-74343
kew-334497,A,Myrtaceae,,Hexachlamys,,"humilis",var.,"tomentosa","Loefgr. ex Mattos",Synonym,,L,WCSP,334497,121779-2,"Arq. Bot. Estado São Paulo","n.s., 3: 288","","1962",kew-74343
kew-99028,A,Myrtaceae,,Hexachlamys,,"itararensis",,"","Mattos",Synonym,,H,WCSP,99028,121780-2,"Loefgrenia","53: 1","","1971",kew-75536
kew-99029,A,Myrtaceae,,Hexachlamys,,"itatiaiensis",,"","Mattos",Synonym,,H,WCSP,99029,121782-2,"Loefgrenia","32: 2","","1969",kew-75405
tro-22105279,A,Myrtaceae,,Hexachlamys,,"itatiaiensis",var.,"itatiaiensis","",Synonym,,L,TRO,22105279,,"","","","",kew-75405
kew-99030,A,Myrtaceae,,Hexachlamys,,"itatiaiensis",var.,"kleinii","D.Legrand ex Mattos",Synonym,,L,WCSP,99030,915636-1,"Loefgrenia","61: 1","","1974",kew-75405
kew-99031,A,Myrtaceae,,Hexachlamys,,"kleinii",,"","(D.Legrand ex Mattos) Mattos",Synonym,,H,WCSP,99031,,"Roessléria","5: 277","","1983",kew-75405
kew-99032,A,Myrtaceae,,Hexachlamys,,"legrandii",,"","Mattos",Synonym,,H,WCSP,99032,121783-2,"Loefgrenia","62: 2","","1974",kew-75677
kew-99033,A,Myrtaceae,,Hexachlamys,,"macedoi",,"","D.Legrand",Unresolved,,L,WCSP,99033,121784-2,"Loefgrenia","55: 1","","1972",
kew-99034,A,Myrtaceae,,Hexachlamys,,"macedoi",var.,"pubescens","Mattos",Synonym,,L,WCSP,99034,121785-2,"Loefgrenia","61: 2","","1974",kew-99033
kew-99035,A,Myrtaceae,,Hexachlamys,,"minarum",,"","Mattos & D.Legrand",Unresolved,,L,WCSP,99035,121786-2,"Loefgrenia","67: 13","","1975",
kew-99036,A,Myrtaceae,,Hexachlamys,,"rojasiana",,"","(D.Legrand) D.Legrand",Synonym,,H,WCSP,99036,121787-2,"Loefgrenia","55: 2","","1972",kew-76666
kew-99037,A,Myrtaceae,,Hexachlamys,,"sehnemiana",,"","(Mattos) Mattos",Synonym,,H,WCSP,99037,912704-1,"Loefgrenia","78: 3","","1983",kew-76797
kew-99038,A,Myrtaceae,,Hexachlamys,,"tapiraguaiensis",,"","(Barb.Rodr. ex Chodat & Hassl.) Mattos",Synonym,Invalid,L,WCSP,99038,992965-1,"Loefgrenia","102: 5","","1993",kew-77015
kew-99039,A,Myrtaceae,,Hexachlamys,,"toledoi",,"","Mattos",Synonym,,H,WCSP,99039,596804-1,"Arq. Bot. Estado São Paulo","4: 277","","1970",kew-77079
