ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35163338,B,Hypnaceae,,Hookeria,,"abrupta",,"","(Mitt.) Paris",Synonym,,M,TRO,35163338,,"Index Bryol.","570","570","1896",tro-35186564
tro-35163340,B,Pilotrichaceae,,Hookeria,,"acicularis",,"","Mitt.",Synonym,,M,TRO,35163340,,"J. Linn. Soc., Bot.","12: 354","354","1869",tro-35183888
tro-35163341,B,Hookeriaceae,,Hookeria,,"aciculifolia",,"","Müll. Hal.",Accepted,,M,TRO,35163341,,"Bull. Herb. Boissier","6: 113","113","1898",
tro-35163343,B,Hookeriaceae,,Hookeria,,"acuminata",,"","Mitt.",Accepted,,M,TRO,35163343,,"J. Linn. Soc., Bot.","12: 357","357","1869",
tro-35163344,B,Pilotrichaceae,,Hookeria,,"acuminatula",,"","Müll. Hal.",Synonym,,M,TRO,35163344,,"Flora","82: 478","478","1896",tro-35183889
tro-35163345,B,Hookeriaceae,,Hookeria,,"acutifolia",,"","Hook. & Grev.",Accepted,,M,TRO,35163345,,"Edinburgh J. Sci.","2: 225. f. 5","225","1825",
tro-35163346,B,Hookeriaceae,,Hookeria,,"adnata",,"","Hook. f. & Wilson",Synonym,,M,TRO,35163346,,"Fl. Nov.-Zel.","2: 123. 93 f. 4","123","1854",tro-35132502
tro-35163347,B,Hookeriaceae,,Hookeria,,"adunca",,"","Mitt.",Accepted,,M,TRO,35163347,,"J. Linn. Soc., Bot.","12: 362","362","1869",
tro-35163348,B,Hookeriaceae,,Hookeria,,"aeruginosa",,"","Mitt.",Accepted,,M,TRO,35163348,,"J. Linn. Soc., Bot.","12: 346","346","1869",
tro-35163349,B,Hookeriaceae,,Hookeria,,"affinis",,"","Arn.",Synonym,,M,TRO,35163349,,"Tent. Meth. Musc.","5(1): 202","202","1824",tro-35163487
tro-35163351,B,Hookeriaceae,,Hookeria,,"africana",,"","(Mitt.) Paris",Synonym,,M,TRO,35163351,,"Index Bryol.","570","570","1896",tro-35112446
tro-35163352,B,Hookeriaceae,,Hookeria,,"albata",,"","Müll. Hal.",Accepted,,M,TRO,35163352,,"Syn. Musc. Frond.","2: 191","191","1851",
tro-35163353,B,Hookeriaceae,,Hookeria,,"albicans",,"","(Hedw.) Hook. & Grev.",Accepted,,M,TRO,35163353,,"Edinburgh J. Sci.","2: 1230","1230","1825",
tro-35163355,B,Hookeriaceae,,Hookeria,,"albicaulis",,"","Schimp. ex Besch.",Accepted,,M,TRO,35163355,,"Ann. Sci. Nat., Bot., sér. 6,","3: 232","232","1876",
tro-35163357,B,Hookeriaceae,,Hookeria,,"amblyophylla",,"","Hook. f. & Wilson",Synonym,,M,TRO,35163357,,"Fl. Nov.-Zel.","2: 123. 93 f. 3","123","1854",tro-35132608
tro-35163358,B,Hookeriaceae,,Hookeria,,"amnigena",,"","Müll. Hal.",Accepted,,M,TRO,35163358,,"Flora","83: 337","337","1897",
