ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-19102792,A,Loranthaceae,,Hyphear,,"delavayi",,"","(Tiegh.) Danser",Synonym,,M,TRO,19102792,548819-1,"Bull. Jard. Bot. Buitenzorg, sér. 3,","10: 319","319","1929",tro-19102912
kew-2859192,A,Loranthaceae,,Hyphear,,"europaeum",,"","Danser",Unresolved,,L,WCSP (in review),,548820-1,"Bull. Jard. Bot. Buitenzorg","III, 10: 319","","1929",kew-2353116
kew-2859193,A,Loranthaceae,,Hyphear,,"grewinkii",,"","Danser",Unresolved,,L,WCSP (in review),,548821-1,"Bull. Jard. Bot. Buitenzorg","III, 10: 319","","1929",
kew-2859194,A,Loranthaceae,,Hyphear,,"hemsleyanum",,"","Danser",Unresolved,,L,WCSP (in review),,548822-1,"Bull. Jard. Bot. Buitenzorg","III, 10: 319","","1929",kew-2352953
tro-19102791,A,Loranthaceae,,Hyphear,,"kaoi",,"","J.M. Chao",Synonym,,M,TRO,19102791,548823-1,"Taiwania","18: 169, f. 1","169","1973",tro-50041458
tro-19102793,A,Loranthaceae,,Hyphear,,"koumensis",,"","Hosok.",Synonym,,M,TRO,19102793,548824-1,"J. Jap. Bot.","12(6): 418","418","1936",tro-19102912
tro-19102789,A,Loranthaceae,,Hyphear,,"lambertianum",,"","(Schult. f.) Danser",Synonym,,M,TRO,19102789,548825-1,"Bull. Jard. Bot. Buitenzorg, sér. 3,","10: 319","319","1929",tro-50041456
kew-2859198,A,Loranthaceae,,Hyphear,,"odoratum",,"","Danser",Unresolved,,L,WCSP (in review),,548826-1,"Bull. Jard. Bot. Buitenzorg","III, 10: 319","","1929",kew-2354510
kew-2859199,A,Loranthaceae,,Hyphear,,"owatarii",,"","Danser",Unresolved,,L,WCSP (in review),,548827-1,"Bull. Jard. Bot. Buitenzorg","III, 10: 319","","1929",
tro-19102790,A,Loranthaceae,,Hyphear,,"pseudo-odoratum",,"","(Lingelsh.) Danser",Synonym,,M,TRO,19102790,548828-1,"Verh. Kon. Ned. Akad. Wetensch., Afd. Natuurk.","29(6): 61","61","1933",tro-50041457
tro-19102788,A,Loranthaceae,,Hyphear,,"tanakae",,"","(Franch. & Sav.) Hosok.",Synonym,,M,TRO,19102788,548830-1,"J. Jap. Bot.","12(6): 418","418","1936",tro-50041454
