ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35101675,B,Brachytheciaceae,,Hypnum,,"abbreviatum",,"","Hedw.",Synonym,,M,TRO,35101675,,"Sp. Musc. Frond.","249. 65 f. 1–4","249","1801",tro-35148709
tro-35101677,B,Hypnaceae,,Hypnum,,"abietinum",,"","Hedw.",Accepted,,M,TRO,35101677,,"Sp. Musc. Frond.","353","353","1801",
tro-35101683,B,Hypnaceae,,Hypnum,,"acanthoneuron",,"","Schwägr.",Accepted,,M,TRO,35101683,,"Sp. Musc. Frond., Suppl. 3","2(1): 258b","258b","1829",
tro-35101684,B,Hypnaceae,,Hypnum,,"acanthophyllum",,"","Mont.",Accepted,,M,TRO,35101684,,"Ann. Sci. Nat., Bot., sér. 3,","4: 90","90","1845",
tro-35101682,B,Hypnaceae,,Hypnum,,"accacioides",,"","(Schrad.) L. ex Turner",Accepted,,M,TRO,35101682,,"Trans. Linn. Soc. London","7: 113","113","1804",
tro-35101686,B,Hypnaceae,,Hypnum,,"acestrostegium",,"","Sull.",Accepted,,M,TRO,35101686,,"Proc. Amer. Acad. Arts","5: 287","287","1861",
tro-35101689,B,Hypnaceae,,Hypnum,,"aciculare",,"","Brid.",Accepted,,M,TRO,35101689,,"Muscol. Recent.","2(2): 158 5 f. 2","158 5 f","1801",
tro-35101690,B,Hypnaceae,,Hypnum,,"aciculatum",,"","(Taylor) Müll. Hal.",Accepted,,M,TRO,35101690,,"Syn. Musc. Frond.","2: 224","224","1851",
tro-35101692,B,Hypnaceae,,Hypnum,,"acinacifolium",,"","Hampe",Accepted,,M,TRO,35101692,,"Syn. Musc. Frond.","2: 239","239","1851",
tro-35101693,B,Mniaceae,,Hypnum,,"aciphyllum",,"","F. Weber & D. Mohr",Synonym,,M,TRO,35101693,,"Bot. Taschenbuch","295","295","1807",tro-35168750
tro-35101695,B,Leucomiaceae,,Hypnum,,"acrophyllum",,"","Hampe",Synonym,,M,TRO,35101695,,"Ann. Sci. Nat., Bot., sér. 5,","5: 325","325","1866",tro-35160308
tro-35101696,B,Hypnaceae,,Hypnum,,"acrorrhizon",,"","Hornsch.",Accepted,,M,TRO,35101696,,"Fl. Bras.","1(2): 75","75","1840",
