ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
ild-29986,A,Leguminosae,,Ichthyomethia,,"acuminata",,"","S.F.Blake",Synonym,,H,ILDIS,29986,,"","","","",ild-29602
ild-17493,A,Leguminosae,,Ichthyomethia,,"americana",,"","(Sesse & Moc.) S.F.Blake",Synonym,,H,ILDIS,17493,1013612-2,"","","","",ild-29602
ild-17494,A,Leguminosae,,Ichthyomethia,,"communis",,"","S.F.Blake",Synonym,,H,ILDIS,17494,,"","","","",ild-14732
ild-17488,A,Leguminosae,,Ichthyomethia,,"cubensis",,"","(Urb.) S.F.Blake",Synonym,,H,ILDIS,17488,1215292-2,"","","","",ild-14727
ild-17490,A,Leguminosae,,Ichthyomethia,,"grandifolia",,"","(Donn.Sm.) S.F.Blake",Synonym,,H,ILDIS,17490,,"","","","",ild-14728
ild-17491,A,Leguminosae,,Ichthyomethia,,"havanensis",,"","Britton & Wilson",Synonym,,H,ILDIS,17491,,"","","","",ild-14730
tro-13005988,A,Leguminosae,,Ichthyomethia,,"havanensis",,"","Britton & P. Wilson",Synonym,,M,TRO,13005988,127584-2,"Bull. Torrey Bot. Club","44(1): 34","34","1917",ild-14730
ild-17492,A,Leguminosae,,Ichthyomethia,,"mollis",,"","(Rose) S.F.Blake",Synonym,,H,ILDIS,17492,,"","","","",ild-14731
ild-17495,A,Leguminosae,,Ichthyomethia,,"piscipula",,"","(L.) Hitchc.",Synonym,,H,ILDIS,17495,,"","","","",ild-14732
ild-29987,A,Leguminosae,,Ichthyomethia,,"piscipula",var.,"acuminata","(S.F.Blake) Stehle & L.Quentin",Synonym,,L,ILDIS,29987,,"","","","",ild-29602
tro-13005991,A,Leguminosae,,Ichthyomethia,,"piscipula",var.,"acuminata","(S.F. Blake) Stehlé",Synonym,,L,TRO,13005991,,"Bull. Mus. Natl. Hist. Nat., sér. 2","18: 115","115","1946",ild-29602
ild-17496,A,Leguminosae,,Ichthyomethia,,"piscipula",var.,"typica","Stehle & L.Quentin",Synonym,,L,ILDIS,17496,,"","","","",ild-14732
