ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2866059,A,Icacinaceae,,Iodes,,"africana",,"","Welw. ex Oliv.",Accepted,,M,WCSP (in review),,607934-1,"Fl. Trop. Afr.","1: 358","","1868",
kew-2866060,A,Icacinaceae,,Iodes,,"balansae",,"","Gagnep.",Synonym,,M,WCSP (in review),,434376-1,"Notul. Syst. (Paris)","1: 200","","1910",kew-2866083
kew-2866061,A,Icacinaceae,,Iodes,,"brandisii",,"","Kurz",Synonym,,M,WCSP (in review),,607935-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","41(2): 298","","1872",kew-2866062
kew-2866062,A,Icacinaceae,,Iodes,,"cirrhosa",,"","Turcz.",Accepted,,M,WCSP (in review),,607936-1,"Bull. Soc. Imp. Naturalistes Moscou","27(2): 281","","1854",
kew-2866063,A,Cornaceae,,Iodes,,"ferruginea",,"","K.Schum. & Lauterb.",Synonym,,M,WCSP (in review),,607937-1,"Fl. Schutzgeb. Südsee","418","","1900",kew-5647
kew-2866064,A,Icacinaceae,,Iodes,,"floribunda",,"","Merr.",Synonym,,M,WCSP (in review),,434378-1,"Pap. Michigan Acad. Sci.","19: 166","","1933 publ. 1934",kew-2866062
kew-2866065,A,Icacinaceae,,Iodes,,"globulifera",,"","H.Perrier",Unresolved,,L,WCSP (in review),,434379-1,"Mém. Mus. Natl. Hist. Nat.","n.s., 18: 305","","1944",
kew-2866066,A,Icacinaceae,,Iodes,,"hookeriana",,"","Baill.",Synonym,,M,WCSP (in review),,607938-1,"Adansonia","10: 268","","1872",kew-2367159
kew-2866067,A,Icacinaceae,,Iodes,,"horsfieldii",,"","Baill.",Synonym,,M,WCSP (in review),,607939-1,"Adansonia","10: 267","","1872",kew-2866076
kew-2866068,A,Icacinaceae,,Iodes,,"kamerunensis",,"","Engl.",Accepted,,M,WCSP (in review),,607940-1,"Bot. Jahrb. Syst.","24: 481","","1898",
kew-2866069,A,Icacinaceae,,Iodes,,"klaineana",,"","Pierre",Accepted,,M,WCSP (in review),,607941-1,"Bull. Mens. Soc. Linn. Paris","2: 1321","","1897",
kew-2866071,A,Icacinaceae,,Iodes,,"laurentii",,"","De Wild.",Unresolved,,L,WCSP (in review),,434380-1,"Miss. Ém. Laurent","381","","1907",
kew-2866072,A,Icacinaceae,,Iodes,,"liberica",,"","Stapf",Accepted,,M,WCSP (in review),,434381-1,"Liberia","2: 588","","1906",
tro-16400118,A,Icacinaceae,,Iodes,,"madagascariensis",,"","Baill.",Accepted,,M,TRO,16400118,607942-1,"Adansonia","9: 146","146","1868",
kew-2866074,A,Icacinaceae,,Iodes,,"nectarifera",,"","H.Perrier",Unresolved,,L,WCSP (in review),,434382-1,"Mém. Mus. Natl. Hist. Nat.","n.s., 18: 304","","1944",
kew-2866075,A,Icacinaceae,,Iodes,,"oblonga",,"","Planch. ex Mast.",Synonym,,M,WCSP (in review),,607943-1,"Fl. Brit. India","1: 597","","1875",kew-2866076
kew-2905976,A,Icacinaceae,,Iodes,,"oblonga",var.,"moluccana","Hochr.",Synonym,,L,WCSP (in review),,,"Pl. Bogor. Exs.","18","","1904",kew-2866078
