ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-50058165,A,Gesneriaceae,,Isometrum,,"crenatum",,"","K.Y. Pan",Synonym,,M,TRO,50058165,,"Acta Bot. Yunnan.","8(1): 27–29, pl. 2, f. 9–11","27","1986",tro-100373266
tro-50058166,A,Gesneriaceae,,Isometrum,,"eximium",,"","Chun ex K.Y. Pan",Synonym,,M,TRO,50058166,936225-1,"Acta Phytotax. Sin.","26(6): 432–433, pl. 4","432","1988",tro-100373274
tro-14002177,A,Gesneriaceae,,Isometrum,,"fargesii",,"","(Franch.) B.L. Burtt",Accepted,,M,TRO,14002177,381518-1,"Notes Roy. Bot. Gard. Edinburgh","23(2): 92","92","1960",
tro-14002003,A,Gesneriaceae,,Isometrum,,"farreri",,"","W. G. Craib",Synonym,,M,TRO,14002003,,"Notes Roy. Bot. Gard. Edinburgh","11(55): 250–251","250","1919",tro-100373276
tro-14002176,A,Gesneriaceae,,Isometrum,,"giraldii",,"","(Diels) B.L. Burtt",Synonym,,L,TRO,14002176,381520-1,"Notes Roy. Bot. Gard. Edinburgh","23(2): 92","92","1960",tro-100373282
kew-2867450,A,Gesneriaceae,,Isometrum,,"glandulosa",,"","Craib",Unresolved,,L,WCSP (in review),,381521-1,"Notes Roy. Bot. Gard. Edinburgh","11: 267","","1920",kew-2767263
tro-14002050,A,Gesneriaceae,,Isometrum,,"glandulosum",,"","(Batalin) W. G. Craib",Synonym,,M,TRO,14002050,,"Notes Roy. Bot. Gard. Edinburgh","11(55): 267–268","267","1919",tro-100373283
tro-50058169,A,Gesneriaceae,,Isometrum,,"lancifolium",,"","(Franch.) K.Y. Pan",Synonym,,M,TRO,50058169,942953-1,"Acta Bot. Yunnan.","8(1): 30","30","1986",tro-100373288
tro-50058171,A,Gesneriaceae,,Isometrum,,"lancifolium",var.,"mucronatum","K.Y. Pan",Synonym,,L,TRO,50058171,949222-1,"Acta Bot. Yunnan.","8(1): 30","30","1986",tro-100373289
tro-14002178,A,Gesneriaceae,,Isometrum,,"leucanthum",,"","(Diels) B.L. Burtt",Synonym,,L,TRO,14002178,381522-1,"Notes Roy. Bot. Gard. Edinburgh","23(2): 92","92","1960",tro-100373290
tro-50058168,A,Gesneriaceae,,Isometrum,,"lungshengense",,"","(W.T. Wang) W.T. Wang & K.Y. Pan",Synonym,,M,TRO,50058168,948353-1,"Fl. Reipubl. Popularis Sin.","69: 187, pl. 46, f. 6–8","187","1990",tro-100373300
tro-50092896,A,Gesneriaceae,,Isometrum,,"nanchuanicum",,"","K.Y. Pan & Z.Y. Liu",Synonym,,M,TRO,50092896,982255-1,"Acta Phytotax. Sin.","33(1): 100–102, pl. 1","100","1995",tro-100373305
tro-50058164,A,Gesneriaceae,,Isometrum,,"pinnatilobatum",,"","K.Y. Pan",Synonym,,M,TRO,50058164,,"Acta Bot. Yunnan.","8(1): 34–35, pl. 2, f. 1–4","34","1986",tro-100373313
tro-14002175,A,Gesneriaceae,,Isometrum,,"primuliflorum",,"","(Batalin) B.L. Burtt",Synonym,,L,TRO,14002175,381523-1,"Notes Roy. Bot. Gard. Edinburgh","23(2): 93","93","1960",tro-100373316
tro-50058163,A,Gesneriaceae,,Isometrum,,"sichuanicum",,"","K.Y. Pan",Synonym,,M,TRO,50058163,,"Acta Bot. Yunnan.","8(1): 33–34, pl. 3, f. 5–7","33","1986",tro-100373327
tro-50058162,A,Gesneriaceae,,Isometrum,,"villosum",,"","K.Y. Pan",Synonym,,M,TRO,50058162,,"Acta Bot. Yunnan.","8(1): 31–33, pl. 3, f. 1–4","31","1986",tro-100373341
tro-50300509,A,Gesneriaceae,,Isometrum,,"wanshanense",,"","S.Z. He",Synonym,,M,TRO,50300509,77078613-1,"Acta Phytotax. Sin.","44(4): 454–456, f. 1","454","2006",tro-100373345
