ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-108906,A,Arecaceae,,Latania,,"aurea",,"","Duncan",Synonym,Invalid,H,WCSP,108906,,"Cat. Hort. Maur.","56","","",kew-108916
kew-108907,A,Arecaceae,,Latania,,"borbonica",,"","Lam.",Synonym,,H,WCSP,108907,667777-1,"Encycl.","3: 427","","1792",kew-108912
kew-108908,A,Arecaceae,,Latania,,"chinensis",,"","Jacq.",Synonym,,H,WCSP,108908,,"Fragm. Bot.","16","","1801",kew-114913
kew-108909,A,Arecaceae,,Latania,,"commersonii",,"","J.F.Gmel.",Synonym,,H,WCSP,108909,667780-1,"Syst. Nat.","1035","","1792",kew-108912
kew-108910,A,Arecaceae,,Latania,,"glaucophylla",,"","Devansaye",Synonym,Invalid,H,WCSP,108910,,"Rev. Hort.","47: 34","","1875",kew-108911
tro-100364047,A,Arecaceae,,Latania,,"jenkinsiana",,"","(Griff.) Devansaye",Synonym,,M,TRO,100364047,,"","","","",kew-114941
kew-108911,A,Arecaceae,,Latania,,"loddigesii",,"","Mart.",Accepted,,H,WCSP,108911,,"Hist. Nat. Palm.","3: 226","","1838",
kew-108912,A,Arecaceae,,Latania,,"lontaroides",,"","(Gaertn.) H.E.Moore",Accepted,,H,WCSP,108912,667783-1,"Principes","7: 85","","1963",
kew-108913,A,Arecaceae,,Latania,,"plagicoma",,"","Comm. ex Balf.f.",Synonym,Invalid,H,WCSP,108913,,"Fl. Mauritius","381","","1877",kew-108912
kew-108914,A,Arecaceae,,Latania,,"rubra",,"","Jacq.",Synonym,,H,WCSP,108914,,"Fragm. Bot.","13","","1800",kew-108912
kew-108915,A,Arecaceae,,Latania,,"vera",,"","Voss",Synonym,Invalid,H,WCSP,108915,,"Vilm. Blumengärtn. ed. 3","1: 1148","","1895",kew-108912
kew-108916,A,Arecaceae,,Latania,,"verschaffeltii",,"","Lem.",Accepted,,H,WCSP,108916,667787-1,"Ill. Hort.","6: t. 229","","1859",
