ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
rjp-13731,A,Rosaceae,,Laurocerasus,,"acuminata",,"","(Wall.) M.Roem.",Synonym,,H,RJP,13731,725900-1,"Familiarum naturalium regni vegetabilis synopses monographicae 3, Rosiflorae","Familiarum naturalium regni vegetabilis synopses monographicae 3, Rosiflorae; 1847","92","1847",rjp-8361
rjp-26940,A,Rosaceae,,Laurocerasus,,"adenopoda",,"","(Koord. & Valeton) Browicz",Unresolved,,L,RJP,26940,725901-1,"","; 1970","6","1970",rjp-8357
rjp-26941,A,Rosaceae,,Laurocerasus,,"africana",,"","(Hook.f.) Browicz",Unresolved,,L,RJP,26941,725902-1,"","; 1970","5","1970",rjp-25340
rjp-13705,A,Rosaceae,,Laurocerasus,,"andersonii",,"","(Hook.f.) T.T.Yu & L.T.Lu",Synonym,,H,RJP,13705,914120-1,"","; 1984","48","1984",rjp-13735
rjp-26942,A,Rosaceae,,Laurocerasus,,"annularis",,"","(Koehne) Kovalev",Unresolved,,L,RJP,26942,725903-1,"","; 1936","157","1936",
rjp-13714,A,Rosaceae,,Laurocerasus,,"aquifolioides",,"","Chun ex T.T.Yu & L.T.Lu",Synonym,,L,RJP,13714,904458-1,"","; 1984","52, f.4","1984",rjp-50929
rjp-13712,A,Rosaceae,,Laurocerasus,,"australis",,"","T.T.Yu & L.T.Lu",Unresolved,,L,RJP,13712,904459-1,"","; 1984","51, f.3","1984",rjp-25976
rjp-41387,A,Rosaceae,,Laurocerasus,,"bertinii",,"","CarriŠre",Unresolved,,L,RJP,41387,,"","; 1885","18","1885",
rjp-19466,A,Rosaceae,,Laurocerasus,,"brachybotrys",,"","(Zuccagni) M.Roem.",Unresolved,,L,RJP,19466,725904-1,"Familiarum naturalium regni vegetabilis synopses monographicae 3, Rosiflorae","Familiarum naturalium regni vegetabilis synopses monographicae 3, Rosiflorae; 1847","91","1847",rjp-26376
rjp-19468,A,Rosaceae,,Laurocerasus,,"brasiliensis",,"","(Cham. & Schltdl.) M.Roem.",Unresolved,,L,RJP,19468,725905-1,"Familiarum naturalium regni vegetabilis synopses monographicae 3, Rosiflorae","Familiarum naturalium regni vegetabilis synopses monographicae 3, Rosiflorae; 1847","90","1847",rjp-25543
rjp-26943,A,Rosaceae,,Laurocerasus,,"brittoniana",,"","C.K.Schneid.",Unresolved,,L,RJP,26943,,"Illustriertes Handbuch der Laubholzkunde","Illustriertes Handbuch der Laubholzkunde; 1904","648","1906",
rjp-13550,A,Rosaceae,,Laurocerasus,,"buergeriana",,"","(Miq.) C.K.Schneid.",Synonym,,H,RJP,13550,,"Illustriertes Handbuch der Laubholzkunde","Illustriertes Handbuch der Laubholzkunde; 1904","646","1906",rjp-8164
rjp-5946,A,Rosaceae,,Laurocerasus,,"caroliniana",,"","(Mill.) M.Roem.",Synonym,,H,RJP,5946,30022818-2,"Familiarum naturalium regni vegetabilis synopses monographicae 3, Rosiflorae","Familiarum naturalium regni vegetabilis synopses monographicae 3, Rosiflorae; 1847","90","1847",rjp-5886
rjp-26944,A,Rosaceae,,Laurocerasus,,"colchica",,"","hort. ex Dippel",Unresolved,,L,RJP,26944,,"Handbuch der Laubholzkunde","Handbuch der Laubholzkunde; 1889","649","1893",
rjp-26945,A,Rosaceae,,Laurocerasus,,"cortapico",,"","(Kerber ex Koehne) Kovalev",Unresolved,,L,RJP,26945,725910-1,"","; 1936","157","1936",
rjp-26946,A,Rosaceae,,Laurocerasus,,"crassifolia",,"","(Hauman) Browicz",Unresolved,,L,RJP,26946,725911-1,"","; 1970","5","1970",rjp-25341
rjp-13711,A,Rosaceae,,Laurocerasus,,"dolichophylla",,"","T.T.Yu & L.T.Lu",Unresolved,,L,RJP,13711,904460-1,"","; 1984","50, f.2","1984",
rjp-26947,A,Rosaceae,,Laurocerasus,,"erythroxylon",,"","(Koehne) Kovalev",Unresolved,,L,RJP,26947,725912-1,"","; 1936","157","1936",
