ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2341713,A,Apiaceae,,Leiotulus,,"alexandrinus",,"","Ehrenb.",Accepted,,M,WCSP (in review),,844137-1,"Linnaea","4: 399","","1829",
kew-2341730,A,Apiaceae,,Leiotulus,,"aureus",,"","(Sm.) Pimenov & Ostr.",Synonym,,M,WCSP (in review),,976580-1,"Feddes Repert.","105: 153","","1994",kew-2365086
tro-50194641,A,Apiaceae,,Leiotulus,,"dasyanthus",,"","(K. Koch) Pimenov & Ostr.",Accepted,,M,TRO,50194641,976588-1,"Feddes Repert.","105(3–4): 154","154","1994",
tro-50194643,A,Apiaceae,,Leiotulus,,"involucratus",,"","(Boiss. & Spruner) Pimenov & Ostr.",Synonym,,M,TRO,50194643,976585-1,"Feddes Repert.","105(3–4): 154","154","1994",kew-2365071
tro-50194648,A,Apiaceae,,Leiotulus,,"isfahanicus",,"","(Alava) Pimenov & Ostr.",Accepted,,M,TRO,50194648,976586-1,"Feddes Repert.","105(3–4): 154","154","1994",
tro-50194653,A,Apiaceae,,Leiotulus,,"kotschyi",,"","(Boiss.) Pimenov & Ostr.",Accepted,,M,TRO,50194653,976587-1,"Feddes Repert.","105(3–4): 154","154","1994",
kew-2904486,A,Apiaceae,,Leiotulus,,"nydeggeri",,"","Yıld. & Dinç",Unresolved,,L,WCSP (in review),,,"Ot Sist. Bot. Dergisi","17: 4","","2010",
tro-50194658,A,Apiaceae,,Leiotulus,,"pastinacifolius",,"","(Boiss. & Balansa) Pimenov & Ostr.",Accepted,,M,TRO,50194658,976584-1,"Feddes Repert.","105(3–4): 153","153","1994",
tro-50194662,A,Apiaceae,,Leiotulus,,"porphyrodiscus",,"","(Stapf & Wettst.) Pimenov & Ostr.",Accepted,,M,TRO,50194662,976581-1,"Feddes Repert.","105(3–4): 153","153","1994",
kew-2341720,A,Apiaceae,,Leiotulus,,"secacul",,"","(Mill.) Pimenov & Ostr.",Synonym,,M,WCSP (in review),,976582-1,"Feddes Repert.","105: 153","","1994",kew-2364999
tro-50194666,A,Apiaceae,,Leiotulus,,"secacul",subsp.,"aucheri","(Boiss.) Pimenov & Ostr.",Unresolved,,L,TRO,50194666,976583-1,"Feddes Repert.","105(3–4): 153","153","1994",
