ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2353667,A,Loranthaceae,,Lepeostegeres,,"acutibracteus",,"","Danser",Unresolved,,L,WCSP (in review),,548904-1,"Blumea","2: 56","","1936",
kew-2353654,A,Loranthaceae,,Lepeostegeres,,"alternifolius",,"","Merr.",Unresolved,,L,WCSP (in review),,548905-1,"Enum. Philipp. Fl. Pl.","2: 101","","1923",
kew-2353653,A,Loranthaceae,,Lepeostegeres,,"alveolatus",,"","Danser",Unresolved,,L,WCSP (in review),,548906-1,"Bull. Jard. Bot. Buitenzorg","III, 10: 320","","1929",
kew-2353652,A,Loranthaceae,,Lepeostegeres,,"amplifolius",,"","Merr.",Unresolved,,L,WCSP (in review),,548907-1,"Enum. Philipp. Fl. Pl.","2: 101","","1923",
kew-2353651,A,Loranthaceae,,Lepeostegeres,,"bahajensis",,"","Miq.",Unresolved,,L,WCSP (in review),,,"Fl. Ned. Ind.","1(2): 333","","1859",
kew-2353650,A,Loranthaceae,,Lepeostegeres,,"banahaensis",,"","Merr.",Unresolved,,L,WCSP (in review),,548909-1,"Enum. Philipp. Fl. Pl.","2: 101","","1923",kew-2352889
kew-2353649,A,Loranthaceae,,Lepeostegeres,,"beccarii",,"","Gamble",Unresolved,,L,WCSP (in review),,548910-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","75: 381","","1914",
kew-2353648,A,Loranthaceae,,Lepeostegeres,,"capituliferus",,"","Merr.",Unresolved,,L,WCSP (in review),,548911-1,"Enum. Philipp. Fl. Pl.","2: 101","","1923",kew-2352653
kew-2353647,A,Loranthaceae,,Lepeostegeres,,"centiflorus",,"","Tiegh.",Unresolved,,L,WCSP (in review),,548912-1,"Compt. Rend. Hebd. Séances Acad. Sci.","153: 1197","","1911",
kew-2353637,A,Loranthaceae,,Lepeostegeres,,"congestiflorus",,"","Merr.",Unresolved,,L,WCSP (in review),,548913-1,"Enum. Philipp. Fl. Pl.","2: 101","","1923",kew-2352720
kew-2353657,A,Loranthaceae,,Lepeostegeres,,"deciduus",,"","Barlow",Unresolved,,L,WCSP (in review),,548914-1,"Austral. J. Bot.","22: 550","","1974",
kew-2353639,A,Loranthaceae,,Lepeostegeres,,"elmeri",,"","Merr.",Unresolved,,L,WCSP (in review),,548915-1,"Univ. Calif. Publ. Bot.","15: 56","","1929",
kew-2353614,A,Loranthaceae,,Lepeostegeres,,"filamentosus",,"","Danser",Unresolved,,L,WCSP (in review),,548916-1,"Bull. Jard. Bot. Buitenzorg","III, 11: 265","","1931",
kew-2353613,A,Loranthaceae,,Lepeostegeres,,"gemmiflorus",,"","Blume",Unresolved,,L,WCSP (in review),,548917-1,"Syst. Veg.","7: 1731","","1830",
kew-2353612,A,Loranthaceae,,Lepeostegeres,,"inconspicuus",,"","Danser",Unresolved,,L,WCSP (in review),,548918-1,"Bull. Jard. Bot. Buitenzorg","III, 11: 269","","1931",
kew-2353611,A,Loranthaceae,,Lepeostegeres,,"kingii",,"","Gamble",Unresolved,,L,WCSP (in review),,548919-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","75: 382","","1914",kew-2353050
kew-2353610,A,Loranthaceae,,Lepeostegeres,,"lanceifolius",,"","Danser",Unresolved,,L,WCSP (in review),,548920-1,"Bull. Jard. Bot. Buitenzorg","III, 10: 321","","1929",
kew-2353609,A,Loranthaceae,,Lepeostegeres,,"ovatibracteus",,"","Merr.",Unresolved,,L,WCSP (in review),,548921-1,"Enum. Philipp. Fl. Pl.","2: 101","","1923",kew-2354249
kew-2353608,A,Loranthaceae,,Lepeostegeres,,"parviflorus",,"","Danser",Unresolved,,L,WCSP (in review),,548922-1,"Bull. Jard. Bot. Buitenzorg","III, 11: 271","","1931",
kew-2353607,A,Loranthaceae,,Lepeostegeres,,"sankumbangensis",,"","Miq.",Unresolved,,L,WCSP (in review),,548923-1,"Fl. Ned. Ind.","1(1): 834","","1856",
tro-50184691,A,Loranthaceae,,Lepeostegeres,,"tetragona",,"","Merr.",Unresolved,,L,TRO,50184691,548924-1,"Univ. Calif. Publ. Bot.","15: 55","55","1929",
kew-2353595,A,Loranthaceae,,Lepeostegeres,,"tetranthus",,"","Merr.",Unresolved,,L,WCSP (in review),,548925-1,"Enum. Philipp. Fl. Pl.","2: 101","","1923",
kew-2353604,A,Loranthaceae,,Lepeostegeres,,"teysmannii",,"","Tiegh.",Unresolved,,L,WCSP (in review),,548926-1,"Compt. Rend. Hebd. Séances Acad. Sci.","153: 1198","","1911",
kew-2353615,A,Loranthaceae,,Lepeostegeres,,"williamsii",,"","Merr.",Unresolved,,L,WCSP (in review),,548927-1,"Enum. Philipp. Fl. Pl.","2: 102","","1923",kew-2354681
