ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
gcc-89536,A,Compositae,,Lepidolopsis,,"goloskokovii",,"","Poljakov",Unresolved,,L,TICA,4AF6C52E-5E64-4141-B0F6-81EA2C5E8CE2,229710-1,"""in Not. Syst. Herb. Inst. Bot. Acad. Sci. URSS, xix. 376 (1959).""","","xix. 376","1959",gcc-13966
gcc-129226,A,Compositae,,Lepidolopsis,,"karataviensis",,"","(Kovalevsk.) Myrzakulov",Unresolved,,L,TICA,4F27E3B7-9775-4AE2-8E29-DBCEC13E6EE0,,"""in Illyustr. Opred. Rast. Kazakhst., 2: 349 (1972), without basionym ref.""","","","",
gcc-106717,A,Compositae,,Lepidolopsis,,"krascheninnikovii",,"","(Nevski) Poljakov",Unresolved,,L,TICA,CB6E4B09-24E1-4A86-BBAB-A87015470404,229712-1,"""in Not. Syst. Herb. Inst. Bot. Acad. Sci. URSS, xix. 376 (1959).""","","xix. 376","1959",
gcc-99262,A,Compositae,,Lepidolopsis,,"mucronata",,"","(Regel & Schmalh.) Poljakov",Unresolved,,L,TICA,3230F54A-494A-4C4F-AE7E-97FF47AE4AE9,229713-1,"""in Not. Syst. Herb. Inst. Bot. Acad. Sci. URSS, xix. 375 (1959).""","","xix. 375","1959",
gcc-16984,A,Compositae,,Lepidolopsis,,"paropamisica",,"","(Krasch.) Poljakov",Unresolved,,L,TICA,F567A1A7-51FF-4FA3-8054-1F6327580A8C,229714-1,"""in Not. Syst. Herb. Inst. Bot. Acad. Sci. URSS, xix. 376 (1959).""","","xix. 376","1959",
gcc-17090,A,Compositae,,Lepidolopsis,,"pjataevae",,"","(Kovalevsk.) Myrzakulov",Unresolved,,L,TICA,B6129FA9-B91D-40DD-A2EE-1F98533A447F,,"""in Illyustr. Opred. Rast. Kazakhst., 2: 349 (1972), without basionym ref.""","","","",
gcc-33242,A,Compositae,,Lepidolopsis,,"pseudoachillea",,"","(C.Winkl.) Poljakov",Unresolved,,L,TICA,2399E438-5E6F-4E13-A35C-3DA6A105E975,229716-1,"""in Not. Syst. Herb. Inst. Bot. Acad. Sci. URSS, xix. 375 (1959).""","","xix. 375","1959",
gcc-21409,A,Compositae,,Lepidolopsis,,"scopulorum",,"","(Krasch.) Poljakov",Synonym,,M,TICA,A3A9B5B2-067A-4FE7-AB66-2791D00C3241,,"""in Not. Syst. Herb. Inst. Bot. Acad. Sci. URSS, xix. 376 (1959).""","","","1959",gcc-8065
gcc-38856,A,Compositae,,Lepidolopsis,,"setacea",,"","(Regel & Schmalh.) Poljakov",Unresolved,,L,TICA,0FF15D7D-DE67-4545-83AF-481423F55EB1,229718-1,"""in Not. Syst. Herb. Inst. Bot. Acad. Sci. URSS, xix. 376 (1959).""","","xix. 376","1959",
gcc-108147,A,Compositae,,Lepidolopsis,,"submarginata",,"","(Kovalevsk.) Myrzakulov",Unresolved,,L,TICA,260734D2-7FE3-464D-BA8E-ABB11DA2C08F,,"""in Illyustr Opred. Rast. Kazakhst., 2: 349 (1972), without basionym ref.""","","","",
gcc-82205,A,Compositae,,Lepidolopsis,,"tadshikorum",,"","(Kudrj.) Poljakov",Unresolved,,L,TICA,2ABB1F82-D593-4D95-A97C-7185C3556FD3,229720-1,"""in Not. Syst. Herb. Inst. Bot. Acad. Sci. URSS, xix. 375 (1959).""","","xix. 375","1959",
gcc-133755,A,Compositae,,Lepidolopsis,,"turkestanica",,"","(Regel & Schmalh.) Poljakov",Accepted,,M,TICA,02511400-89F8-4BC7-8E0F-E63D83408003,,"","","","1959",
gcc-137127,A,Compositae,,Lepidolopsis,,"umbellifera",,"","(Boiss. & sine ref.) Poljakov",Unresolved,,L,TICA,2478AD68-1AD9-4722-908A-EDC58443F05E,229722-1,"in Fl. Turkm. vii. 105 (1960)","","105","1960",
