ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-29100030,A,Saxifragaceae,,Leptasea,,"aizoides",,"","(L.) Haw.",Synonym,,M,TRO,29100030,791782-1,"Saxifrag. Enum.","40","40","1821",kew-2583407
kew-2869833,A,Saxifragaceae,,Leptasea,,"aizoides",f.,"crocea","(Gaudin) Moldenke",Synonym,,L,WCSP (in review),,,"Lloydia","13: 223","","1950",kew-2583407
tro-50308396,A,Saxifragaceae,,Leptasea,,"alaskana",,"","Small",Synonym,,M,TRO,50308396,138250-2,"N. Amer. Fl.","22(2): 152","152","1905",tro-50325010
tro-50282537,A,Saxifragaceae,,Leptasea,,"austromontana",,"","(Wiegand) Small",Synonym,,L,TRO,50282537,138251-2,"N. Amer. Fl.","22(2): 153","153","1905",kew-2720924
tro-50199253,A,Saxifragaceae,,Leptasea,,"bronchialis",,"","(L.) Kom.",Synonym,,M,TRO,50199253,,"","","","",kew-2584820
tro-50308398,A,Saxifragaceae,,Leptasea,,"cherlerioides",,"","(D. Don) Small",Synonym,,M,TRO,50308398,138252-2,"N. Amer. Fl.","22(2): 153","153","1905",tro-29100570
tro-50308395,A,Saxifragaceae,,Leptasea,,"chrysantha",,"","(A. Gray) Small",Synonym,,M,TRO,50308395,138253-2,"N. Amer. Fl.","22(2): 152","152","1905",tro-50142934
kew-2493442,A,Saxifragaceae,,Leptasea,,"fimbriata",,"","Small",Unresolved,,L,WCSP (in review),,138254-2,"N. Amer. Fl.","22: 154","","1905",
kew-2493444,A,Saxifragaceae,,Leptasea,,"flagellaris",,"","Small",Unresolved,,L,WCSP (in review),,138255-2,"N. Amer. Fl.","22: 154","","1905",kew-2583838
tro-29101318,A,Saxifragaceae,,Leptasea,,"funstonii",,"","Small",Synonym,,M,TRO,29101318,138256-2,"N. Amer. Fl.","22(2): 154","154","1905",tro-29100171
kew-2493450,A,Saxifragaceae,,Leptasea,,"hirculus",,"","(L.) Small",Synonym,,M,WCSP (in review),,138257-2,"N. Amer. Fl.","22: 152","","1905",kew-2583517
kew-2493449,A,Saxifragaceae,,Leptasea,,"ledifolia",,"","Small",Unresolved,,L,WCSP (in review),,138258-2,"N. Amer. Fl.","22: 155","","1905",
kew-2493448,A,Saxifragaceae,,Leptasea,,"merkii",,"","Kom.",Unresolved,,L,WCSP (in review),,,"Fl. Kamtschatka","2: 215","","1929",kew-2584853
kew-2493447,A,Saxifragaceae,,Leptasea,,"mutata",,"","(L.) Fourr.",Synonym,,M,WCSP (in review),,791794-1,"Ann. Soc. Linn. Lyon","n.s., 16: 385","","1868",kew-2583787
tro-50308394,A,Saxifragaceae,,Leptasea,,"serpyllifolia",,"","(Pursh) Small",Synonym,,M,TRO,50308394,138259-2,"N. Amer. Fl.","22(2): 152","152","1905",tro-50324866
kew-2493445,A,Saxifragaceae,,Leptasea,,"tolmiei",,"","Small",Unresolved,,L,WCSP (in review),,138260-2,"N. Amer. Fl.","22: 155","","1905",
kew-2493435,A,Saxifragaceae,,Leptasea,,"tricuspidata",,"","Haw.",Unresolved,,L,WCSP (in review),,,"Saxifrag. Enum.","1: 40","","1821",
tro-50308397,A,Saxifragaceae,,Leptasea,,"vanbruntiae",,"","(Small) Small",Accepted,,M,TRO,50308397,138261-2,"N. Amer. Fl.","22(2): 153","153","1905",
tro-50081914,A,Saxifragaceae,,Leptasea,,"vespertina",,"","Small",Synonym,,L,TRO,50081914,138262-2,"N. Amer. Fl.","22(2): 153","153","1905",kew-2720933
