ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
gcc-88335,A,Compositae,,Leucophyta,,"aervoides",,"","(F.Muell.) Kuntze",Unresolved,,L,TICA,502E7EB7-34F6-4B1A-AF34-7F3659E57297,116152-3,"","","","1891",gcc-126077
gcc-2518,A,Compositae,,Leucophyta,,"angianthodes",,"","(Steetz) Kuntze",Unresolved,,L,TICA,F4667C78-7A27-4BDE-BE72-04963BBB05A8,116188-3,"","","","1891",
gcc-36417,A,Compositae,,Leucophyta,,"brownii",,"","Cass.",Accepted,,M,TICA,0C710012-381D-4349-90FB-438AC886D1F7,230241-1,"","","159","1823",
gcc-63899,A,Compositae,,Leucophyta,,"brownii",var.,"brownii","",Synonym,,L,TICA,4026EDCC-C002-4E3D-A72E-BA69064D0454,,"Plantae Preissianae 1(4)  1845","","1(4)  1845","",gcc-36417
gcc-135855,A,Compositae,,Leucophyta,,"citrea",,"","Sond.",Synonym,,M,TICA,A4DCDCAB-D29F-49BD-9229-EADC9103BE2A,116307-3,"Linnaea 25  1853","","25","1853",gcc-30837
gcc-90659,A,Compositae,,Leucophyta,,"citrea",,"","(Less.) Kuntze",Unresolved,,L,TICA,1E75A247-BF3B-41DD-ACC9-849529FC76FC,116334-3,"","","","1891",
gcc-20182,A,Compositae,,Leucophyta,,"ditrichii",,"","(F.Muell.) Kuntze",Unresolved,,L,TICA,F7A64F14-387F-45AA-B6A1-2549EEE4616E,116363-3,"","","","1891",
gcc-91400,A,Compositae,,Leucophyta,,"drummondii",,"","(A.Gray) Kuntze",Unresolved,,L,TICA,77E0F6B8-70A3-4A46-BE21-8650384133C6,116396-3,"","","","1891",gcc-117903
gcc-130490,A,Compositae,,Leucophyta,,"francisii",,"","(F.Muell.) Kuntze",Unresolved,,L,TICA,C81B92C7-E15F-4888-B301-DEA644FB7294,116419-3,"","","","1891",gcc-142851
gcc-48169,A,Compositae,,Leucophyta,,"lactea",,"","(Less.) Kuntze",Unresolved,,L,TICA,69AC85AF-14C1-4D44-A2C9-5948120880D7,116442-3,"","","","1891",gcc-102402
gcc-137538,A,Compositae,,Leucophyta,,"lessingii",,"","Muell.",Unresolved,,L,TICA,3683044D-5D23-42BE-817D-EEA5567EB58E,230247-1,"in Vict. Natural. ix. (April 1873) 188.","","","1893",
gcc-95257,A,Compositae,,Leucophyta,,"multiflora",,"","(Turcz.) Kuntze",Unresolved,,L,TICA,A034897E-C0B3-444E-80A4-8EE603E88C25,116579-3,"","","","1891",gcc-132485
gcc-31251,A,Compositae,,Leucophyta,,"platycephala",,"","(F.Muell.) Kuntze",Unresolved,,L,TICA,38CCE1BB-F52F-4CFD-AFCD-39DCF55DCD54,116604-3,"","","","1891",gcc-50992
gcc-84659,A,Compositae,,Leucophyta,,"sonderi",,"","(F.Muell.) Kuntze",Unresolved,,L,TICA,C80D5E3B-4F54-4601-B5D1-77022ECAFFB5,116633-3,"","","","1891",
