ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-280209,A,Asparagaceae,,Liriope,,"angustissima",,"","Ohwi",Synonym,,H,WCSP,280209,537858-1,"Acta Phytotax. Geobot.","3: 201","","1934",kew-279457
kew-280984,A,Nartheciaceae,,Liriope,,"brachyphylla",,"","Merr.",Synonym,,H,WCSP,280984,537859-1,"Philipp. J. Sci., C","2: 266","","1907",kew-294696
kew-280208,A,Asparagaceae,,Liriope,,"cernua",,"","(Koidz.) Masam.",Synonym,,H,WCSP,280208,537860-1,"Mem. Fac. Sci. Taihoku Imp. Univ.","11(4): 559","","1934",kew-279459
kew-342984,A,Asparagaceae,,Liriope,,"cernua",var.,"albiflora","Murai",Synonym,,L,WCSP,342984,,"Fl. Centr. Iwate","159","","1935",kew-279459
kew-280611,A,Asparagaceae,,Liriope,,"crassiuscula",,"","Ohwi",Synonym,,H,WCSP,280611,537861-1,"Acta Phytotax. Geobot.","12: 108","","1943",kew-279457
kew-280207,A,Asparagaceae,,Liriope,,"exiliflora",,"","(L.H.Bailey) H.H.Hume",Synonym,,H,WCSP,280207,537862-1,"Baileya","9: 144","","1961",kew-280317
kew-280206,A,Asparagaceae,,Liriope,,"gigantea",,"","H.H.Hume",Synonym,,H,WCSP,280206,537863-1,"Baileya","9: 148","","1961",kew-280317
kew-280205,A,Asparagaceae,,Liriope,,"gracilis",,"","(Kunth) Nakai",Synonym,,H,WCSP,280205,537864-1,"Index Seminum (TI)","1919-1920: 33","","1920",kew-279475
kew-279457,A,Asparagaceae,,Liriope,,"graminifolia",,"","(L.) Baker",Accepted,,H,WCSP,279457,429753-1,"J. Linn. Soc., Bot.","14: 538","","1875",
kew-311443,A,Asparagaceae,,Liriope,,"graminifolia",var.,"albiflora","Makino",Synonym,,L,WCSP,311443,,"J. Jap. Bot.","3: 38","","1926",kew-280317
kew-310387,A,Asparagaceae,,Liriope,,"graminifolia",var.,"densifolia","Maxim. ex Baker",Synonym,,L,WCSP,310387,,"J. Linn. Soc., Bot.","17: 500","","1879",kew-280317
kew-310392,A,Asparagaceae,,Liriope,,"graminifolia",var.,"koreana","(Palib.) Nakai",Synonym,,L,WCSP,310392,,"Fl. Korea","2: 239","","1911",kew-279460
kew-311436,A,Asparagaceae,,Liriope,,"graminifolia",var.,"latifolia","Makino",Synonym,,L,WCSP,311436,,"Yagaihakubutsu","3: 165","","1933",kew-280317
kew-311446,A,Asparagaceae,,Liriope,,"graminifolia",var.,"minor","(Maxim.) Baker",Synonym,,L,WCSP,311446,60450936-2,"J. Linn. Soc., Bot.","17: 500","","1879",kew-279459
kew-311440,A,Asparagaceae,,Liriope,,"graminifolia",var.,"praealba","Makino",Synonym,,L,WCSP,311440,,"J. Jap. Bot.","5: 22","","1928",kew-280317
kew-311438,A,Asparagaceae,,Liriope,,"graminifolia",var.,"variegata","(L.H.Bailey) Makino",Synonym,,L,WCSP,311438,,"Engei-Shokub.","3: 1065","","1940",kew-280317
kew-279458,A,Asparagaceae,,Liriope,,"kansuensis",,"","(Batalin) C.H.Wright",Accepted,,H,WCSP,279458,429755-1,"J. Linn. Soc., Bot.","36: 79","","1903",
kew-280204,A,Asparagaceae,,Liriope,,"koreana",,"","(Palib.) Nakai",Synonym,,H,WCSP,280204,,"Veg. Mt. Chirisan","26","","1915",kew-279460
kew-280272,A,Asparagaceae,,Liriope,,"longipedicellata",,"","F.T.Wang & Tang",Accepted,,H,WCSP,280272,537867-1,"in Fl. Reipubl. Popul. Sin.","15: 251","","1978",
