ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2494607,A,Meliaceae,,Lovoa,,"angulata",,"","Harms",Unresolved,,L,WCSP (in review),,578907-1,"Notizbl. Bot. Gart. Berlin-Dahlem","7: 225","","1917",
kew-2494616,A,Meliaceae,,Lovoa,,"brachysiphon",,"","Sprague",Unresolved,,L,WCSP (in review),,578908-1,"J. Linn. Soc., Bot.","37: 508","","1906",
kew-2494625,A,Meliaceae,,Lovoa,,"brownii",,"","Sprague",Unresolved,,L,WCSP (in review),,578909-1,"J. Linn. Soc., Bot.","37: 509","","1906",
kew-2494614,A,Meliaceae,,Lovoa,,"budongensis",,"","Sprague",Unresolved,,L,WCSP (in review),,578910-1,"J. Linn. Soc., Bot.","37: 508","","1906",
kew-2494613,A,Meliaceae,,Lovoa,,"corbisieriana",,"","Staner",Unresolved,,L,WCSP (in review),,578911-1,"Rev. Zool. Bot. Africaines","19: 429","","1930",
tro-20400541,A,Meliaceae,,Lovoa,,"klaineana",,"","Pierre ex Sprague",Synonym,,M,TRO,20400541,,"J. Linn. Soc., Bot.","37: 508","508","1906",kew-2494617
kew-2494611,A,Meliaceae,,Lovoa,,"leplaeana",,"","Staner",Unresolved,,L,WCSP (in review),,578913-1,"Rev. Zool. Bot. Africaines","19: 430","","1930",
kew-2494610,A,Meliaceae,,Lovoa,,"mildbraedii",,"","Harms",Unresolved,,L,WCSP (in review),,578914-1,"Notizbl. Bot. Gart. Berlin-Dahlem","7: 225","","1917",
tro-20400542,A,Meliaceae,,Lovoa,,"pseudocedrela",,"","Varm",Synonym,,M,TRO,20400542,,"","","","",tro-20400543
kew-2494609,A,Meliaceae,,Lovoa,,"pynaertii",,"","De Wild.",Unresolved,,L,WCSP (in review),,578915-1,"Ann. Mus. Congo Belge, Bot.","V, 2: 260","","1908",
tro-20400993,A,Meliaceae,,Lovoa,,"swynnertonii",,"","Baker f.",Accepted,,M,TRO,20400993,578916-1,"J. Linn. Soc., Bot.","40: 41, t. 3","41","1911",
tro-20400543,A,Meliaceae,,Lovoa,,"tomentosa",,"","A. Chev.",Accepted,,M,TRO,20400543,,"","","","",
kew-2494615,A,Meliaceae,,Lovoa,,"trachysiphon",,"","Engl.",Unresolved,,L,WCSP (in review),,578917-1,"Veg. Erde","9(III 1): 808","","1915",
kew-2494617,A,Meliaceae,,Lovoa,,"trichilioides",,"","Harms",Accepted,,M,WCSP (in review),,578918-1,"Nat. Pflanzenfam.","3(4): 308","","1896",
