ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-27102099,A,Ranunculaceae,,Lycoctonum,,"ajanense",,"","Nakai",Synonym,,M,TRO,27102099,,"","","","",kew-2618340
tro-27102550,A,Ranunculaceae,,Lycoctonum,,"albo-violaceum",,"","Nakai",Synonym,,M,TRO,27102550,,"","","","",kew-2618346
tro-27102156,A,Ranunculaceae,,Lycoctonum,,"barbatum",,"","(Pers.) Nakai",Synonym,,M,TRO,27102156,,"","","","",kew-2618419
kew-2493234,A,Ranunculaceae,,Lycoctonum,,"chrysopilum",,"","(Nakai) Nakai",Unresolved,,L,WCSP (in review),,711546-1,"J. Jap. Bot.","13: 405","","1937",kew-2618539
tro-27102194,A,Ranunculaceae,,Lycoctonum,,"excelsum",,"","Nakai",Synonym,,M,TRO,27102194,,"","","","",kew-2619505
kew-2493232,A,Ranunculaceae,,Lycoctonum,,"fudjisanense",,"","(Nakai) Nakai",Unresolved,,L,WCSP (in review),,711548-1,"J. Jap. Bot.","13: 406","","1937",kew-2618736
kew-2493241,A,Ranunculaceae,,Lycoctonum,,"gigas",,"","(H.Lév. & Vaniot) Nakai",Unresolved,,L,WCSP (in review),,711549-1,"J. Jap. Bot.","13: 406","","1937",kew-2618760
tro-27102159,A,Ranunculaceae,,Lycoctonum,,"kirinense",,"","(Nakai) Nakai",Synonym,,M,TRO,27102159,,"","","","",kew-2618905
tro-50213249,A,Ranunculaceae,,Lycoctonum,,"kirinense",var.,"villipes","Nakai",Synonym,,L,TRO,50213249,,"","","","",kew-2618905
kew-2493229,A,Ranunculaceae,,Lycoctonum,,"koisikawense",,"","(Nakai) Nakai",Unresolved,,L,WCSP (in review),,711551-1,"J. Jap. Bot.","13: 406","","1937",kew-2618920
kew-2493228,A,Ranunculaceae,,Lycoctonum,,"loczyanum",,"","(Rapaics) Nakai",Unresolved,,L,WCSP (in review),,711552-1,"J. Jap. Bot.","13: 406","","1937",kew-2618995
kew-2493227,A,Ranunculaceae,,Lycoctonum,,"longicassidatum",,"","(Nakai) Nakai",Unresolved,,L,WCSP (in review),,711553-1,"J. Jap. Bot.","13: 406","","1937",
tro-27102157,A,Ranunculaceae,,Lycoctonum,,"ochranthum",,"","(C.A. Mey.) Nakai",Synonym,,L,TRO,27102157,,"","","","",kew-2618423
kew-2493225,A,Ranunculaceae,,Lycoctonum,,"paishanense",,"","Nakai",Unresolved,,L,WCSP (in review),,711555-1,"Bull. Natl. Sci. Mus. Tokyo","32: 14","","1953",
kew-2493267,A,Ranunculaceae,,Lycoctonum,,"pseudolaeve",,"","(Nakai) Nakai",Unresolved,,L,WCSP (in review),,711556-1,"J. Jap. Bot.","13: 406","","1937",kew-2619382
kew-2493213,A,Ranunculaceae,,Lycoctonum,,"pterocaule",,"","(Koidz.) Nakai",Unresolved,,L,WCSP (in review),,711557-1,"J. Jap. Bot.","13: 406","","1937",kew-2619386
kew-2493244,A,Ranunculaceae,,Lycoctonum,,"pteropus",,"","(Nakai) Nakai",Unresolved,,L,WCSP (in review),,711558-1,"J. Jap. Bot.","13: 406","","1937",kew-2619389
kew-2493296,A,Ranunculaceae,,Lycoctonum,,"quelpaertense",,"","(Nakai) Nakai",Unresolved,,L,WCSP (in review),,711560-1,"J. Jap. Bot.","13: 406","","1937",kew-2619413
tro-27102183,A,Ranunculaceae,,Lycoctonum,,"ranunculoides",,"","Nakai",Synonym,,M,TRO,27102183,,"","","","",kew-2619423
kew-2493294,A,Ranunculaceae,,Lycoctonum,,"scaposum",,"","(Franch.) Nakai",Unresolved,,L,WCSP (in review),,711562-1,"J. Jap. Bot.","13: 406","","1937",kew-2619476
tro-27104904,A,Ranunculaceae,,Lycoctonum,,"shansiense",,"","Nakai",Synonym,,M,TRO,27104904,711563-1,"Bull. Natl. Sci. Mus.","n. 32, 6","n. 32","1953",kew-2619523
tro-27102158,A,Ranunculaceae,,Lycoctonum,,"sibiricum",,"","(Poir.) Nakai",Synonym,,M,TRO,27102158,,"","","","",kew-2618420
kew-2493291,A,Ranunculaceae,,Lycoctonum,,"sinanomontanum",,"","(Nakai) Nakai",Unresolved,,L,WCSP (in review),,711565-1,"J. Jap. Bot.","13: 406","","1937",kew-2619519
tro-50213244,A,Ranunculaceae,,Lycoctonum,,"sinomontanum",,"","(Nakai) Nakai",Synonym,,M,TRO,50213244,,"","","","",kew-2619523
kew-2493289,A,Ranunculaceae,,Lycoctonum,,"siroumense",,"","(Nakai) Nakai",Unresolved,,L,WCSP (in review),,711567-1,"J. Jap. Bot.","13: 406","","1937",kew-2603404
kew-2493297,A,Ranunculaceae,,Lycoctonum,,"sylvaticum",,"","Fourr.",Unresolved,,L,WCSP (in review),,711568-1,"Ann. Soc. Linn. Lyon","n.s., 16: 326","","1868",kew-2619019
kew-2493287,A,Ranunculaceae,,Lycoctonum,,"togashii",,"","Nakai",Unresolved,,L,WCSP (in review),,711569-1,"Bull. Natl. Sci. Mus. Tokyo","32: 10","","1953",
tro-27102551,A,Ranunculaceae,,Lycoctonum,,"umbrosum",,"","Nakai",Synonym,,M,TRO,27102551,711570-1,"J. Jap. Bot.","19: 312","312","1943",kew-2619674
tro-27102100,A,Ranunculaceae,,Lycoctonum,,"violaceum",,"","Nakai",Unresolved,,L,TRO,27102100,,"","","","",
