ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2505279,A,Limeaceae,,Macarthuria,,"apetala",,"","Harv.",Unresolved,,L,WCSP (in review),,362508-1,"Hooker's J. Bot. Kew Gard. Misc.","7: 55","","1855",
kew-2505267,A,Limeaceae,,Macarthuria,,"australis",,"","Hügel ex Endl.",Unresolved,,L,WCSP (in review),,362509-1,"Enum. Pl. Hügel","11","","1837",
kew-2505278,A,Limeaceae,,Macarthuria,,"complanata",,"","E.M.Ross",Unresolved,,L,WCSP (in review),,904614-1,"Austrobaileya","2: 25","","1984",
kew-2505288,A,Limeaceae,,Macarthuria,,"ephedroides",,"","C.T.White",Unresolved,,L,WCSP (in review),,57593-1,"Proc. Roy. Soc. Queensland","57: 27","","1947",
kew-2505276,A,Limeaceae,,Macarthuria,,"foliosa",,"","Preiss. ex Steud.",Unresolved,,L,WCSP (in review),,362510-1,"Pl. Preiss.","1: 230","","1845",
kew-2505275,A,Limeaceae,,Macarthuria,,"georgeana",,"","Keighery",Unresolved,,L,WCSP (in review),,904615-1,"Willdenowia","13: 387","","1983 publ. 1984",
kew-2505274,A,Limeaceae,,Macarthuria,,"intricata",,"","Keighery",Unresolved,,L,WCSP (in review),,900239-1,"Nordic J. Bot.","2: 5","","1982",
kew-2505273,A,Limeaceae,,Macarthuria,,"keigheryi",,"","Lepschi",Unresolved,,L,WCSP (in review),,990754-1,"Nuytsia","11: 48","","1996",
kew-2512231,A,Limeaceae,,Macarthuria,,"neocambrica",,"","F.Muell.",Unresolved,,L,WCSP (in review),,362511-1,"Fragm.","5: 28","","1865",
kew-2505271,A,Limeaceae,,Macarthuria,,"vertex",,"","Lepschi",Unresolved,,L,WCSP (in review),,990755-1,"Nuytsia","11: 51","","1996",
