ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-118078,A,Orchidaceae,,Malaxis,,"abieticola",,"","Salazar & Soto Arenas",Accepted,,H,WCSP,118078,20002163-1,"Lindleyana","16: 149","","2001",
kew-118079,A,Orchidaceae,,Malaxis,,"acianthoides",,"","(Schltr.) Ames",Accepted,,H,WCSP,118079,149758-2,"Proc. Biol. Soc. Wash.","35: 84","","1922",
kew-118080,A,Orchidaceae,,Malaxis,,"acuminata",,"","D.Don",Synonym,,H,WCSP,118080,642069-1,"Prodr. Fl. Nepal.","29","","1825",kew-48806
kew-118081,A,Orchidaceae,,Malaxis,,"acuminata",var.,"biloba","(Lindl.) Ames",Synonym,,L,WCSP,118081,,"Enum. Philipp. Apost.","302","","1926",kew-48806
kew-118082,A,Orchidaceae,,Malaxis,,"acuminata",f.,"biloba","(Lindl.) Tuyama",Synonym,,L,WCSP,118082,,"in Fl. E. Himal.","443","","1966",kew-48806
kew-118083,A,Orchidaceae,,Malaxis,,"acutangula",,"","(Hook.f.) Kuntze",Synonym,,H,WCSP,118083,642070-1,"Revis. Gen. Pl.","2: 673","","1891",kew-49009
kew-458285,A,Orchidaceae,,Malaxis,,"adenotropa",,"","R.González, Lizb.Hern. & E.Ramírez",Accepted,,H,WCSP,458285,77102352-1,"Ibugana","15(1-2): 51","","2007 publ. 2008",
kew-118084,A,Orchidaceae,,Malaxis,,"adolphii",,"","(Schltr.) Ames",Accepted,,H,WCSP,118084,149759-2,"Orchidaceae","7: 158","","1922",
kew-118085,A,Orchidaceae,,Malaxis,,"affinis",,"","Blume",Synonym,,H,WCSP,118085,642072-1,"Bijdr.","392","","1825",kew-112616
kew-118086,A,Orchidaceae,,Malaxis,,"alagensis",,"","(Ames) Ames",Synonym,,H,WCSP,118086,642073-1,"Orchidaceae","2: 122","","1908",kew-48808
kew-118087,A,Orchidaceae,,Malaxis,,"alamaganensis",,"","S.Kobay.",Accepted,,H,WCSP,118087,,"Nat. Hist. Res. (Chiba)","special issue, 1: 71","","1994",
kew-118088,A,Orchidaceae,,Malaxis,,"allanii",,"","S.Y.Hu & Barretto",Synonym,,H,WCSP,118088,642074-1,"Chung Chi J.","13(2): 18","","1976",kew-48806
kew-118089,A,Orchidaceae,,Malaxis,,"alvaroi",,"","García-Cruz, R.Jiménez & L.Sánchez",Accepted,,H,WCSP,118089,317147-2,"Sida","18: 414","","1998",
kew-118090,A,Orchidaceae,,Malaxis,,"amabilis",,"","(J.J.Sm.) J.J.Wood",Accepted,,H,WCSP,118090,978298-1,"Check-list Orchids Borneo","98","","1994",
kew-118091,A,Orchidaceae,,Malaxis,,"amplectens",,"","(J.J.Sm.) Ames & C.Schweinf.",Synonym,,H,WCSP,118091,642075-1,"Orchidaceae","6: 73","","1920",kew-48809
kew-118092,A,Orchidaceae,,Malaxis,,"amplexicolumna",,"","E.W.Greenw. & R.González",Synonym,,H,WCSP,118092,149760-2,"Orquídea (Mexico City)","n.s., 8: 123","","1981",kew-118674
kew-118093,A,Orchidaceae,,Malaxis,,"anceps",,"","(Lindl.) Rchb.f.",Synonym,,H,WCSP,118093,642076-1,"Ann. Bot. Syst.","6: 214","","1861",kew-136461
kew-118094,A,Orchidaceae,,Malaxis,,"andamanica",,"","(King & Pantl.) N.P.Balakr. & Vasudeva Rao",Synonym,,H,WCSP,118094,909062-1,"Bull. Bot. Surv. India","21: 177","","1979 publ. 1981",kew-48825
kew-252997,A,Orchidaceae,,Malaxis,,"andersoniana",,"","R.González",Accepted,,H,WCSP,252997,,"Ibugana","10: 68","","2003",
kew-118095,A,Orchidaceae,,Malaxis,,"andersonii",,"","(Ridl.) Ames",Accepted,,H,WCSP,118095,,"J. Straits Branch Roy. Asiat. Soc.","Spec. No.: 150","","1921",
kew-118096,A,Orchidaceae,,Malaxis,,"andicola",,"","(Ridl.) Kuntze",Accepted,,H,WCSP,118096,149761-2,"Revis. Gen. Pl.","2: 673","","1891",
kew-335141,A,Orchidaceae,,Malaxis,,"andicola",var.,"elata","(C.Schweinf.) C.Schweinf.",Synonym,,L,WCSP,335141,149762-2,"Fieldiana, Bot.","33: 33","","1970",kew-118640
kew-118097,A,Orchidaceae,,Malaxis,,"angustifolia",,"","(Lindl.) Rchb.f.",Synonym,,H,WCSP,118097,642080-1,"Ann. Bot. Syst.","6: 213","","1861",kew-136254
kew-118098,A,Orchidaceae,,Malaxis,,"angustifolia",,"","Blume",Synonym,,H,WCSP,118098,642079-1,"Bijdr.","393","","1825",kew-112707
kew-118099,A,Orchidaceae,,Malaxis,,"angustifovea",,"","(J.J.Sm.) S.Thomas, Schuit. & de Vogel",Synonym,,H,WCSP,118099,20006002-1,"Lindleyana","17: 41","","2002",kew-234885
kew-118100,A,Orchidaceae,,Malaxis,,"anthropophora",,"","(Lindl.) Rchb.f.",Synonym,,H,WCSP,118100,642081-1,"Ann. Bot. Syst.","6: 215","","1861",kew-136255
kew-118101,A,Orchidaceae,,Malaxis,,"aphylla",,"","(King & Pantl.) Tang & F.T.Wang",Synonym,,H,WCSP,118101,642082-1,"Acta Phytotax. Sin.","1: 71","","1951",kew-234886
kew-118102,A,Orchidaceae,,Malaxis,,"apiculata",,"","Dod",Accepted,,H,WCSP,118102,280283-2,"Moscosoa","4: 174","","1986",
kew-118103,A,Orchidaceae,,Malaxis,,"apollinis",,"","P.F.Hunt",Synonym,,H,WCSP,118103,642083-1,"Kew Bull.","24: 78","","1970",kew-48890
kew-118104,A,Orchidaceae,,Malaxis,,"aporophylla",,"","(Rchb.f.) Rchb.f.",Synonym,,H,WCSP,118104,642084-1,"Ann. Bot. Syst.","6: 214","","1861",kew-136258
kew-118105,A,Orchidaceae,,Malaxis,,"arachnifera",,"","(Ridl.) Kuntze",Synonym,,H,WCSP,118105,149763-2,"Revis. Gen. Pl.","2: 673","","1891",kew-118234
kew-118106,A,Orchidaceae,,Malaxis,,"arachnoidea",,"","(Schltr.) P.F.Hunt",Synonym,,H,WCSP,118106,642086-1,"Kew Bull.","24: 78","","1970",kew-48812
kew-252998,A,Orchidaceae,,Malaxis,,"arboricola",,"","P.O'Byrne",Accepted,,H,WCSP,252998,20005352-1,"Malayan Orchid Rev.","35: 56","","2001",
kew-118107,A,Orchidaceae,,Malaxis,,"argentinensis",,"","L.O.Williams",Synonym,,H,WCSP,118107,149764-2,"Lilloa","4: 364","","1939",kew-118491
kew-118108,A,Orchidaceae,,Malaxis,,"arietina",,"","Ames",Synonym,,H,WCSP,118108,642088-1,"Philipp. J. Sci., C","8: 411","","1913 publ. 1914",kew-48813
kew-118109,A,Orchidaceae,,Malaxis,,"arisanensis",,"","(Hayata) S.Y.Hu",Synonym,,H,WCSP,118109,642089-1,"Quart. J. Taiwan Mus.","27: 432","","1974",kew-118425
kew-118110,A,Orchidaceae,,Malaxis,,"aschista",,"","Seidenf.",Synonym,,H,WCSP,118110,642090-1,"Dansk Bot. Ark.","33: 72","","1978",kew-48814
kew-118111,A,Orchidaceae,,Malaxis,,"atrata",,"","(Schltr.) C.Schweinf.",Synonym,,H,WCSP,118111,642091-1,"Bernice P. Bishop Mus. Bull.","141: 21","","1936",kew-48815
