ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-2601819,A,Apocynaceae,,Melinia,,"angustifolia",,"","A. Gray",Synonym,,M,TRO,2601819,99557-1,"Proc. Amer. Acad. Arts","12: 70–73","70","1877",tro-50124616
tro-2605358,A,Apocynaceae,,Melinia,,"atropurpurea",,"","Malme",Synonym,,M,TRO,2605358,156661-2,"Kongl. Svenska Vetensk. Acad. Handl., n.s.","34(7): 72–73, t. 4, f. 11","72","1900",tro-2610248
kew-2358594,A,Apocynaceae,,Melinia,,"bicornuta",,"","Griseb.",Unresolved,,L,WCSP (in review),,99559-1,"Abh. Königl. Ges. Wiss. Göttingen","24: 228","","1879",tro-50278640
tro-2600503,A,Apocynaceae,,Melinia,,"campanulata",,"","Schltr.",Synonym,,M,TRO,2600503,156659-2,"Bot. Jahrb. Syst.","37: 615–616","615","1906",tro-50278635
tro-2600504,A,Apocynaceae,,Melinia,,"candolleana",,"","Decne.",Synonym,,L,TRO,2600504,99561-1,"Prodr.","8: 589","589","1844",tro-50278638
tro-2600505,A,Apocynaceae,,Melinia,,"commersoniana",,"","Decne.",Synonym,,M,TRO,2600505,99562-1,"Prodr.","8: 589","589","1844",tro-2610248
tro-50289974,A,Apocynaceae,,Melinia,,"corymbosa",,"","(Malme) Fontella & Farinaccio",Synonym,,M,TRO,50289974,1001497-1,"Bradea","8: 67","67","1997",tro-2600806
tro-2600506,A,Apocynaceae,,Melinia,,"discolor",,"","Schltr.",Synonym,,M,TRO,2600506,156660-2,"Bot. Jahrb. Syst.","37: 615","615","1906",tro-50278641
tro-2600507,A,Apocynaceae,,Melinia,,"eichleri",,"","(E. Fourn.) K. Schum.",Accepted,,M,TRO,2600507,156663-2,"Nat. Pflanzenfam.","4(2): 245","245","1895",
kew-2358568,A,Apocynaceae,,Melinia,,"glaziovii",,"","E.Fourn.",Synonym,,M,WCSP (in review),,99565-1,"Fl. Bras.","6(4): 289","","1885",kew-2608042
kew-2358569,A,Apocynaceae,,Melinia,,"harleyi",,"","Fontella",Synonym,,M,WCSP (in review),,976958-1,"Pabstia","5(1): 1","","1994",kew-2845347
tro-2600508,A,Apocynaceae,,Melinia,,"hilariana",,"","E. Fourn.",Synonym,,M,TRO,2600508,99566-1,"Fl. Bras.","6(4): 290","290","1885",tro-2600692
tro-2610693,A,Apocynaceae,,Melinia,,"iberae",,"","J. Fontana",Synonym,,M,TRO,2610693,939908-1,"Folia Bot. Geobot. Corrent.","4: 1–5","1","1990",tro-2600806
tro-2605680,A,Apocynaceae,,Melinia,,"mexicana",,"","Brandegee",Synonym,,M,TRO,2605680,156664-2,"Zoë","5: 216","216","1905",tro-50124616
tro-50153170,A,Apocynaceae,,Melinia,,"micrantha",,"","(Malme ex R.E. Fr.) Krapov. & S. Cáceres",Synonym,,M,TRO,50153170,962716-1,"Darwiniana","10(1–4): 279","279","1990",tro-50278644
tro-50153171,A,Apocynaceae,,Melinia,,"parviflora",,"","(Malme) Krapov. & S. Cáceres",Synonym,,M,TRO,50153171,962717-1,"Darwiniana","30(1–4): 279","279","1990",tro-50278635
tro-2600509,A,Apocynaceae,,Melinia,,"peruviana",,"","Schltr.",Accepted,,M,TRO,2600509,156665-2,"Bot. Jahrb. Syst.","54(3, Beibl. 119): 2","2","1916",
tro-50153172,A,Apocynaceae,,Melinia,,"tubata",,"","(Malme) Krapov. & S. Cáceres",Synonym,,M,TRO,50153172,962718-1,"Darwiniana","30(1–4): 279","279","1990",tro-50278646
kew-2358577,A,Apocynaceae,,Melinia,,"urbaniana",,"","K.Schum.",Unresolved,,L,WCSP (in review),,156666-2,"Bot. Jahrb. Syst.","25(60): 19","","1898",
tro-50153173,A,Apocynaceae,,Melinia,,"volcanense",,"","Krapov. & S. Cáceres",Accepted,,M,TRO,50153173,962719-1,"Darwiniana","30(1–4): 279","279","1990",
