ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-124162,A,Apocynaceae,,Melodinus,,"acutiflorus",,"","F.Muell.",Accepted,,H,WCSP,124162,80158-1,"Trans. & Proc. Philos. Inst. Victoria","2: 71","","1858",
kew-124163,A,Apocynaceae,,Melodinus,,"acutus",,"","(Markgr.) Markgr.",Synonym,,H,WCSP,124163,80159-1,"Blumea","19: 154","","1971",kew-124162
kew-124164,A,Apocynaceae,,Melodinus,,"aeneus",,"","Baill.",Accepted,,H,WCSP,124164,80160-1,"Bull. Mens. Soc. Linn. Paris","1: 786","","1889",
kew-124165,A,Apocynaceae,,Melodinus,,"angustifolius",,"","Hayata",Accepted,,H,WCSP,124165,80161-1,"J. Coll. Sci. Imp. Univ. Tokyo","30(1): 193","","1911",
kew-124166,A,Apocynaceae,,Melodinus,,"annamensis",,"","Pit.",Synonym,,H,WCSP,124166,80162-1,"Fl. Indo-Chine","3: 1107","","1933",kew-124189
kew-124167,A,Apocynaceae,,Melodinus,,"apoensis",,"","Elmer",Synonym,,H,WCSP,124167,80163-1,"Leafl. Philipp. Bot.","4: 1459","","1912",kew-124192
kew-124168,A,Apocynaceae,,Melodinus,,"australis",,"","(F.Muell.) Pierre",Accepted,,H,WCSP,124168,80164-1,"Bull. Mens. Soc. Linn. Paris","n.s., 1: 103","","1898",
kew-124169,A,Apocynaceae,,Melodinus,,"australis",,"","Maiden & Betche",Synonym,Illegitimate,H,WCSP,124169,80165-1,"Proc. Linn. Soc. New South Wales","24: 647","","1900",kew-124162
kew-124170,A,Apocynaceae,,Melodinus,,"axillaris",,"","W.T.Wang",Accepted,,H,WCSP,124170,80166-1,"Acta Phytotax. Sin.","11: 349","","1973",
kew-124171,A,Apocynaceae,,Melodinus,,"bacellianus",,"","(F.Muell.) Pichon",Synonym,,H,WCSP,124171,80167-1,"Notul. Syst. (Paris)","14: 87","","1951",kew-124162
kew-124172,A,Apocynaceae,,Melodinus,,"balansae",,"","Baill.",Accepted,,H,WCSP,124172,80169-1,"Bull. Mens. Soc. Linn. Paris","1: 785","","1889",
kew-124173,A,Apocynaceae,,Melodinus,,"balansae",var.,"inaequilatus","(Baill.) Boiteau",Synonym,,L,WCSP,124173,874328-1,"Adansonia","n.s., 15: 404","","1975 publ. 1976",kew-124172
kew-124174,A,Apocynaceae,,Melodinus,,"balansae",var.,"paucivenosus","(S.Moore) Boiteau",Synonym,,L,WCSP,124174,874329-1,"Adansonia","n.s., 15: 404","","1975 publ. 1976",kew-124172
kew-124175,A,Apocynaceae,,Melodinus,,"balansae",var.,"velutinus","Däniker",Synonym,,L,WCSP,124175,,"Vierteljahrsschr. Naturf. Ges. Zürich","142: 374","","1933",kew-124259
kew-124176,A,Apocynaceae,,Melodinus,,"baueri",,"","Endl.",Accepted,,H,WCSP,124176,80170-1,"Prodr. Fl. Norfolk.","57","","1833",
kew-124177,A,Apocynaceae,,Melodinus,,"beccarii",,"","(Pierre) Pierre",Synonym,,H,WCSP,124177,80171-1,"Bull. Mens. Soc. Linn. Paris","n.s., 1: 98","","1898",kew-214747
kew-124178,A,Apocynaceae,,Melodinus,,"bodinieri",,"","H.Lév.",Synonym,,H,WCSP,124178,80172-1,"Repert. Spec. Nov. Regni Veg.","2: 113","","1906",kew-207080
kew-124179,A,Apocynaceae,,Melodinus,,"brachyphyllus",,"","Merr.",Synonym,,H,WCSP,124179,80173-1,"J. Arnold Arbor.","23: 191","","1942",kew-124209
kew-124180,A,Apocynaceae,,Melodinus,,"buxifolius",,"","Baill.",Synonym,,H,WCSP,124180,80174-1,"Bull. Mens. Soc. Linn. Paris","1: 787","","1889",kew-124255
kew-124181,A,Apocynaceae,,Melodinus,,"cambodiensis",,"","Pierre",Synonym,,H,WCSP,124181,80175-1,"Bull. Mens. Soc. Linn. Paris","n.s., 1: 103","","1898",kew-124209
kew-124182,A,Apocynaceae,,Melodinus,,"cavaleriei",,"","H.Lév.",Synonym,,H,WCSP,124182,80177-1,"Repert. Spec. Nov. Regni Veg.","2: 113","","1906",kew-207096
kew-124183,A,Apocynaceae,,Melodinus,,"celastroides",,"","Baill.",Synonym,,H,WCSP,124183,80178-1,"Bull. Mens. Soc. Linn. Paris","1: 787","","1889",kew-124255
kew-124184,A,Apocynaceae,,Melodinus,,"chaffanjonii",,"","H.Lév.",Synonym,,H,WCSP,124184,80179-1,"Repert. Spec. Nov. Regni Veg.","2: 114","","1906",kew-207078
kew-124185,A,Apocynaceae,,Melodinus,,"chilocarpoides",,"","F.Muell.",Synonym,Illegitimate,H,WCSP,124185,80180-1,"Fragm.","6: 118","","1868",kew-124168
kew-124186,A,Apocynaceae,,Melodinus,,"chinensis",,"","P.T.Li & Z.R.Xu",Synonym,,H,WCSP,124186,906628-1,"Bull. Bot. Res., Harbin","5(2): 129","","1985",kew-124162
kew-124187,A,Apocynaceae,,Melodinus,,"citricarpus",,"","S.Moore",Synonym,,H,WCSP,124187,80181-1,"J. Linn. Soc., Bot.","45: 357","","1921",kew-124262
kew-124188,A,Apocynaceae,,Melodinus,,"citriformis",,"","King & Gamble",Synonym,,H,WCSP,124188,80182-1,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist.","74(2): 413","","1908",kew-124249
kew-124189,A,Apocynaceae,,Melodinus,,"cochinchinensis",,"","(Lour.) Merr.",Accepted,,H,WCSP,124189,80183-1,"Trans. Amer. Philos. Soc.","n.s., 24: 310","","1935",
kew-124190,A,Apocynaceae,,Melodinus,,"coriaceus",,"","Oliv.",Synonym,,H,WCSP,124190,80184-1,"Hooker's Icon. Pl.","17: t. 1758","","1888",kew-124249
kew-124191,A,Apocynaceae,,Melodinus,,"crassipetalus",,"","Kerr",Synonym,,H,WCSP,124191,80185-1,"Bull. Misc. Inform. Kew","1937: 40","","1937",kew-124189
kew-124192,A,Apocynaceae,,Melodinus,,"cumingii",,"","A.DC.",Accepted,,H,WCSP,124192,80186-1,"Prodr.","8: 330","","1844",
kew-124193,A,Apocynaceae,,Melodinus,,"cumingii",var.,"apoensis","(Elmer) Markgr.",Synonym,,L,WCSP,124193,874330-1,"Blumea","19: 152","","1971",kew-124192
kew-124194,A,Apocynaceae,,Melodinus,,"curvinervius",,"","Boerl.",Synonym,,H,WCSP,124194,80187-1,"Bull. Inst. Bot. Buitenzorg","5: 10","","1900",kew-214725
kew-124195,A,Apocynaceae,,Melodinus,,"curvinervius",var.,"parvifolius","Boerl.",Synonym,,L,WCSP,124195,,"Bull. Inst. Bot. Buitenzorg","5: 16","","1900",kew-214725
kew-124196,A,Apocynaceae,,Melodinus,,"cymosus",,"","Ridl.",Synonym,,H,WCSP,124196,80188-1,"J. Fed. Malay States Mus.","10: 146","","1920",kew-214747
kew-124197,A,Apocynaceae,,Melodinus,,"densistriatus",,"","Markgr.",Accepted,,H,WCSP,124197,80189-1,"Blumea","19: 152","","1971",
kew-124198,A,Oleaceae,,Melodinus,,"duclouxii",,"","H.Lév.",Synonym,,H,WCSP,124198,80190-1,"Repert. Spec. Nov. Regni Veg.","2: 114","","1906",kew-352145
kew-124199,A,Apocynaceae,,Melodinus,,"dunnii",,"","H.Lév.",Synonym,,H,WCSP,124199,80191-1,"Repert. Spec. Nov. Regni Veg.","9: 453","","1911",kew-207096
