ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-26623099,P,Thelypteridaceae,,Metathelypteris,,"adscendens",,"","(Ching) Ching",Accepted,,M,TRO,26623099,17444660-1,"Acta Phytotax. Sin.","8(4): 306","306","1963",
tro-100373784,P,Thelypteridaceae,,Metathelypteris,,"burrowsiorum",,"","N.R. Crouch",Unresolved,,L,TRO,100373784,,"Bothalia","41(1): 193, fig. 13","193","2011",
ifn-50510,P,Thelypteridaceae,,Metathelypteris,,"dayi",,"","Holttum in B.K.Nayar & S.Kaur",Unresolved,,L,IPNI,17444670-1,17444670-1,"Companion Beddome's Handb. Ferns Brit. India","205. 1974","","1974",
tro-50165691,P,Thelypteridaceae,,Metathelypteris,,"decipiens",,"","(Clarke) Ching",Accepted,,M,TRO,50165691,17444680-1,"Acta Phytotax. Sin.","8(4): 306","306","1963",
ifn-50512,P,Thelypteridaceae,,Metathelypteris,,"deltoideofrons",,"","Ching ex W.M.Chu & S.G.Lu",Unresolved,,L,IPNI,77084279-1,77084279-1,"Fl. Yunnan.","20: 720 (-721, 587-588; fig. 125)","","2006",
tro-26609809,P,Thelypteridaceae,,Metathelypteris,,"flaccida",,"","(Blume) Ching",Accepted,,M,TRO,26609809,17444690-1,"Acta Phytotax. Sin.","8(4): 306","306","1963",
tro-50161160,P,Thelypteridaceae,,Metathelypteris,,"fragilis",,"","Holttum",Accepted,,M,TRO,50161160,,"J. S. African Bot.","40(2): 127","127","1974",
tro-50165706,P,Thelypteridaceae,,Metathelypteris,,"glandulifera",,"","Ching ex K.H. Shing",Accepted,,M,TRO,50165706,60456444-2,"Fl. Reipubl. Popularis Sin.","4(1): 322","322","1999",
tro-26621861,P,Thelypteridaceae,,Metathelypteris,,"glandulosa",,"","H.G. Zhou & Hua Li",Accepted,,M,TRO,26621861,17542530-1,"Acta Bot. Yunnan.","14(1): 34–36, f. 2","34","1992",
tro-26623869,P,Thelypteridaceae,,Metathelypteris,,"gracilescens",,"","(Blume) Ching",Accepted,,M,TRO,26623869,17444710-1,"Acta Phytotax. Sin.","8(4): 306","306","1963",
tro-26623101,P,Thelypteridaceae,,Metathelypteris,,"hattorii",,"","(H. Itô) Ching",Accepted,,M,TRO,26623101,,"Acta Phytotax. Sin.","8(4): 306","306","1963",
ifn-50520,P,Thelypteridaceae,,Metathelypteris,,"krameri",,"","Sarn.Singh & Panigrahi",Unresolved,,L,IPNI,77066606-1,77066606-1,"Ferns Fern-Allies Arunachal Pradesh","2: 716 (-717; fig. 268, photo 250)","","2005",
tro-26609811,P,Thelypteridaceae,,Metathelypteris,,"laxa",,"","(Franch. & Sav.) Ching",Accepted,,M,TRO,26609811,17444730-1,"Acta Phytotax. Sin.","8(4): 306","306","1963",
tro-50165702,P,Thelypteridaceae,,Metathelypteris,,"petiolulata",,"","Ching ex K.H. Shing",Accepted,,M,TRO,50165702,60456443-2,"Fl. Reipubl. Popularis Sin.","4(1): 321–322","321","1999",
tro-50051882,P,Thelypteridaceae,,Metathelypteris,,"singalanensis",,"","(Baker) Ching",Accepted,,M,TRO,50051882,17444740-1,"Acta Phytotax. Sin.","8(4): 306","306","1963",
tro-26624515,P,Thelypteridaceae,,Metathelypteris,,"tibetica",,"","Ching & S.K. Wu",Accepted,,M,TRO,26624515,17505840-1,"Fl. Xizang.","1: 166–167, t. 4, f. 5–8","166","1983",
tro-26623872,P,Thelypteridaceae,,Metathelypteris,,"uraiensis",,"","(Rosenst.) Ching",Accepted,,M,TRO,26623872,17444750-1,"Acta Phytotax. Sin.","8(4): 306","306","1963",
tro-50165689,P,Thelypteridaceae,,Metathelypteris,,"uraiensis",var.,"uraiensis","",Synonym,,L,TRO,50165689,,"","","","",tro-26623872
ifn-50526,P,Thelypteridaceae,,Metathelypteris,,"vandervekenii",,"","Pic.Serm.",Unresolved,,L,IPNI,17508330-1,17508330-1,"Bull. Jard. Bot. Natl. Belg.","53(1-2): 272","","1983",
tro-50054348,P,Thelypteridaceae,,Metathelypteris,,"wuyishanica",,"","Ching",Accepted,,M,TRO,50054348,17523420-1,"Wuyi Sci. J.","1(1): 5–6","5","1981",
