ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-5108074,A,Cactaceae,,Micranthocereus,,"albicephalus",,"","(Buining & Brederoo) F. Ritter",Accepted,,L,TRO,5108074,907965-1,"Kakteen Südamer.","1: 108","108","1979",
kew-2370251,A,Cactaceae,,Micranthocereus,,"aureispinus",,"","F.Ritter",Unresolved,,L,WCSP (in review),,160087-2,"Kakteen Südamer.","1: 107","","1979",
kew-2370252,A,Cactaceae,,Micranthocereus,,"auri-azureus",,"","Buining & Brederoo",Accepted,,M,WCSP (in review),,160088-2,"Cact. Succ. J. (Los Angeles)","45: 120","","1973",
tro-5108077,A,Cactaceae,,Micranthocereus,,"densiflorus",,"","Buining & Brederoo",Synonym,,M,TRO,5108077,160089-2,"Cact. Succ. J. (Los Angeles)","(3): 113","113","1974",tro-50199568
tro-5108076,A,Cactaceae,,Micranthocereus,,"dolichospermaticus",,"","(Buining & Brederoo) F. Ritter",Accepted,,M,TRO,5108076,907966-1,"Kakteen Südamer.","1: 108","108","1979",
tro-5108078,A,Cactaceae,,Micranthocereus,,"estevesii",,"","(Buining & Brederoo) F. Ritter",Accepted,,L,TRO,5108078,907967-1,"Kakteen Südamer.","1: 108","108","1979",
tro-5108075,A,Cactaceae,,Micranthocereus,,"flaviflorus",,"","Buining & Brederoo",Accepted,,M,TRO,5108075,160092-2,"Kakteen And. Sukk.","(2): 25–27","25","1974",
tro-50199568,A,Cactaceae,,Micranthocereus,,"flaviflorus",subsp.,"densiflorus","(Buining & Brederoo) P.J. Braun & Esteves",Accepted,,L,TRO,50199568,983528-1,"Succulentes (France)","74(3): 132","132","1995",
tro-50199569,A,Cactaceae,,Micranthocereus,,"flaviflorus",var.,"uilianus","(Brederoo & Bercht.) P.J. Braun & Esteves",Accepted,,L,TRO,50199569,983529-1,"Succulentes (France)","74(3): 132","132","1995",
kew-2370290,A,Cactaceae,,Micranthocereus,,"haematocarpus",,"","F.Ritter",Unresolved,,L,WCSP (in review),,160093-2,"Kakteen Südamer.","1: 105","","1979",
kew-2604969,A,Cactaceae,,Micranthocereus,,"hofackerianus",,"","(P.J.Braun & Esteves) M.Machado",Accepted,,M,WCSP (in review),,77077630-1,"Kakteen And. Sukk.","57: 272","","2006",
kew-2370291,A,Cactaceae,,Micranthocereus,,"lehmannianus",,"","(Werderm.) F.Ritter",Unresolved,,L,WCSP (in review),,135646-1,"Kakteen And. Sukk.","19: 157","","1968",kew-2666651
kew-2370292,A,Cactaceae,,Micranthocereus,,"monteazulensis",,"","F.Ritter",Unresolved,,L,WCSP (in review),,160094-2,"Kakteen Südamer.","1: 105","","1979",
kew-2370293,A,Cactaceae,,Micranthocereus,,"polyanthus",,"","(Werderm.) Backeb.",Accepted,,M,WCSP (in review),,135647-1,"Cactaceae (Berlin)","1941(2): 51","","1942",
tro-5108070,A,Cactaceae,,Micranthocereus,,"purpureus",,"","(Gürke) F. Ritter",Accepted,,M,TRO,5108070,,"Kakteen And. Sukk.","8: 157","157","1968",
kew-2370295,A,Cactaceae,,Micranthocereus,,"ruficeps",,"","F.Ritter",Unresolved,,L,WCSP (in review),,160096-2,"Kakteen Südamer.","1: 106","","1979",
kew-2370287,A,Cactaceae,,Micranthocereus,,"streckeri",,"","Van Heek & Van Criek.",Accepted,,M,WCSP (in review),,929768-1,"Kakteen And. Sukk.","37: 105","","1986",
tro-50199570,A,Cactaceae,,Micranthocereus,,"uilianus",,"","Brederoo & Bercht.",Synonym,,M,TRO,50199570,,"","","","",tro-50199569
kew-2370298,A,Cactaceae,,Micranthocereus,,"violaciflorus",,"","Buining",Accepted,,M,WCSP (in review),,135649-1,"Kakteen And. Sukk.","20: 129","","1969",
