ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-281602,A,Asparagaceae,,Mondo,,"bockianum",,"","(Diels) Farw.",Synonym,,H,WCSP,281602,538392-1,"Amer. Midl. Naturalist","7: 42","","1921",kew-279465
kew-281654,A,Asparagaceae,,Mondo,,"bodinieri",,"","(H.Lév.) Farw.",Synonym,,H,WCSP,281654,538393-1,"Amer. Midl. Naturalist","7: 42","","1921",kew-283580
kew-281613,A,Nartheciaceae,,Mondo,,"cavaleriei",,"","(H.Lév.) Farw.",Synonym,,H,WCSP,281613,538394-1,"Amer. Midl. Naturalist","7: 43","","1921",kew-294712
kew-281640,A,Asparagaceae,,Mondo,,"cernuum",,"","Koidz.",Synonym,,H,WCSP,281640,538395-1,"Bot. Mag. (Tokyo)","40: 332","","1926",kew-279459
kew-281636,A,Asparagaceae,,Mondo,,"clavatum",,"","(C.H.Wright ex Oliv.) Farw.",Synonym,,H,WCSP,281636,538396-1,"Amer. Midl. Naturalist","7: 42","","1921",kew-279467
kew-281635,A,Asparagaceae,,Mondo,,"cordylinoides",,"","(Prain) Farw.",Synonym,,H,WCSP,281635,538397-1,"Amer. Midl. Naturalist","7: 42","","1921",kew-279468
kew-281634,A,Asparagaceae,,Mondo,,"dracaenoides",,"","(Baker) Farw.",Synonym,,H,WCSP,281634,538398-1,"Amer. Midl. Naturalist","7: 42","","1921",kew-279469
kew-452413,A,Asparagaceae,,Mondo,,"dracaenoides",var.,"clarkei","(Hook.f.) Farw.",Synonym,,L,WCSP,452413,,"Amer. Midl. Naturalist","7: 42","","1921",kew-279466
kew-452414,A,Asparagaceae,,Mondo,,"dracaenoides",var.,"reptans","(Hook.f.) Farw.",Synonym,,L,WCSP,452414,,"Amer. Midl. Naturalist","7: 42","","1921",kew-279486
kew-281633,A,Asparagaceae,,Mondo,,"fauriei",,"","(H.Lév. & Vaniot) Farw.",Synonym,,H,WCSP,281633,538399-1,"Amer. Midl. Naturalist","7: 43","","1921",kew-279460
kew-281631,A,Asparagaceae,,Mondo,,"formosanum",,"","Ohwi",Synonym,,H,WCSP,281631,538400-1,"Repert. Spec. Nov. Regni Veg.","36: 45","","1934",kew-283580
kew-281621,A,Asparagaceae,,Mondo,,"gracile",,"","(Kunth) Koidz.",Synonym,,H,WCSP,281621,538401-1,"Acta Phytotax. Geobot.","3: 148","","1934",kew-279475
kew-310401,A,Asparagaceae,,Mondo,,"gracile",var.,"brevipedicellatum","Koidz.",Synonym,,L,WCSP,310401,,"Acta Phytotax. Geobot.","3: 148","","1934",kew-279475
kew-281629,A,Asparagaceae,,Mondo,,"graminifolium",,"","(L.) Koidz.",Synonym,,H,WCSP,281629,538402-1,"Bot. Mag. (Tokyo)","40: 333","","1926",kew-279457
kew-281637,A,Asparagaceae,,Mondo,,"intermedium",,"","(D.Don) L.H.Bailey",Synonym,,H,WCSP,281637,538403-1,"Gentes Herb.","2: 25","","1929",kew-279473
kew-281627,A,Asparagaceae,,Mondo,,"jaburan",,"","(Siebold) L.H.Bailey",Synonym,,H,WCSP,281627,538404-1,"Gentes Herb.","2: 27","","1929",kew-279474
kew-310397,A,Asparagaceae,,Mondo,,"jaburan",var.,"major","(Thunb.) Nakai",Synonym,,L,WCSP,310397,,"Bull. Natl. Sci. Mus. Tokyo","31: 144","","1952",kew-279474
kew-281626,A,Asparagaceae,,Mondo,,"japonicum",,"","(Thunb.) Farw.",Synonym,,H,WCSP,281626,538405-1,"Amer. Midl. Naturalist","7: 42","","1921",kew-279475
kew-452415,A,Asparagaceae,,Mondo,,"japonicum",var.,"griffithii","(Baker) Farw.",Synonym,,L,WCSP,452415,,"Amer. Midl. Naturalist","7: 42","","1921",kew-279473
kew-452416,A,Asparagaceae,,Mondo,,"japonicum",var.,"intermedium","(D.Don) Farw.",Synonym,,L,WCSP,452416,,"Amer. Midl. Naturalist","7: 42","","1921",kew-279473
kew-342994,A,Asparagaceae,,Mondo,,"japonicum",var.,"major","(Thunb.) Farw.",Synonym,,L,WCSP,342994,,"Amer. Midl. Naturalist","7: 42","","1921",kew-279474
kew-454256,A,Asparagaceae,,Mondo,,"japonicum",var.,"micranthus","(Hook.f.) Farw.",Synonym,,L,WCSP,454256,,"Amer. Midl. Naturalist","7: 42","","1921",kew-279480
kew-452417,A,Asparagaceae,,Mondo,,"japonicum",var.,"proliferum","(Lindl.) Farw.",Synonym,,L,WCSP,452417,,"Amer. Midl. Naturalist","7: 42","","1921",kew-283578
kew-342992,A,Asparagaceae,,Mondo,,"japonicum",var.,"umbraticola","(Hance) Farw.",Synonym,,L,WCSP,342992,,"Amer. Midl. Naturalist","7: 42","","1921",kew-279490
kew-452418,A,Asparagaceae,,Mondo,,"japonicum",var.,"wallichianum","(Kunth) Farw.",Synonym,,L,WCSP,452418,,"Amer. Midl. Naturalist","7: 42","","1921",kew-279473
kew-281625,A,Asparagaceae,,Mondo,,"kansuense",,"","(Batalin) Farw.",Synonym,,H,WCSP,281625,538406-1,"Amer. Midl. Naturalist","7: 42","","1921",kew-279458
kew-281624,A,Asparagaceae,,Mondo,,"koreanum",,"","(Palib.) Hiatsusima",Synonym,,H,WCSP,281624,,"Bot. Surv. S. Chosen, Rep.","5:","","1934",kew-279460
kew-281623,A,Asparagaceae,,Mondo,,"longifolium",,"","Ohwi",Synonym,,H,WCSP,281623,538408-1,"Repert. Spec. Nov. Regni Veg.","36: 45","","1934",kew-279475
kew-281622,A,Asparagaceae,,Mondo,,"malayanum",,"","(Ridl.) Farw.",Synonym,,H,WCSP,281622,538409-1,"Amer. Midl. Naturalist","7: 42","","1921",kew-283578
kew-281645,A,Asparagaceae,,Mondo,,"planiscapum",,"","(Nakai) L.H.Bailey",Synonym,,H,WCSP,281645,538410-1,"Gentes Herb.","2: 25","","1929",kew-283027
kew-281647,A,Asparagaceae,,Mondo,,"regnieri",,"","(Bois) Farw.",Synonym,,H,WCSP,281647,538411-1,"Amer. Midl. Naturalist","7: 43","","1921",kew-283029
kew-281630,A,Asparagaceae,,Mondo,,"scabrum",,"","Ohwi",Synonym,,H,WCSP,281630,538412-1,"Repert. Spec. Nov. Regni Veg.","36: 46","","1934",kew-279473
kew-281653,A,Asparagaceae,,Mondo,,"stolonifer",,"","(H.Lév. & Vaniot) Farw.",Synonym,,H,WCSP,281653,538413-1,"Amer. Midl. Naturalist","7: 42","","1921",kew-279475
kew-281652,A,Asparagaceae,,Mondo,,"taquetii",,"","(H.Lév.) Farw.",Synonym,,H,WCSP,281652,538414-1,"Amer. Midl. Naturalist","7: 43","","1921",kew-279474
kew-281651,A,Asparagaceae,,Mondo,,"tokyoense",,"","Nakai",Synonym,,H,WCSP,281651,538415-1,"J. Jap. Bot.","19: 314","","1943",kew-279459
kew-281650,A,Asparagaceae,,Mondo,,"umbraticola",,"","(Hance) Ohwi",Synonym,,H,WCSP,281650,538416-1,"Repert. Spec. Nov. Regni Veg.","36: 45","","1934",kew-279490
kew-281649,A,Asparagaceae,,Mondo,,"wallichianum",,"","(Kunth) L.H.Bailey",Synonym,,H,WCSP,281649,538417-1,"Gentes Herb.","2: 21","","1929",kew-279473
