ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-102214,A,Acanthaceae,,Monechma,,"acutum",,"","C.B. Clarke",Accepted,,M,TRO,102214,,"","","","",
kew-2362477,A,Acanthaceae,,Monechma,,"affine",,"","Hochst.",Unresolved,,L,WCSP (in review),,52478-1,"Flora","26: 76","","1843",
kew-2362478,A,Acanthaceae,,Monechma,,"angustifolium",,"","Nees",Unresolved,,L,WCSP (in review),,52480-1,"Prodr.","11: 411","","1847",kew-2362564
tro-102232,A,Acanthaceae,,Monechma,,"angustissimum",,"","S. Moore",Synonym,,M,TRO,102232,,"","","","",kew-2362627
tro-102219,A,Acanthaceae,,Monechma,,"arenicola",,"","C.B. Clarke",Synonym,,M,TRO,102219,,"","","","",kew-2362461
tro-102263,A,Acanthaceae,,Monechma,,"atherstonei",,"","C.B. Clarke",Synonym,,M,TRO,102263,,"","","","",tro-102261
tro-102242,A,Acanthaceae,,Monechma,,"australe",,"","P.G. Mey.",Synonym,,M,TRO,102242,,"","","","",tro-102241
kew-2362453,A,Acanthaceae,,Monechma,,"bracteatum",,"","Hochst.",Synonym,,L,WCSP (in review),,52486-1,"Flora","24: 375","","1841",kew-2362564
tro-102215,A,Acanthaceae,,Monechma,,"calcaratum",,"","Schinz",Accepted,,M,TRO,102215,,"","","","",
tro-102216,A,Acanthaceae,,Monechma,,"callothamnum",,"","J. Munday Ined.",Accepted,,M,TRO,102216,,"","","","",
kew-2362456,A,Acanthaceae,,Monechma,,"carrissoi",,"","Benoist",Unresolved,,L,WCSP (in review),,52488-1,"Bol. Soc. Brot.","II, 24: 30","","1950",
kew-2362458,A,Acanthaceae,,Monechma,,"ciliatum",,"","Hochst. ex Nees",Synonym,Invalid,L,WCSP (in review),,52490-1,"Prodr.","11: 411","","1847",kew-2780690
kew-2362459,A,Acanthaceae,,Monechma,,"ciliatum",,"","(Jacq.) Milne-Redh.",Accepted,,M,WCSP (in review),,52491-1,"Bull. Misc. Inform. Kew","1934: 304","","1934",
tro-102181,A,Acanthaceae,,Monechma,,"clarkei",,"","Schinz",Synonym,,M,TRO,102181,,"","","","",tro-102179
kew-2362461,A,Acanthaceae,,Monechma,,"cleomoides",,"","(S.Moore) C.B.Clarke",Accepted,,M,WCSP (in review),,52493-1,"Fl. Trop. Afr.","5: 220","","1900",
tro-102220,A,Acanthaceae,,Monechma,,"crassiusculum",,"","P.G. Mey.",Accepted,,M,TRO,102220,,"","","","",
kew-2362564,A,Acanthaceae,,Monechma,,"debile",,"","(Forssk.) Nees",Accepted,,L,WCSP (in review),,52495-1,"Prodr.","11: 411","","1847",
kew-2362433,A,Acanthaceae,,Monechma,,"debilis",,"","Nees",Unresolved,,L,WCSP (in review),,52496-1,"Prodr.","11: 411","","1847",
kew-2362545,A,Acanthaceae,,Monechma,,"depauperatum",,"","(T.Anderson) C.B.Clarke",Accepted,,M,WCSP (in review),,52497-1,"Fl. Trop. Afr.","5: 217","","1900",
tro-102226,A,Acanthaceae,,Monechma,,"desertorum",,"","C.B. Clarke",Accepted,,M,TRO,102226,,"","","","",
kew-2362625,A,Acanthaceae,,Monechma,,"desertotum",,"","C.B.Clarke",Unresolved,,L,WCSP (in review),,52498-1,"Fl. Trop. Afr.","5: 218","","1900",
tro-102228,A,Acanthaceae,,Monechma,,"distichotrichum",,"","P.G. Mey.",Accepted,,M,TRO,102228,,"","","","",
kew-2362627,A,Acanthaceae,,Monechma,,"divaricatum",,"","(Nees) C.B.Clarke",Accepted,,M,WCSP (in review),,52500-1,"Fl. Cap.","5(1): 72","","1901",
kew-2362628,A,Acanthaceae,,Monechma,,"eremum",,"","S.Moore",Unresolved,,L,WCSP (in review),,52501-1,"J. Bot.","45: 231","","1907",
tro-102233,A,Acanthaceae,,Monechma,,"fimbriatum",,"","C.B. Clarke",Synonym,,M,TRO,102233,,"","","","",kew-2362627
tro-102234,A,Acanthaceae,,Monechma,,"floridum",,"","C.B. Clarke",Synonym,,M,TRO,102234,,"","","","",kew-2362627
tro-102239,A,Acanthaceae,,Monechma,,"foliosum",,"","C.B. Clarke",Accepted,,M,TRO,102239,,"","","","",
tro-102240,A,Acanthaceae,,Monechma,,"genistifolium",,"","C.B.Clarke",Accepted,,L,TRO,102240,52505-1,"","","","",
tro-102241,A,Acanthaceae,,Monechma,,"genistifolium",subsp.,"australe","J. Munday Ined.",Accepted,,L,TRO,102241,,"","","","",
tro-102243,A,Acanthaceae,,Monechma,,"genistifolium",subsp.,"genistifolium","",Synonym,,L,TRO,102243,,"","","","",tro-102240
kew-2362634,A,Acanthaceae,,Monechma,,"glaucifolium",,"","S.Moore",Accepted,,M,WCSP (in review),,52506-1,"J. Bot.","49: 310","","1911",
tro-102246,A,Acanthaceae,,Monechma,,"grandiflorum",,"","Schinz",Accepted,,M,TRO,102246,,"","","","",
tro-102245,A,Acanthaceae,,Monechma,,"hereroense",,"","C.B. Clarke",Synonym,,M,TRO,102245,,"","","","",tro-102240
kew-2362638,A,Acanthaceae,,Monechma,,"hispidum",,"","Hochst.",Synonym,,M,WCSP (in review),,52510-1,"Flora","24: 375","","1841",kew-2362459
tro-102247,A,Acanthaceae,,Monechma,,"incanum",,"","C.B. Clarke",Accepted,,M,TRO,102247,,"","","","",
