ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2371388,A,Elaeocarpaceae,,Monocera,,"aristata",,"","Jack",Unresolved,,L,WCSP (in review),,834895-1,"Malayan Misc.","1(5): 43","","1820",kew-2785974
kew-424876,A,Poaceae,,Monocera,,"aromatica",,"","(Walter) Elliott",Synonym,,H,WCSP,424876,1176488-2,"Sketch Bot. S. Carolina","1: 177","","1816",kew-406009
kew-2371380,A,Elaeocarpaceae,,Monocera,,"atrovirens",,"","Miq.",Unresolved,,L,WCSP (in review),,834896-1,"Fl. Ned. Ind.","1(2): 213","","1859",kew-2785942
kew-2371389,A,Elaeocarpaceae,,Monocera,,"bilocularis",,"","Jack",Unresolved,,L,WCSP (in review),,834897-1,"Malayan Misc.","1(5): 43","","1820",
kew-2371390,A,Elaeocarpaceae,,Monocera,,"ceylanica",,"","Arn.",Unresolved,,L,WCSP (in review),,834898-1,"Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur.","18: 323","","1836",
kew-2371391,A,Elaeocarpaceae,,Monocera,,"cuneifolia",,"","Miq.",Unresolved,,L,WCSP (in review),,834899-1,"Fl. Ned. Ind., Eerste Bijv.","409","","1861",
kew-2371392,A,Elaeocarpaceae,,Monocera,,"cyanea",,"","Hassk.",Unresolved,,L,WCSP (in review),,834900-1,"Cat. Hort. Bot. Bogor.","208","","1844",kew-2785945
kew-2371393,A,Elaeocarpaceae,,Monocera,,"cyrtostachya",,"","Miq.",Unresolved,,L,WCSP (in review),,834901-1,"Fl. Ned. Ind., Eerste Bijv.","408","","1861",
kew-2371372,A,Elaeocarpaceae,,Monocera,,"densiflora",,"","Turcz.",Unresolved,,L,WCSP (in review),,834902-1,"Bull. Soc. Imp. Naturalistes Moscou","31(1): 236","","1858",kew-2785510
kew-2371387,A,Elaeocarpaceae,,Monocera,,"dentata",,"","(J.R.Forst. & G.Forst.) Endl.",Unresolved,,L,WCSP (in review),,941561-1,"Cat. Horti Vindob.","2: 365","","1842",
kew-2371365,A,Elaeocarpaceae,,Monocera,,"elliptica",,"","Turcz.",Unresolved,,L,WCSP (in review),,834903-1,"Bull. Soc. Imp. Naturalistes Moscou","31(1): 236","","1858",kew-2786115
kew-2371366,A,Elaeocarpaceae,,Monocera,,"ferruginea",,"","Jack",Unresolved,,L,WCSP (in review),,834904-1,"Malayan Misc.","1(5): 44","","1820",kew-2785528
kew-2371367,A,Elaeocarpaceae,,Monocera,,"glandulifera",,"","Hook. ex Wight",Unresolved,,L,WCSP (in review),,834905-1,"Ill. Ind. Bot.","1: 84","","1838",kew-2785582
kew-2371368,A,Elaeocarpaceae,,Monocera,,"grandiflora",,"","Hook.",Unresolved,,L,WCSP (in review),,834906-1,"Bot. Mag.","78: t. 4680","","1852",kew-2785588
kew-2371369,A,Elaeocarpaceae,,Monocera,,"griffithii",,"","Wight",Unresolved,,L,WCSP (in review),,834907-1,"Ill. Ind. Bot.","1: 84","","1838",kew-2785592
kew-2371379,A,Elaeocarpaceae,,Monocera,,"griffithii",,"","Müll.Berol.",Unresolved,,L,WCSP (in review),,,"Annot. Elaeocarp.","12","","1849",kew-2785592
kew-2371371,A,Elaeocarpaceae,,Monocera,,"holopetala",,"","Turcz.",Unresolved,,L,WCSP (in review),,834909-1,"Bull. Soc. Imp. Naturalistes Moscou","19(2): 496","","1846",kew-2785592
kew-2371364,A,Elaeocarpaceae,,Monocera,,"integra",,"","Müll.Berol.",Unresolved,,L,WCSP (in review),,,"Annot. Elaeocarp.","12","","1849",kew-2785885
kew-2371373,A,Elaeocarpaceae,,Monocera,,"isotricha",,"","Turcz.",Unresolved,,L,WCSP (in review),,834911-1,"Bull. Soc. Imp. Naturalistes Moscou","19(2): 494","","1846",kew-2785646
kew-2371374,A,Elaeocarpaceae,,Monocera,,"lanceolata",,"","Hassk.",Unresolved,,L,WCSP (in review),,834912-1,"Cat. Hort. Bot. Bogor.","208","","1844",kew-2785588
kew-2371375,A,Elaeocarpaceae,,Monocera,,"leucobotrya",,"","Miq.",Unresolved,,L,WCSP (in review),,834913-1,"Fl. Ned. Ind., Eerste Bijv.","409","","1861",kew-2785592
