ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-354424,A,Campanulaceae,,Monopsis,,"acrodon",,"","E.Wimm.",Accepted,,H,WCSP,354424,144151-1,"Ann. Naturhist. Mus. Wien","56: 370","","1948",
kew-359228,A,Campanulaceae,,Monopsis,,"acrodon",subsp.,"herois","E.Wimm.",Synonym,,L,WCSP,359228,,"Pflanzenr.","IV, 276c: 890","","1968",kew-354424
kew-354334,A,Campanulaceae,,Monopsis,,"alba",,"","Phillipson",Accepted,,H,WCSP,354334,930997-1,"Bot. J. Linn. Soc.","93: 334","","1986",
kew-354423,A,Campanulaceae,,Monopsis,,"arenaria",,"","E.Wimm.",Synonym,,H,WCSP,354423,144152-1,"Ann. Naturhist. Mus. Wien","56: 371","","1948",kew-354503
kew-354445,A,Campanulaceae,,Monopsis,,"aspera",,"","(Spreng.) Urb.",Synonym,,H,WCSP,354445,144153-1,"Bot. Jahrb. Syst.","1: 274","","1881",kew-351596
kew-354451,A,Campanulaceae,,Monopsis,,"belliflora",,"","E.Wimm.",Accepted,,H,WCSP,354451,,"Pflanzenr.","IV, 276b: 705","","1953",
kew-354443,A,Campanulaceae,,Monopsis,,"brevicalyx",,"","T.C.E.Fr.",Synonym,,H,WCSP,354443,144155-1,"Notizbl. Bot. Gart. Berlin-Dahlem","8: 411","","1923",kew-354721
kew-354442,A,Campanulaceae,,Monopsis,,"campanulata",,"","(Lam.) Sond.",Synonym,,H,WCSP,354442,144156-1,"Fl. Cap.","3: 534","","1865",kew-354438
kew-354441,A,Campanulaceae,,Monopsis,,"conspicua",,"","Salisb.",Synonym,Illegitimate,H,WCSP,354441,144157-1,"Trans. Hort. Soc. London","2: 37","","1817",kew-353498
kew-359230,A,Campanulaceae,,Monopsis,,"conspicua",var.,"gracilis","C.Presl",Synonym,,L,WCSP,359230,,"Comm. Pl. Afr. Austr.","284","","1838",kew-354438
kew-354440,A,Campanulaceae,,Monopsis,,"corymbosa",,"","(G.Don) C.Presl",Synonym,,H,WCSP,354440,144158-1,"Prodr. Monogr. Lobel.","11","","1836",kew-353333
kew-359010,A,Campanulaceae,,Monopsis,,"corymbosa",var.,"pedicellata","C.Presl",Synonym,,L,WCSP,359010,,"Enum. Pl. Afric. Austral.","394","","1837",kew-353333
kew-354438,A,Campanulaceae,,Monopsis,,"debilis",,"","(L.f.) C.Presl",Accepted,,H,WCSP,354438,144159-1,"Prodr. Monogr. Lobel.","11","","1836",
kew-358884,A,Campanulaceae,,Monopsis,,"debilis",var.,"conspicua","Sond.",Synonym,,L,WCSP,358884,,"Fl. Cap.","3: 534","","1865",kew-353498
tro-5503600,A,Campanulaceae,,Monopsis,,"debilis",var.,"debilis","",Synonym,,L,TRO,5503600,,"","","","",kew-354438
kew-354315,A,Campanulaceae,,Monopsis,,"debilis",var.,"depressa","(L.f.) Phillipson",Synonym,,L,WCSP,354315,952942-1,"Bot. J. Linn. Soc.","93: 338","","1986",kew-354438
