ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-50176750,A,Cactaceae,,Monvillea,,"adelmarii",,"","Rizzini & Mattos",Synonym,,M,TRO,50176750,,"","","","",kew-2712223
tro-5107646,A,Cactaceae,,Monvillea,,"albicaulis",,"","(Britton & Rose) R. Kiesling",Synonym,,M,TRO,5107646,978750-1,"Cact. Succ. J. (Los Angeles)","66(4): 165","165","1994",kew-2711538
tro-50167681,A,Cactaceae,,Monvillea,,"alticostata",,"","F. Ritter",Synonym,,M,TRO,50167681,,"","","","",tro-50102825
tro-5101177,A,Cactaceae,,Monvillea,,"amazonica",,"","(K. Schum.) Britton & Rose",Synonym,,M,TRO,5101177,164174-2,"Cactaceae","2: 24","24","1920",tro-5101178
tro-5106693,A,Cactaceae,,Monvillea,,"anisitsii",,"","(K. Schum.) A. Berger",Synonym,,L,TRO,5106693,,"","","","",kew-2712394
tro-5103196,A,Cactaceae,,Monvillea,,"apoloensis",,"","Cárdenas",Accepted,,M,TRO,5103196,164176-2,"Cact. Succ. J. (Los Angeles)","33: 74, f. 30, 31","74","1961",
tro-5103186,A,Cactaceae,,Monvillea,,"ballivianii",,"","Cárdenas",Accepted,,M,TRO,5103186,164177-2,"Cactus (Paris)","14(64): 159","159","1959",
tro-5107305,A,Cactaceae,,Monvillea,,"brittoniana",,"","(Britton & Rose) Borg",Synonym,,M,TRO,5107305,,"Cacti","131","131","1951",kew-2711786
kew-2370490,A,Cactaceae,,Monvillea,,"calliantha",,"","Fuaux & Backeb.",Unresolved,,L,WCSP (in review),,164179-2,"Cactac.: Handb. Kakteenk.","4: 2312","","1960",
kew-2370491,A,Cactaceae,,Monvillea,,"campinensis",,"","(Backeb. & Voll) Backeb.",Synonym,,M,WCSP (in review),,164180-2,"Cactac.: Handb. Kakteenk.","4: 2313","","1960",kew-2413977
kew-2370470,A,Cactaceae,,Monvillea,,"cavendishii",,"","(Monv.) Britton & Rose",Accepted,,M,WCSP (in review),,164181-2,"Cact.","2: 21","","1920",
tro-50138438,A,Cactaceae,,Monvillea,,"chacoana",,"","F. Ritter",Synonym,,M,TRO,50138438,164182-2,"Kakteen Südamer.","2: 509","509","1980",kew-2370470
tro-5101612,A,Cactaceae,,Monvillea,,"diffusa",,"","Britton & Rose",Synonym,,M,TRO,5101612,164183-2,"Cactaceae","2: 24, f. 23","24","1920",kew-2711786
tro-50138440,A,Cactaceae,,Monvillea,,"ebenacantha",,"","F. Ritter",Accepted,,M,TRO,50138440,164184-2,"Kakteen Südamer.","2: 512","512","1980",
tro-50102825,A,Cactaceae,,Monvillea,,"euchlora",,"","Backeb.",Accepted,,M,TRO,50102825,164185-2,"Kakteenl.","4: 2301","2301","1960",
kew-2370465,A,Cactaceae,,Monvillea,,"haageana",,"","Backeb.",Synonym,,M,WCSP (in review),,311066-2,"Sukkulentenkunde","2: 54","","1948",kew-2711922
tro-50185093,A,Cactaceae,,Monvillea,,"insularis",,"","(Hemsl.) Britton & Rose",Synonym,,M,TRO,50185093,164187-2,"Cactaceae","2: 23, f. 21","23","1920",kew-2711978
