ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-132130,A,Myrtaceae,,Myrteola,,"acerosa",,"","(O.Berg) Burret",Accepted,,H,WCSP,132130,166620-2,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 495","","1941",
kew-132131,A,Myrtaceae,,Myrteola,,"barneoudii",,"","(O.Berg) O.Berg",Synonym,,H,WCSP,132131,599427-1,"Linnaea","29: 252","","1858",kew-132138
kew-335830,A,Myrtaceae,,Myrteola,,"barneoudii",var.,"humifusa","(Phil.) Reiche",Synonym,,L,WCSP,335830,166621-2,"Anales Univ. Chile","98: 701","","1897",kew-132138
kew-132132,A,Myrtaceae,,Myrteola,,"bullata",,"","O.Berg",Synonym,,H,WCSP,132132,280139-2,"Linnaea","27: 394","","1856",kew-132138
kew-335831,A,Myrtaceae,,Myrteola,,"bullata",var.,"pentamera","O.Berg",Synonym,,L,WCSP,335831,166622-2,"Bot. Zeitung (Berlin)","15: 858","","1857",kew-132138
kew-335832,A,Myrtaceae,,Myrteola,,"bullata",var.,"tetramera","O.Berg",Synonym,,L,WCSP,335832,166623-2,"Bot. Zeitung (Berlin)","15: 858","","1857",kew-132138
tro-22106454,A,Myrtaceae,,Myrteola,,"hallii",,"","(O. Berg) Kausel",Synonym,,M,TRO,22106454,,"","","","",kew-131749
kew-132133,A,Myrtaceae,,Myrteola,,"humifusa",,"","(Phil.) O.Berg",Synonym,,H,WCSP,132133,599429-1,"Linnaea","29: 252","","1858",kew-132138
kew-132134,A,Myrtaceae,,Myrteola,,"leucomyrtillus",,"","(Griseb.) Reiche",Synonym,,H,WCSP,132134,599430-1,"Fl. Chile","2: 286","","1897",kew-132138
kew-132135,A,Myrtaceae,,Myrteola,,"microphylla",,"","(Humb. & Bonpl.) O.Berg",Synonym,,H,WCSP,132135,599431-1,"Linnaea","27: 393","","1856",kew-132143
kew-335833,A,Myrtaceae,,Myrteola,,"microphylla",var.,"angustifolia","O.Berg",Synonym,,L,WCSP,335833,166626-2,"Linnaea","30: 709","","1861",kew-132143
kew-335834,A,Myrtaceae,,Myrteola,,"microphylla",var.,"australis","Diels",Synonym,,L,WCSP,335834,281130-2,"Bot. Jahrb. Syst.","37: 593","","1906",kew-132143
kew-335835,A,Myrtaceae,,Myrteola,,"microphylla",var.,"glabrata","O.Berg",Synonym,,L,WCSP,335835,166628-2,"Linnaea","30: 709","","1861",kew-132143
kew-335836,A,Myrtaceae,,Myrteola,,"microphylla",var.,"latifolia","O.Berg",Synonym,,L,WCSP,335836,166629-2,"Linnaea","30: 709","","1861",kew-132143
kew-132136,A,Myrtaceae,,Myrteola,,"myrsinoides",,"","(Kunth) O.Berg",Synonym,,H,WCSP,132136,599432-1,"Linnaea","27: 396","","1856",kew-131761
kew-132137,A,Myrtaceae,,Myrteola,,"nannophylla",,"","Burret",Synonym,,H,WCSP,132137,166630-2,"Notizbl. Bot. Gart. Berlin-Dahlem","15: 494","","1941",kew-132138
kew-132138,A,Myrtaceae,,Myrteola,,"nummularia",,"","(Lam.) O.Berg",Accepted,,H,WCSP,132138,599434-1,"Linnaea","27: 396","","1856",
kew-132139,A,Myrtaceae,,Myrteola,,"nummularia",var.,"barneoudii","(O.Berg) Kausel",Synonym,,L,WCSP,132139,166631-2,"Lilloa","32: 360","","1966",kew-132138
tro-22102245,A,Myrtaceae,,Myrteola,,"nummularia",var.,"nummularia","",Synonym,,L,TRO,22102245,,"","","","",kew-132138
kew-335837,A,Myrtaceae,,Myrteola,,"nummularia",var.,"repens","(Phil.) Reiche",Synonym,,L,WCSP,335837,166632-2,"Anales Univ. Chile","98: 701","","1897",kew-132138
kew-132141,A,Myrtaceae,,Myrteola,,"oxycoccoides",,"","(Benth.) O.Berg",Synonym,,H,WCSP,132141,599435-1,"Linnaea","27: 396","","1856",kew-132138
kew-132142,A,Myrtaceae,,Myrteola,,"philippii",,"","O.Berg",Synonym,,H,WCSP,132142,,"Linnaea","29: 252","","1858",kew-132138
kew-132143,A,Myrtaceae,,Myrteola,,"phylicoides",,"","(Benth.) Landrum",Accepted,,H,WCSP,132143,963201-1,"Brittonia","43: 199","","1991",
kew-132144,A,Myrtaceae,,Myrteola,,"phylicoides",var.,"glabrata","(O.Berg) Landrum",Accepted,,L,WCSP,132144,967019-1,"Brittonia","43: 199","","1991",
kew-132145,A,Myrtaceae,,Myrteola,,"phylicoides",var.,"phylicoides","",Synonym,,L,WCSP,132145,,"Unknown","","","",kew-132143
kew-132146,A,Myrtaceae,,Myrteola,,"repens",,"","(Phil.) O.Berg",Synonym,,H,WCSP,132146,599436-1,"Bot. Zeitung (Berlin)","16: 250","","1858",kew-132138
kew-132147,A,Myrtaceae,,Myrteola,,"vaccinioides",,"","(Kunth) O.Berg",Synonym,,H,WCSP,132147,599437-1,"Linnaea","27: 395","","1856",kew-132138
kew-335838,A,Myrtaceae,,Myrteola,,"vaccinioides",var.,"carabaya","McVaugh",Synonym,,L,WCSP,335838,166633-2,"Fieldiana, Bot.","29: 228","","1956",kew-132138
tro-22102055,A,Myrtaceae,,Myrteola,,"vaccinioides",var.,"vaccinioides","",Synonym,,L,TRO,22102055,,"","","","",kew-132138
kew-132148,A,Myrtaceae,,Myrteola,,"weberbaueri",,"","Diels",Synonym,,H,WCSP,132148,166634-2,"Bot. Jahrb. Syst.","37: 593","","1906",kew-132144
