ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-50136730,A,Gesneriaceae,,Napeanthus,,"andinus",,"","Rusby ex Donn. Sm.",Accepted,,M,TRO,50136730,381870-1,"Bot. Gaz.","20: 6","6","1895",
kew-2379080,A,Gesneriaceae,,Napeanthus,,"angustifolius",,"","Feuillet & L.E.Skog",Unresolved,,L,WCSP (in review),,20012536-1,"Brittonia","54: 358","","2002 publ. 2003",
kew-2379079,A,Gesneriaceae,,Napeanthus,,"apodemus",,"","Donn.Sm.",Accepted,,M,WCSP (in review),,167091-2,"Bot. Gaz.","20: 6","","1895",
tro-14000963,A,Gesneriaceae,,Napeanthus,,"bicolor",,"","(L.O. Williams) Barringer",Synonym,,M,TRO,14000963,942554-1,"Phytologia","59: 365","365","1986",kew-2379191
kew-2379191,A,Gesneriaceae,,Napeanthus,,"bracteatus",,"","C.V.Morton",Accepted,,M,WCSP (in review),,167092-2,"Contr. U. S. Natl. Herb.","29: 39","","1944",
kew-2379111,A,Gesneriaceae,,Napeanthus,,"brasiliensis",,"","Gardner",Unresolved,,L,WCSP (in review),,381874-1,"London J. Bot.","2: 13","","1843",
tro-14000876,A,Gesneriaceae,,Napeanthus,,"bullatus",,"","Wiehler",Synonym,,M,TRO,14000876,167093-2,"Selbyana","2(1): 110–112, t. 32: A","110","1977",kew-2379079
tro-50181914,A,Gesneriaceae,,Napeanthus,,"costaricensis",,"","Wiehler",Synonym,,M,TRO,50181914,167094-2,"Selbyana","2(1): 112–113, t. 32B","112","1977",kew-2379191
tro-14001736,A,Gesneriaceae,,Napeanthus,,"ecuadorensis",,"","Fritsch",Accepted,,M,TRO,14001736,167095-2,"Sitzungsber. Kaiserl. Akad. Wiss., Math.-Naturwiss. Cl., Abt. 1","134: 125","125","1925",
tro-50260991,A,Gesneriaceae,,Napeanthus,,"jelskii",,"","Fritsch",Accepted,,M,TRO,50260991,167096-2,"Akad. Wiss. Wien Sitzungsber., Math.-Naturwiss. Kl., Abt. 1,","134: 124","124","1925",
tro-14001164,A,Gesneriaceae,,Napeanthus,,"loretensis",,"","L.E. Skog",Accepted,,M,TRO,14001164,167097-2,"Phytologia","28: 236","236","1974",
tro-50162332,A,Gesneriaceae,,Napeanthus,,"macrostoma",,"","Leeuwenb.",Accepted,,M,TRO,50162332,167098-2,"Acta Bot. Neerl.","13: 64","64","1964",
tro-50260992,A,Gesneriaceae,,Napeanthus,,"primulifolius",,"","(Raddi) Sandwith",Accepted,,M,TRO,50260992,167099-2,"Webbia","12(1): 332","332","1956",
kew-2379175,A,Gesneriaceae,,Napeanthus,,"primulinus",,"","(H.Karst.) Benth. & Hook.f. ex B.D.Jacks.",Accepted,,M,WCSP (in review),,,"Index Kew.","2: 292","","1894",
tro-14001738,A,Gesneriaceae,,Napeanthus,,"primulinus",,"","(H. Karst.) Benth. & Hook. f.",Synonym,,M,TRO,14001738,381882-1,"Gen. Pl.","2: 1018","1018","",kew-2379175
tro-50134216,A,Gesneriaceae,,Napeanthus,,"reitzii",,"","(L.B. Sm.) Burtt ex Leeuwenb.",Accepted,,M,TRO,50134216,381883-1,"Acta Bot. Neerl.","7: 349, f. 5","349","1958",
kew-2379164,A,Gesneriaceae,,Napeanthus,,"repens",,"","Donn.Sm.",Synonym,,M,WCSP (in review),,167100-2,"Bot. Gaz.","31: 118","","1901",kew-2888453
tro-50121432,A,Gesneriaceae,,Napeanthus,,"rigidus",,"","Rusby",Accepted,,M,TRO,50121432,167101-2,"Mem. Torrey Bot. Club","6: 99","99","1896",
tro-50072443,A,Gesneriaceae,,Napeanthus,,"riparius",,"","Philipson",Accepted,,M,TRO,50072443,167102-2,"Mutisia","24: 6","6","1956",
tro-14001165,A,Gesneriaceae,,Napeanthus,,"robustus",,"","Fritsch",Accepted,,M,TRO,14001165,381887-1,"Akad. Wiss. Wien Sitzungsber., Math.-Naturwiss. Kl., Abt. 1,","134(3–4): 122–124, f. 1","122","1925",
tro-50295816,A,Gesneriaceae,,Napeanthus,,"rupicola",,"","Feuillet & L.E. Skog",Accepted,,M,TRO,50295816,326854-2,"Brittonia","54(4): 360–361, f. 4A–E","360","2002",
kew-2379185,A,Gesneriaceae,,Napeanthus,,"saxicola",,"","Brandegee",Synonym,,M,WCSP (in review),,167104-2,"Univ. Calif. Publ. Bot.","6: 65","","1914",kew-2632629
kew-2379168,A,Gesneriaceae,,Napeanthus,,"spathulatus",,"","Leeuwenb.",Accepted,,M,WCSP (in review),,167105-2,"Acta Bot. Neerl.","20: 367","","1971",
kew-2379190,A,Gesneriaceae,,Napeanthus,,"subacaulis",,"","(Griseb.) Benth. & Hook.f. ex Kuntze",Accepted,,M,WCSP (in review),,167106-2,"Revis. Gen. Pl.","2: 474","","1891",
