ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2379186,A,Gesneriaceae,,Nautilocalyx,,"adenosiphon",,"","(Leeuwenb.) Wiehler",Accepted,,M,WCSP (in review),,167411-2,"Selbyana","5: 29","","1978",
tro-50204407,A,Gesneriaceae,,Nautilocalyx,,"aeneus",,"","(Linden & André) Wiehler",Accepted,,L,TRO,50204407,167412-2,"Selbyana","5: 29–30, f. 24","29","1978",
kew-2379184,A,Gesneriaceae,,Nautilocalyx,,"antioquensis",,"","Wiehler",Unresolved,,L,WCSP (in review),,306818-2,"Gesneriana","1: 63","","1995",
kew-2379192,A,Gesneriaceae,,Nautilocalyx,,"arenarius",,"","L.E.Skog & Steyerm.",Accepted,,M,WCSP (in review),,300512-2,"Novon","1: 215","","1991",
tro-50261000,A,Gesneriaceae,,Nautilocalyx,,"bicolor",,"","(Hook.) Wiehler",Accepted,,L,TRO,50261000,167413-2,"Selbyana","5(1): 30","30","1978",
tro-50258180,A,Gesneriaceae,,Nautilocalyx,,"biserrulatus",,"","Kriebel",Accepted,,M,TRO,50258180,,"Rhodora","106(925): 46–47, table 1","46","2004",
tro-50209285,A,Gesneriaceae,,Nautilocalyx,,"bracteatus",,"","(Planch.) Sprague",Accepted,,M,TRO,50209285,,"Bull. Misc. Inform. Kew","88","88","1912",
tro-50261004,A,Gesneriaceae,,Nautilocalyx,,"bryogeton",,"","(Leeuwenb.) Wiehler",Accepted,,L,TRO,50261004,167414-2,"Selbyana","5(1): 30","30","1978",
tro-14001166,A,Gesneriaceae,,Nautilocalyx,,"bullatus",,"","(Lem.) Sprague",Accepted,,L,TRO,14001166,167415-2,"Bull. Misc. Inform. Kew","1912: 89","89","1912",
kew-2379178,A,Gesneriaceae,,Nautilocalyx,,"cataractarum",,"","Wiehler",Accepted,,M,WCSP (in review),,167416-2,"Selbyana","1: 166","","1975",
kew-2379177,A,Gesneriaceae,,Nautilocalyx,,"chimantensis",,"","L.E.Skog & Steyerm.",Accepted,,M,WCSP (in review),,306103-2,"Novon","1: 217","","1991",
tro-50295817,A,Gesneriaceae,,Nautilocalyx,,"coccineus",,"","Feuillet & L.E. Skog",Accepted,,M,TRO,50295817,326841-2,"Brittonia","54(4): 352–354, f. 1","352","2002",
tro-14000586,A,Gesneriaceae,,Nautilocalyx,,"colombianus",,"","Wiehler",Accepted,,M,TRO,14000586,167417-2,"Selbyana","2(1): 113–114, t. 32C","113","1977",
tro-14000587,A,Gesneriaceae,,Nautilocalyx,,"colonensis",,"","Wiehler",Accepted,,M,TRO,14000587,167418-2,"Selbyana","5(1): 89–90, t. 4B","89","1978",
kew-2379140,A,Gesneriaceae,,Nautilocalyx,,"cordatus",,"","(Gleason) L.E.Skog",Accepted,,M,WCSP (in review),,963366-1,"Novon","1: 217","","1991",
kew-2607914,A,Gesneriaceae,,Nautilocalyx,,"crenatus",,"","Feuillet",Unresolved,,L,WCSP (in review),,60450215-2,"J. Bot. Res. Inst. Texas","2: 825","","2008",
tro-50261008,A,Gesneriaceae,,Nautilocalyx,,"decumbens",,"","(Mart.) Wiehler",Accepted,,L,TRO,50261008,167419-2,"Selbyana","5(1): 31","31","1978",
kew-2379138,A,Gesneriaceae,,Nautilocalyx,,"dressleri",,"","Wiehler",Accepted,,M,WCSP (in review),,167420-2,"Selbyana","2: 114","","1977",
tro-14001169,A,Gesneriaceae,,Nautilocalyx,,"ecuadoranus",,"","Wiehler",Accepted,,M,TRO,14001169,381903-1,"Selbyana","5(1): 31","31","1978",
kew-2379136,A,Gesneriaceae,,Nautilocalyx,,"fasciculatus",,"","L.E.Skog & Steyerm.",Accepted,,M,WCSP (in review),,306349-2,"Novon","1: 219","","1991",
tro-14001170,A,Gesneriaceae,,Nautilocalyx,,"forgetii",,"","(Sprague) Sprague",Accepted,,L,TRO,14001170,167422-2,"Bull. Misc. Inform. Kew","1912: 89","89","1912",
tro-14001740,A,Gesneriaceae,,Nautilocalyx,,"glandulifer",,"","Wiehler",Accepted,,M,TRO,14001740,167423-2,"Selbyana","5(1): 32–34, t. 9b","32","1978",
tro-50152775,A,Gesneriaceae,,Nautilocalyx,,"harleyi",,"","Wiehler",Unresolved,,L,TRO,50152775,,"","","","",
kew-2379142,A,Gesneriaceae,,Nautilocalyx,,"hastatus",,"","Linden ex Hanst.",Unresolved,,L,WCSP (in review),,381906-1,"Linnaea","26: 207","","1854",kew-2791522
tro-14001172,A,Gesneriaceae,,Nautilocalyx,,"hirsutus",,"","(Sprague) Sprague",Accepted,,L,TRO,14001172,167425-2,"Bull. Misc. Inform. Kew","1912: 89","89","1912",
tro-50261009,A,Gesneriaceae,,Nautilocalyx,,"hirtiflorus",,"","(Spruce ex Hanst.) Sprague",Accepted,,M,TRO,50261009,167426-2,"Bull. Misc. Inform. Kew","1912: 89","89","1912",
tro-50261011,A,Gesneriaceae,,Nautilocalyx,,"kohlerioides",,"","(Leeuwenb.) Wiehler",Accepted,,L,TRO,50261011,167427-2,"Selbyana","5(1): 34","34","1978",
tro-50261039,A,Gesneriaceae,,Nautilocalyx,,"lacteus",,"","Sandwith",Synonym,,L,TRO,50261039,167428-2,"Bull. Misc. Inform. Kew","1931: 489","489","1931",tro-50079094
kew-2379128,A,Gesneriaceae,,Nautilocalyx,,"lehmannii",,"","Wiehler",Unresolved,,L,WCSP (in review),,281191-2,"Selbyana","7: 334","","1984",
kew-2379150,A,Gesneriaceae,,Nautilocalyx,,"leticianus",,"","Wiehler",Unresolved,,L,WCSP (in review),,167429-2,"Selbyana","5: 34","","1978",
tro-50093226,A,Gesneriaceae,,Nautilocalyx,,"lucianii",,"","(Linden & E. Fourn.) Wiehler",Accepted,,L,TRO,50093226,167430-2,"Selbyana","5(1): 36","36","1978",
tro-14001174,A,Gesneriaceae,,Nautilocalyx,,"lynchii",,"","(Hook. f.) Sprague",Accepted,,L,TRO,14001174,167431-2,"Bull. Misc. Inform. Kew","1912: 89","89","1912",
kew-2379157,A,Gesneriaceae,,Nautilocalyx,,"maguirei",,"","L.E.Skog & Steyerm.",Accepted,,M,WCSP (in review),,305977-2,"Novon","1: 219","","1991",
tro-50082198,A,Gesneriaceae,,Nautilocalyx,,"melittifolius",,"","(L.) Wiehler",Accepted,,M,TRO,50082198,167432-2,"Phytologia","27(5): 307","307","1973",
kew-2379154,A,Gesneriaceae,,Nautilocalyx,,"membranaceus",,"","(C.V.Morton) Wiehler",Accepted,,M,WCSP (in review),,167433-2,"Phytologia","27: 307","","1973",
kew-2379153,A,Gesneriaceae,,Nautilocalyx,,"mimuloides",,"","(Benth.) C.V.Morton",Accepted,,M,WCSP (in review),,381916-1,"Fl. Trinidad & Tobago","2: 304","","1954",
tro-14001020,A,Gesneriaceae,,Nautilocalyx,,"minutiflorus",,"","L.E. Skog",Synonym,,M,TRO,14001020,,"Phytologia","28(3): 238–240, f. 3","238","1974",tro-14000964
tro-14001556,A,Gesneriaceae,,Nautilocalyx,,"mulfordii",,"","Wiehler",Accepted,,M,TRO,14001556,167436-2,"Selbyana","5(1): 37","37","1978",
kew-2607915,A,Gesneriaceae,,Nautilocalyx,,"orinocensis",,"","Feuillet",Unresolved,,L,WCSP (in review),,60450220-2,"J. Bot. Res. Inst. Texas","2: 833","","2008",
kew-2379159,A,Gesneriaceae,,Nautilocalyx,,"pallidus",,"","(Sprague) Sprague",Accepted,,M,WCSP (in review),,167437-2,"Bull. Misc. Inform. Kew","1912: 89","","1912",
kew-2379149,A,Gesneriaceae,,Nautilocalyx,,"panamensis",,"","(Seem.) Seem.",Accepted,,M,WCSP (in review),,381920-1,"Bot. Voy. Herald","250","","1854",
kew-2607916,A,Gesneriaceae,,Nautilocalyx,,"paujiensis",,"","Feuillet",Unresolved,,L,WCSP (in review),,60450216-2,"J. Bot. Res. Inst. Texas","2: 827","","2008",
