ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-133906,A,Rubiaceae,,Neonauclea,,"acuminata",,"","Ridsdale",Accepted,,H,WCSP,133906,757377-1,"Gard. Bull. Singapore","25: 279","","1970",
kew-133907,A,Rubiaceae,,Neonauclea,,"angustifolia",,"","(Havil.) Merr.",Accepted,,H,WCSP,133907,757378-1,"J. Wash. Acad. Sci.","5: 539","","1915",
kew-133908,A,Rubiaceae,,Neonauclea,,"anthraciticus",,"","Ridsdale",Accepted,,H,WCSP,133908,937255-1,"Blumea","34: 242","","1989",
kew-133909,A,Rubiaceae,,Neonauclea,,"artocarpoides",,"","Ridsdale",Accepted,,H,WCSP,133909,937239-1,"Blumea","34: 207","","1989",
kew-133910,A,Rubiaceae,,Neonauclea,,"ategii",,"","(Elmer) Merr.",Synonym,,H,WCSP,133910,757379-1,"J. Wash. Acad. Sci.","5: 539","","1915",kew-133912
kew-133911,A,Rubiaceae,,Neonauclea,,"auriculata",,"","Quisumb. & Merr.",Synonym,,H,WCSP,133911,757380-1,"Philipp. J. Sci.","37: 205","","1928",kew-133912
kew-133912,A,Rubiaceae,,Neonauclea,,"bartlingii",,"","(DC.) Merr.",Accepted,,H,WCSP,133912,757381-1,"J. Wash. Acad. Sci.","5: 539","","1915",
kew-133913,A,Rubiaceae,,Neonauclea,,"bartlingii",var.,"bartlingii","",Synonym,,L,WCSP,133913,,"Unknown","","","",kew-133912
kew-133914,A,Rubiaceae,,Neonauclea,,"bartlingii",var.,"cumingiana","(Vidal) Ridsdale",Accepted,,L,WCSP,133914,955338-1,"Blumea","34: 219","","1989",
kew-133915,A,Rubiaceae,,Neonauclea,,"bernardoi",,"","(Merr.) Merr.",Synonym,,H,WCSP,133915,757382-1,"J. Wash. Acad. Sci.","5: 539","","1915",kew-115484
kew-133916,A,Rubiaceae,,Neonauclea,,"bomberaiensis",,"","Ridsdale",Accepted,,H,WCSP,133916,937259-1,"Blumea","34: 247","","1989",
kew-133917,A,Rubiaceae,,Neonauclea,,"borneensis",,"","Ridsdale",Accepted,,H,WCSP,133917,937241-1,"Blumea","34: 212","","1989",
kew-133918,A,Rubiaceae,,Neonauclea,,"brassii",,"","S.Moore",Accepted,,H,WCSP,133918,757383-1,"J. Bot.","65: 241","","1927",
kew-133919,A,Rubiaceae,,Neonauclea,,"butonensis",,"","Ridsdale",Accepted,,H,WCSP,133919,937244-1,"Blumea","34: 217","","1989",
kew-133920,A,Rubiaceae,,Neonauclea,,"calcarea",,"","Ridsdale",Accepted,,H,WCSP,133920,937242-1,"Blumea","34: 212","","1989",
kew-133921,A,Rubiaceae,,Neonauclea,,"calycina",,"","(Bartl. ex DC.) Merr.",Accepted,,H,WCSP,133921,757384-1,"J. Wash. Acad. Sci.","5: 539","","1915",
kew-133922,A,Rubiaceae,,Neonauclea,,"cardiophylla",,"","Merr. & L.M.Perry",Synonym,,H,WCSP,133922,757385-1,"J. Arnold Arbor.","25: 189","","1944",kew-133941
kew-133923,A,Rubiaceae,,Neonauclea,,"celebica",,"","(Havil.) Merr.",Accepted,,H,WCSP,133923,757386-1,"J. Wash. Acad. Sci.","5: 539","","1915",
kew-133924,A,Rubiaceae,,Neonauclea,,"ceramensis",,"","Ridsdale",Accepted,,H,WCSP,133924,937252-1,"Blumea","34: 238","","1989",
kew-133925,A,Rubiaceae,,Neonauclea,,"chalmersii",,"","(F.Muell.) Merr.",Accepted,,H,WCSP,133925,757387-1,"J. Wash. Acad. Sci.","5: 539","","1915",
kew-133926,A,Rubiaceae,,Neonauclea,,"circumscissa",,"","Ridsdale",Accepted,,H,WCSP,133926,937243-1,"Blumea","34: 217","","1989",
kew-133927,A,Rubiaceae,,Neonauclea,,"clemensiae",,"","Merr. & L.M.Perry",Accepted,,H,WCSP,133927,757388-1,"J. Arnold Arbor.","29: 164","","1948",
kew-133928,A,Rubiaceae,,Neonauclea,,"colla",,"","Ridsdale",Accepted,,H,WCSP,133928,937261-1,"Blumea","34: 249","","1989",
kew-133929,A,Rubiaceae,,Neonauclea,,"cordatula",,"","(Merr.) Merr.",Synonym,,H,WCSP,133929,757389-1,"J. Wash. Acad. Sci.","5: 539","","1915",kew-133914
kew-133930,A,Rubiaceae,,Neonauclea,,"coronata",,"","Ridsdale",Accepted,,H,WCSP,133930,937262-1,"Blumea","34: 249","","1989",
kew-133931,A,Rubiaceae,,Neonauclea,,"cyclophylla",,"","(Miq.) Merr.",Accepted,,H,WCSP,133931,757390-1,"J. Wash. Acad. Sci.","5: 539","","1915",
kew-133932,A,Rubiaceae,,Neonauclea,,"cyrtopoda",,"","(Miq.) Merr.",Accepted,,H,WCSP,133932,757391-1,"J. Wash. Acad. Sci.","5: 539","","1915",
kew-133933,A,Rubiaceae,,Neonauclea,,"cyrtopodioides",,"","(Wernham) Merr.",Synonym,,H,WCSP,133933,757392-1,"J. Straits Branch Roy. Asiat. Soc.","Spec. Nr.: 554","","1921",kew-133944
kew-133934,A,Rubiaceae,,Neonauclea,,"dahlii",,"","(Valeton) Merr. & L.M.Perry",Synonym,,H,WCSP,133934,757393-1,"J. Arnold Arbor.","25: 188","","1944",kew-133950
kew-133935,A,Rubiaceae,,Neonauclea,,"endertii",,"","Ridsdale",Accepted,,H,WCSP,133935,937235-1,"Blumea","34: 201","","1989",
kew-133936,A,Rubiaceae,,Neonauclea,,"excelsa",,"","(Blume) Merr.",Accepted,,H,WCSP,133936,757394-1,"J. Wash. Acad. Sci.","5: 539","","1915",
kew-133937,A,Rubiaceae,,Neonauclea,,"excelsioides",,"","Ridsdale",Accepted,,H,WCSP,133937,937236-1,"Blumea","34: 202","","1989",
kew-133938,A,Rubiaceae,,Neonauclea,,"fagifolia",,"","(Teijsm. & Binn. ex Havil.) Merr.",Synonym,,H,WCSP,133938,757395-1,"J. Wash. Acad. Sci.","5: 539","","1915",kew-3286
kew-133939,A,Rubiaceae,,Neonauclea,,"formicaria",,"","(Elmer) Merr.",Accepted,,H,WCSP,133939,757396-1,"Enum. Philipp. Fl. Pl.","3: 512","","1923",
kew-133940,A,Rubiaceae,,Neonauclea,,"formosana",,"","(Matsum.) Merr.",Synonym,,H,WCSP,133940,757397-1,"J. Wash. Acad. Sci.","5: 540","","1915",kew-209806
kew-133941,A,Rubiaceae,,Neonauclea,,"forsteri",,"","(Seem. ex Havil.) Merr.",Accepted,,H,WCSP,133941,757398-1,"J. Wash. Acad. Sci.","5: 540","","1915",
kew-133942,A,Rubiaceae,,Neonauclea,,"foveolata",,"","Capuron",Synonym,,H,WCSP,133942,757399-1,"Adansonia","n.s., 12: 383","","1972",kew-94120
kew-133943,A,Rubiaceae,,Neonauclea,,"gageana",,"","(King) Merr.",Accepted,,H,WCSP,133943,757400-1,"J. Wash. Acad. Sci.","5: 540","","1915",
kew-133944,A,Rubiaceae,,Neonauclea,,"gigantea",,"","(Valeton) Merr.",Accepted,,H,WCSP,133944,757401-1,"J. Wash. Acad. Sci.","5: 540","","1915",
kew-133945,A,Rubiaceae,,Neonauclea,,"glabra",,"","(Roxb.) Bakh.f. & Ridsdale",Accepted,,H,WCSP,133945,946772-1,"Blumea","34: 240","","1989",
kew-133946,A,Rubiaceae,,Neonauclea,,"glandulifera",,"","Ridsdale",Accepted,,H,WCSP,133946,937251-1,"Blumea","34: 237","","1989",
kew-133947,A,Rubiaceae,,Neonauclea,,"gordoniana",,"","(F.M.Bailey) Ridsdale",Synonym,,H,WCSP,133947,757402-1,"Gard. Bull. Singapore","25: 272","","1970",kew-133945
kew-133948,A,Rubiaceae,,Neonauclea,,"gracilis",,"","(Vidal) Merr.",Synonym,,H,WCSP,133948,757403-1,"J. Wash. Acad. Sci.","5: 540","","1915",kew-133960
kew-133949,A,Rubiaceae,,Neonauclea,,"griffithii",,"","(Hook.f.) Merr.",Accepted,,H,WCSP,133949,757404-1,"J. Wash. Acad. Sci.","5: 540","","1915",
kew-133950,A,Rubiaceae,,Neonauclea,,"hagenii",,"","(Lauterb. & K.Schum.) Merr.",Accepted,,H,WCSP,133950,757405-1,"J. Wash. Acad. Sci.","5: 540","","1915",
kew-133951,A,Rubiaceae,,Neonauclea,,"hagenii",subsp.,"hagenii","",Synonym,,L,WCSP,133951,,"Unknown","","","",kew-133950
kew-133952,A,Rubiaceae,,Neonauclea,,"hagenii",subsp.,"papuana","(Valeton) Ridsdale",Accepted,,L,WCSP,133952,,"Gard. Bull. Singapore","25: 270","","1970",
kew-133953,A,Rubiaceae,,Neonauclea,,"havilandii",,"","Koord. ex Ridsdale",Accepted,,H,WCSP,133953,937245-1,"Blumea","34: 221","","1989",
kew-133954,A,Rubiaceae,,Neonauclea,,"intercontinentalis",,"","Bakh.f. & Ridsdale",Accepted,,H,WCSP,133954,937254-1,"Blumea","34: 240","","1989",
kew-133955,A,Rubiaceae,,Neonauclea,,"jagorii",,"","(Merr.) Merr.",Accepted,,H,WCSP,133955,757407-1,"J. Wash. Acad. Sci.","5: 540","","1915",
kew-133956,A,Rubiaceae,,Neonauclea,,"kentii",,"","(Merr.) Merr.",Accepted,,H,WCSP,133956,757408-1,"J. Wash. Acad. Sci.","5: 540","","1915",
kew-133957,A,Rubiaceae,,Neonauclea,,"kobbei",,"","Elmer",Synonym,,H,WCSP,133957,757409-1,"Leafl. Philipp. Bot.","8: 3100","","1919",kew-133945
kew-133958,A,Rubiaceae,,Neonauclea,,"kraboensis",,"","Ridsdale",Accepted,,H,WCSP,133958,937258-1,"Blumea","34: 246","","1989",
kew-133959,A,Rubiaceae,,Neonauclea,,"lanceolata",,"","(Blume) Merr.",Accepted,,H,WCSP,133959,757410-1,"J. Wash. Acad. Sci.","5: 540","","1915",
kew-133960,A,Rubiaceae,,Neonauclea,,"lanceolata",subsp.,"gracilis","(Vidal) Ridsdale",Accepted,,L,WCSP,133960,955339-1,"Blumea","34: 225","","1989",
kew-133961,A,Rubiaceae,,Neonauclea,,"lanceolata",subsp.,"lanceolata","",Synonym,,L,WCSP,133961,,"Unknown","","","",kew-133959
kew-133962,A,Rubiaceae,,Neonauclea,,"longipedunculata",,"","Merr.",Accepted,,H,WCSP,133962,757411-1,"J. Malayan Branch Roy. Asiat. Soc.","1: 37","","1923",
