ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-425724,A,Poaceae,,Neosasamorpha,,"asagishiana",,"","(Makino & Uchida) Tatew.",Synonym,,H,WCSP,425724,409414-1,"Trans. Hokkaido Forest. Soc.","38(2): 8","","1940",kew-440753
kew-425725,A,Poaceae,,Neosasamorpha,,"asahinae",,"","(Makino & Nakai) Tatew.",Synonym,,H,WCSP,425725,409415-1,"Trans. Hokkaido Forest. Soc.","38(2): 9","","1940",kew-440753
kew-425726,A,Poaceae,,Neosasamorpha,,"chitosensis",,"","(Nakai) Tatew.",Synonym,,H,WCSP,425726,409416-1,"Trans. Hokkaido Forest. Soc.","38(2): 9","","1940",kew-440678
kew-425727,A,Poaceae,,Neosasamorpha,,"elegans",,"","(Makino) Koidz.",Synonym,,H,WCSP,425727,409417-1,"Acta Phytotax. Geobot.","9: 227","","1940",kew-440581
kew-425728,A,Poaceae,,Neosasamorpha,,"hiugensis",,"","(Nakai) Koidz.",Synonym,,H,WCSP,425728,409418-1,"Acta Phytotax. Geobot.","9: 227","","1940",kew-440753
kew-425729,A,Poaceae,,Neosasamorpha,,"hosomiana",,"","(Koidz.) Koidz.",Synonym,,H,WCSP,425729,409419-1,"Acta Phytotax. Geobot.","9: 227","","1940",kew-440726
kew-425730,A,Poaceae,,Neosasamorpha,,"hukudaeana",,"","(Koidz.) Koidz.",Synonym,,H,WCSP,425730,409420-1,"Acta Phytotax. Geobot.","9: 227","","1940",kew-440388
kew-425731,A,Poaceae,,Neosasamorpha,,"ishiharae",,"","(Tatew.) Tatew.",Synonym,,H,WCSP,425731,409421-1,"Trans. Hokkaido Forest. Soc.","38(2): 9","","1940",kew-440678
kew-425732,A,Poaceae,,Neosasamorpha,,"iwamiana",,"","(Koidz.) Koidz.",Synonym,,H,WCSP,425732,409422-1,"Acta Phytotax. Geobot.","9: 227","","1940",kew-440615
kew-425733,A,Poaceae,,Neosasamorpha,,"iwatekensis",,"","(Makino & Uchida) Tatew.",Synonym,,H,WCSP,425733,409423-1,"Trans. Hokkaido Forest. Soc.","38(2): 9","","1940",kew-440792
kew-425734,A,Poaceae,,Neosasamorpha,,"kagamiana",,"","(Makino) Koidz.",Synonym,,H,WCSP,425734,409424-1,"Acta Phytotax. Geobot.","9: 227","","1940",kew-440388
kew-425735,A,Poaceae,,Neosasamorpha,,"kagamiana",subsp.,"yoshinoi","(Koidz.) Sad.Suzuki",Synonym,,L,WCSP,425735,955237-1,"J. Jap. Bot.","64: 46","","1989",kew-440388
kew-425736,A,Poaceae,,Neosasamorpha,,"kirisimensis",,"","(Koidz.) Koidz.",Synonym,,H,WCSP,425736,409425-1,"Acta Phytotax. Geobot.","9: 227","","1940",kew-440753
kew-425737,A,Poaceae,,Neosasamorpha,,"lasioclada",,"","(Makino & Nakai) Tatew.",Synonym,,H,WCSP,425737,409426-1,"Trans. Hokkaido Forest. Soc.","38(2): 9","","1940",kew-440792
kew-425738,A,Poaceae,,Neosasamorpha,,"lasioderma",,"","Tatew.",Synonym,,H,WCSP,425738,409427-1,"Trans. Hokkaido Forest. Soc.","38(2): 9","","1940",kew-440678
kew-425739,A,Poaceae,,Neosasamorpha,,"macrospila",,"","(Koidz.) Tatew.",Synonym,,H,WCSP,425739,409428-1,"Trans. Hokkaido Forest. Soc.","38(2): 10","","1940",kew-440880
kew-425740,A,Poaceae,,Neosasamorpha,,"magnifica",,"","(Nakai) Sad.Suzuki",Synonym,,H,WCSP,425740,946585-1,"J. Jap. Bot.","64: 44","","1989",kew-440504
