ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-29604908,A,Solanaceae,,Nicotiana,,"acaulis",,"","Speg.",Accepted,,M,TRO,29604908,169731-2,"Anales Soc. Cient. Argentina","53: 176","176","1902",
tro-29602520,A,Solanaceae,,Nicotiana,,"acuminata",,"","(Graham) Hook.",Accepted,,M,TRO,29602520,816838-1,"Bot. Mag.","56: pl. 2919","pl. 2919","1829",
tro-29603944,A,Solanaceae,,Nicotiana,,"acuminata",var.,"acuminata","",Synonym,,L,TRO,29603944,,"","","","",tro-29602520
tro-29602521,A,Solanaceae,,Nicotiana,,"acuminata",var.,"multiflora","Reiche",Accepted,,L,TRO,29602521,169734-2,"Anales Univ. Chile","125: 460","460","1910",
tro-29600914,A,Solanaceae,,Nicotiana,,"acuta",,"","Griseb.",Synonym,,M,TRO,29600914,816839-1,"Abh. Königl. Ges. Wiss. Göttingen","19: 215–216","215","1874",tro-29600190
tro-29600915,A,Solanaceae,,Nicotiana,,"acutiflora",,"","A. St.-Hil.",Synonym,,M,TRO,29600915,816840-1,"Hist. Pl. Remarq. Bresil","1: 209, 223","209","1825",tro-29600190
kew-2382856,A,Solanaceae,,Nicotiana,,"acutifolia",,"","Burb.",Unresolved,,L,WCSP (in review),,816842-1,"Gard. Chron.","n.s., 1881(2): 183","","1881",
tro-29605412,A,Solanaceae,,Nicotiana,,"affinis",,"","Moore",Synonym,,M,TRO,29605412,,"Gard. Chron.","2: 141, f. 31","141","1881",kew-2382861
tro-29600075,A,Solanaceae,,Nicotiana,,"africana",,"","Merxm.",Accepted,,M,TRO,29600075,816844-1,"Mitt. Bot. Staatssamml. Munchen","12: 93","93","1975",
kew-2382861,A,Solanaceae,,Nicotiana,,"alata",,"","Link & Otto",Accepted,,M,WCSP (in review),,816845-1,"Icon. Pl. Rar.","63","","1830",
tro-29605414,A,Solanaceae,,Nicotiana,,"alata",var.,"grandiflora","Comes",Synonym,,L,TRO,29605414,,"Monogr. Nicotiana","37","37","1899",kew-2382861
kew-2382852,A,Solanaceae,,Nicotiana,,"alba",,"","Mill.",Unresolved,,L,WCSP (in review),,816846-1,"Gard. Dict. ed. 8","5","","1768",kew-2382275
kew-2382851,A,Solanaceae,,Nicotiana,,"alipes",,"","Steud.",Unresolved,,L,WCSP (in review),,816847-1,"Nomencl. Bot.","1: 553","","1821",kew-2382275
kew-2382850,A,Solanaceae,,Nicotiana,,"alpina",,"","Poepp. ex Dunal",Unresolved,,L,WCSP (in review),,816848-1,"Prodr.","13(1): 564","","1852",
