ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2396967,A,Orobanchaceae,,Odontites,,"albidulus",,"","Mabille",Unresolved,,L,WCSP (in review),,806374-1,"Rech. Pl. Corse","2: 44","","1869",
kew-2396966,A,Orobanchaceae,,Odontites,,"alpestris",,"","Jour. & Fourr.",Unresolved,,L,WCSP (in review),,806375-1,"Brev. Pl. Nov.","2: 87","","1868",
kew-2396965,A,Orobanchaceae,,Odontites,,"anselmii",,"","Sennen",Unresolved,,L,WCSP (in review),,806376-1,"Bull. Soc. Bot. France","75: 447","","1928",
kew-2396964,A,Orobanchaceae,,Odontites,,"aragonensis",,"","Willk. ex Debeaux",Unresolved,,L,WCSP (in review),,806377-1,"Rev. Bot. Bull. Mens.","12: 359","","1895",
kew-2396963,A,Orobanchaceae,,Odontites,,"asperus",,"","(Brot.) Boiss.",Synonym,,M,WCSP (in review),,806378-1,"Voy. Bot. Espagne","2: 473","","1841",kew-2382971
kew-2396962,A,Orobanchaceae,,Odontites,,"asturicus",,"","(M.Laínz) M.Laínz",Unresolved,,L,WCSP (in review),,941972-1,"Mis Contrib. Conocim. Fl. Asturias","57","","1982",
kew-2396960,A,Orobanchaceae,,Odontites,,"atlanticus",,"","Coss. ex Batt.",Unresolved,,L,WCSP (in review),,,"Fl. Algérie","Dicot.: 657","","1890",
tro-50177729,A,Orobanchaceae,,Odontites,,"aucheri",,"","Boiss.",Synonym,,L,TRO,50177729,806380-1,"Diagn. Pl. Orient., ser. 1","4: 74","74","1844",kew-2679821
kew-2396958,A,Orobanchaceae,,Odontites,,"australis",,"","Font Quer",Unresolved,,L,WCSP (in review),,806381-1,"Cavanillesia","3: 61","","1930",
kew-2396957,A,Orobanchaceae,,Odontites,,"biancae",,"","Guss. Ex Nyman",Unresolved,,L,WCSP (in review),,,"Consp. Fl. Eur.","550","","1881",
kew-2396956,A,Orobanchaceae,,Odontites,,"bocconei",,"","(Guss.) Walp.",Accepted,,M,WCSP (in review),,806383-1,"Repert. Bot. Syst.","3: 400","","1844",
kew-2896871,A,Orobanchaceae,,Odontites,,"bolligeri",,"","E.Rico, L.Delgado & Herrero",Unresolved,,L,WCSP (in review),,,"Bot. J. Linn. Soc.","158: 702","","2008",
kew-2396879,A,Orobanchaceae,,Odontites,,"breviflorus",,"","Regel",Unresolved,,L,WCSP (in review),,806385-1,"Bull. Soc. Imp. Naturalistes Moscou","41(1): 105","","1868",
kew-2396940,A,Orobanchaceae,,Odontites,,"broussei",,"","Sennen",Unresolved,,L,WCSP (in review),,806386-1,"Bull. Soc. Bot. France","73: 659","","1926 publ. 1927",
kew-2396893,A,Orobanchaceae,,Odontites,,"catalaunicus",,"","Sennen",Unresolved,,L,WCSP (in review),,806387-1,"Bol. Soc. Aragonesa Ci. Nat.","11: 211","","1912",
kew-2396892,A,Orobanchaceae,,Odontites,,"caucasicus",,"","K.Koch",Unresolved,,L,WCSP (in review),,806388-1,"Linnaea","17: 289","","1844",kew-2804277
kew-2396891,A,Orobanchaceae,,Odontites,,"cebennensis",,"","H.J.Coste & Soulié",Unresolved,,L,WCSP (in review),,806389-1,"Bull. Soc. Bot. France","52: 659","","1906",
kew-2396890,A,Orobanchaceae,,Odontites,,"ceretanus",,"","Sennen",Unresolved,,L,WCSP (in review),,806390-1,"Bull. Soc. Bot. France","73: 659","","1926 publ. 1927",
kew-2396889,A,Orobanchaceae,,Odontites,,"chrysanthus",,"","Boreau",Unresolved,,L,WCSP (in review),,806391-1,"Fl. Centre France","ed. 3, 2: 491","","1857",
kew-2396888,A,Orobanchaceae,,Odontites,,"ciliatus",,"","Pomel",Synonym,,M,WCSP (in review),,,"Nouv. Mat. Fl. Atl.","2: 302","","1875",kew-2396868
kew-2396887,A,Orobanchaceae,,Odontites,,"citardae",,"","Tod. ex Caruel",Unresolved,,L,WCSP (in review),,806393-1,"Fl. Ital.","6: 459","","1885",
