ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2402321,P,Anemiaceae,,Ornithopteris,,"abbottii",,"","(Maxon) C.F.Reed",Unresolved,,L,WCSP (in review),,176531-2,"Bol. Soc. Brot.","II, 21: 154","","1947",
tro-26604085,P,Anemiaceae,,Ornithopteris,,"adiantifolia",,"","(L.) Bernh.",Synonym,,M,TRO,26604085,1004722-2,"Neues J. Bot.","1(2): 50","50","1806",tro-26604083
tro-26603082,P,Anemiaceae,,Ornithopteris,,"aquilina",,"","J. Sm.",Unresolved,,L,TRO,26603082,17168310-1,"Hist. Fil.","298","298","1875",
kew-2402320,P,Anemiaceae,,Ornithopteris,,"aurita",,"","(Sw.) C.F.Reed",Unresolved,,L,WCSP (in review),,176532-2,"Bol. Soc. Brot.","II, 21: 154","","1947",
tro-26603758,P,Anemiaceae,,Ornithopteris,,"caudata",,"","J. Sm.",Unresolved,,L,TRO,26603758,17168320-1,"Hist. Fil.","298","298","1875",
tro-26608315,P,Anemiaceae,,Ornithopteris,,"cicutaria",,"","(Poepp. ex Spreng.) Underw.",Synonym,,M,TRO,26608315,17168260-1,"Mem. Torrey Bot. Club","12: 15","15","1902",tro-26608313
kew-2402319,P,Anemiaceae,,Ornithopteris,,"coriacea",,"","(Griseb.) C.F.Reed",Unresolved,,L,WCSP (in review),,176533-2,"Bol. Soc. Brot.","II, 21: 153","","1947",
kew-2402339,P,Anemiaceae,,Ornithopteris,,"cuneata",,"","(Kunze) C.F.Reed",Unresolved,,L,WCSP (in review),,176534-2,"Bol. Soc. Brot.","II, 21: 153","","1947",
ifn-15893,P,Anemiaceae,,Ornithopteris,,"esculenta",,"","J.Sm.",Unresolved,,L,IPNI,17168330-1,17168330-1,"Hist. Fil.","298. 1875","","1875",
ifn-15894,P,Anemiaceae,,Ornithopteris,,"glutinosa",,"","J.Sm.",Unresolved,,L,IPNI,17168340-1,17168340-1,"Hist. Fil.","299. 1875","","1875",
tro-26619784,P,Anemiaceae,,Ornithopteris,,"hirsuta",,"","(L.) Bernh.",Synonym,,M,TRO,26619784,17168270-1,"J. Bot. (Schrader)","1(2): 50, t. 3, f. 15b","50","1806",tro-26600017
kew-2402323,P,Anemiaceae,,Ornithopteris,,"makrinii",,"","(Maxon) C.F.Reed",Unresolved,,L,WCSP (in review),,176535-2,"Bol. Soc. Brot.","II, 21: 153","","1947",
tro-26604987,P,Anemiaceae,,Ornithopteris,,"mexicana",,"","(Klotzsch) Underw.",Synonym,,M,TRO,26604987,176536-2,"Native Ferns (ed. 6)","76","76","1900",tro-26604224
kew-2402325,P,Anemiaceae,,Ornithopteris,,"nipeensis",,"","(Benedict) C.F.Reed",Unresolved,,L,WCSP (in review),,176537-2,"Bol. Soc. Brot.","II, 21: 154","","1947",
kew-2402346,P,Anemiaceae,,Ornithopteris,,"obovata",,"","Underw.",Unresolved,,L,WCSP (in review),,176538-2,"N. Amer. Fl.","16: 42","","1909",
kew-2402345,P,Anemiaceae,,Ornithopteris,,"portoricensis",,"","(Maxon) C.F.Reed",Unresolved,,L,WCSP (in review),,176539-2,"Bol. Soc. Brot.","II, 21: 154","","1947",
ifn-15895,P,Anemiaceae,,Ornithopteris,,"rugulosa",,"","J.Sm.",Unresolved,,L,IPNI,17168350-1,17168350-1,"Hist. Fil.","299. 1875","","1875",
ifn-15896,P,Anemiaceae,,Ornithopteris,,"scaberula",,"","J.Sm.",Unresolved,,L,IPNI,17168360-1,17168360-1,"Hist. Fil.","299. 1875","","1875",
tro-26608325,P,Anemiaceae,,Ornithopteris,,"speciosa",,"","(C. Presl) C.F. Reed",Synonym,,M,TRO,26608325,176540-2,"Bol. Soc. Brot., sér. 2,","21: 153","153","1947",tro-26606997
tro-26614812,P,Anemiaceae,,Ornithopteris,,"wrightii",,"","(Baker) Millsp.",Accepted,,M,TRO,26614812,176541-2,"Publ. Field Columb. Mus., Bot. Ser.","3(1): 14","14","1903",
