ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-426596,A,Poaceae,,Oryza,,"abromeitiana",,"","Prodoehl",Synonym,,H,WCSP,426596,410038-1,"Bot. Arch.","1: 234","","1922",kew-426655
kew-426597,A,Poaceae,,Oryza,,"alta",,"","Swallen",Synonym,,H,WCSP,426597,,"Publ. Carnegie Inst. Wash.","61: 156","","1936",kew-426641
kew-426598,A,Poaceae,,Oryza,,"angustifolia",,"","C.E.Hubb.",Synonym,Illegitimate,H,WCSP,426598,410040-1,"Hooker's Icon. Pl.","35: t. 3492","","1951",kew-422106
kew-426599,A,Poaceae,,Oryza,,"aquatica",,"","Roshev.",Synonym,Invalid,H,WCSP,426599,,"Zlaki","214","","1937",kew-426697
kew-426600,A,Poaceae,,Oryza,,"aristata",,"","Bosc",Unresolved,,L,WCSP,426600,410042-1,"Bull. Sci. Soc. Philom. Paris","1: 10","","1803",
kew-426601,A,Poaceae,,Oryza,,"aristata",,"","Blanco",Synonym,Illegitimate,H,WCSP,426601,410041-1,"Fl. Filip.","274","","1837",kew-426698
kew-426602,A,Poaceae,,Oryza,,"australiensis",,"","Domin",Accepted,,H,WCSP,426602,410043-1,"Biblioth. Bot.","20: 333","","1915",
kew-426603,A,Poaceae,,Oryza,,"australis",,"","R.Br. ex Schweinf.",Synonym,Invalid,H,WCSP,426603,,"Beitr. Fl. Aethiop.","300","","1867",kew-422089
kew-426604,A,Poaceae,,Oryza,,"barthii",,"","A.Chev.",Accepted,,H,WCSP,426604,410045-1,"Bull. Mus. Natl. Hist. Nat.","16: 405","","1910",
kew-426605,A,Poaceae,,Oryza,,"brachyantha",,"","A.Chev. & Roehr.",Accepted,,H,WCSP,426605,410046-1,"Compt. Rend. Hebd. Séances Acad. Sci.","159: 561","","1914",
kew-426606,A,Poaceae,,Oryza,,"brachyantha",var.,"guineensis","A.Chev.",Synonym,,L,WCSP,426606,,"Rev. Bot. Appl. Agric. Trop.","12: 1022","","1932",kew-426605
kew-426607,A,Poaceae,,Oryza,,"breviligulata",,"","A.Chev. & Roehr.",Synonym,Illegitimate,H,WCSP,426607,410047-1,"Compt. Rend. Hebd. Séances Acad. Sci.","159: 560","","1914",kew-426604
kew-426608,A,Poaceae,,Oryza,,"caudata",,"","Döll",Synonym,Invalid,H,WCSP,426608,410048-1,"Fl. Bras.","2(2): 8","","1871",kew-439206
kew-426609,A,Poaceae,,Oryza,,"clandestina",,"","(G.H.Weber) A.Braun ex Asch.",Synonym,,H,WCSP,426609,,"Fl. Brandenburg","1: 799","","1864",kew-422108
tro-25529986,A,Poaceae,,Oryza,,"clandestina",f.,"clandestina","",Synonym,,L,TRO,25529986,,"","","","",kew-422108
kew-426610,A,Poaceae,,Oryza,,"clandestina",f.,"inclusa","Weisbord ex Baen.",Synonym,,L,WCSP,426610,,"Deutsche Bot. Monatsschr.","15: 19","","1897",kew-422108
kew-426611,A,Poaceae,,Oryza,,"clandestina",f.,"maculosa","Waisb.",Synonym,,L,WCSP,426611,,"Magyar Bot. Lapok","7: 41","","1908",kew-422108
kew-426612,A,Poaceae,,Oryza,,"clandestina",f.,"patens","Weisbord ex Baen.",Synonym,,L,WCSP,426612,,"Deutsche Bot. Monatsschr.","15: 19","","1897",kew-422108
kew-426613,A,Poaceae,,Oryza,,"clandestina",f.,"picta","Waisb.",Synonym,,L,WCSP,426613,,"Magyar Bot. Lapok","7: 41","","1908",kew-422108
kew-426614,A,Poaceae,,Oryza,,"coarctata",,"","Roxb.",Synonym,,H,WCSP,426614,327885-2,"Fl. Ind. ed. 1832","2: 206","","1832",kew-438180
kew-426615,A,Poaceae,,Oryza,,"collina",,"","(Trimen) S.D.Sharma & Shastry",Synonym,,H,WCSP,426615,410052-1,"Indian J. Genet. Pl. Breed.","25: 168","","1965",kew-426620
kew-426616,A,Poaceae,,Oryza,,"communissima",,"","Lour.",Synonym,,H,WCSP,426616,410053-1,"Fl. Cochinch.","215","","1790",kew-426698
kew-426617,A,Poaceae,,Oryza,,"cubensis",,"","Ekman ex Gotoh & Okura",Synonym,Invalid,H,WCSP,426617,,"J. Soc. Trop. Agric.","5: 363","","1933",kew-426697
kew-426618,A,Poaceae,,Oryza,,"denudata",,"","Steud.",Synonym,Invalid,H,WCSP,426618,410054-1,"Nomencl. Bot.","577","","1821",kew-426698
kew-426619,A,Poaceae,,Oryza,,"dewildemanii",,"","Vanderyst",Synonym,Invalid,H,WCSP,426619,410055-1,"Bull. Agric. Congo Belge","11: 123","","1920",kew-426648
kew-426620,A,Poaceae,,Oryza,,"eichingeri",,"","Peter",Accepted,,H,WCSP,426620,410056-1,"Repert. Spec. Nov. Regni Veg. Beih.","40(1 Anh.): 74","","1930",
kew-426621,A,Poaceae,,Oryza,,"eichingeri",var.,"longiaristata","Peter",Synonym,,L,WCSP,426621,,"Repert. Spec. Nov. Regni Veg. Beih.","40(1): 251","","1930",kew-426691
kew-426622,A,Poaceae,,Oryza,,"elongata",,"","Steud.",Synonym,Invalid,H,WCSP,426622,410057-1,"Nomencl. Bot.","577","","1821",kew-426698
kew-426623,A,Poaceae,,Oryza,,"fatua",,"","J.Koenig ex Trin.",Synonym,Invalid,H,WCSP,426623,,"Mém. Acad. Imp. Sci. Saint-Pétersbourg, Sér. 6, Sci. Math., Seconde Pt. Sci. Nat.","5(3; 4): 177","","1839 publ. 1840",kew-426697
kew-426625,A,Poaceae,,Oryza,,"filiformis",,"","Buch.-Ham. ex Steud.",Synonym,Invalid,H,WCSP,426625,410059-1,"Syn. Pl. Glumac.","1: 3","","1853",kew-426655
kew-426626,A,Poaceae,,Oryza,,"formosana",,"","Masam.& Suzuki",Synonym,,H,WCSP,426626,410060-1,"Trans. Nat. Hist. Soc. Taiwan","25: 320","","1935",kew-426698
kew-426627,A,Poaceae,,Oryza,,"glaberrima",,"","Steud.",Accepted,,H,WCSP,426627,410061-1,"Syn. Pl. Glumac.","1: 3","","1853",
kew-426628,A,Poaceae,,Oryza,,"glaberrima",subsp.,"barthii","(A.Chev.) De Wet",Synonym,,L,WCSP,426628,,"Kulturpflanze","29: 188","","1981",kew-426604
kew-426630,A,Poaceae,,Oryza,,"glaberrima",var.,"subaristata","Roshev.",Synonym,,L,WCSP,426630,,"Trudy Prikl. Bot.","27: 60","","1931",kew-426627
kew-426631,A,Poaceae,,Oryza,,"glauca",,"","Robyns",Synonym,Invalid,H,WCSP,426631,410062-1,"Mém. Inst. Roy. Colon. Belge, Sect. Sc. Nat. (4to)","5: 136","","1936",kew-426620
kew-426632,A,Poaceae,,Oryza,,"glumipatula",,"","Steud.",Synonym,,H,WCSP,426632,,"Syn. Pl. Glumac.","1: 3","","1853",kew-426697
kew-426633,A,Poaceae,,Oryza,,"glutinosa",,"","Lour.",Synonym,,H,WCSP,426633,410064-1,"Fl. Cochinch.","215","","1790",kew-426698
kew-426634,A,Poaceae,,Oryza,,"grandiglumis",,"","(Döll) Prodoehl",Accepted,,H,WCSP,426634,176926-2,"Bot. Arch.","1: 233","","1922",
kew-426635,A,Poaceae,,Oryza,,"granulata",,"","Nees & Arn. ex Watt",Synonym,,H,WCSP,426635,,"Dict. Econ. Prod. India","5: 500","","1891",kew-426655
kew-426636,A,Poaceae,,Oryza,,"guineensis",,"","A.Chev.",Synonym,Invalid,H,WCSP,426636,410068-1,"Rev. Bot. Appl. Agric. Trop.","12: 1022","","1932",kew-426605
kew-426637,A,Poaceae,,Oryza,,"hexandra",,"","(Sw.) Döll",Synonym,,H,WCSP,426637,1017295-2,"Fl. Bras.","2(1): 10","","1871",kew-422089
kew-426638,A,Poaceae,,Oryza,,"hexandra",var.,"grandiflora","Döll",Synonym,,L,WCSP,426638,176927-2,"Fl. Bras.","2(2): 10","","1871",kew-422100
tro-25528480,A,Poaceae,,Oryza,,"hexandra",var.,"hexandra","",Synonym,,L,TRO,25528480,,"","","","",kew-422089
kew-426639,A,Poaceae,,Oryza,,"indandamanica",,"","J.L.Ellis",Synonym,,H,WCSP,426639,932070-1,"Bull. Bot. Surv. India","27: 225","","1987",kew-426655
kew-426640,A,Poaceae,,Oryza,,"jeyporensis",,"","Govindasw. & K.H.Krishnam.",Synonym,Invalid,H,WCSP,426640,410070-1,"Sci. & Cult.","24: 236","","1958",kew-426697
kew-426641,A,Poaceae,,Oryza,,"latifolia",,"","Desv.",Accepted,,H,WCSP,426641,316809-2,"J. Bot. Agric.","1: 77","","1813",
kew-426642,A,Poaceae,,Oryza,,"latifolia",var.,"collina","(Trimen) Hook.f.",Synonym,,L,WCSP,426642,,"Fl. Brit. India","7: 92","","1896",kew-426620
kew-426643,A,Poaceae,,Oryza,,"latifolia",var.,"grandiglumis","(Döll) A.Chev.",Synonym,,L,WCSP,426643,,"Rev. Bot. Appl. Agric. Trop.","12: 1027","","1932",kew-426634
kew-426644,A,Poaceae,,Oryza,,"latifolia",var.,"grandispiculis","A.Chev.",Synonym,,L,WCSP,426644,316810-2,"Rev. Bot. Appl. Agric. Trop.","12: 1027","","1932",kew-426641
tro-25526968,A,Poaceae,,Oryza,,"latifolia",var.,"latifolia","",Synonym,,L,TRO,25526968,,"","","","",kew-426641
kew-426645,A,Poaceae,,Oryza,,"latifolia",var.,"silvatica","A.Camus",Synonym,,L,WCSP,426645,,"Bull. Mus. Natl. Hist. Nat.","27: 456","","1921",kew-426672
kew-426646,A,Poaceae,,Oryza,,"leersioides",,"","(Kunth) Steud.",Synonym,,H,WCSP,426646,410072-1,"Syn. Pl. Glumac.","1: 3","","1853",kew-423218
kew-426647,A,Poaceae,,Oryza,,"longiglumis",,"","Jansen",Accepted,,H,WCSP,426647,410074-1,"Reinwardtia","2: 312","","1953",
kew-426648,A,Poaceae,,Oryza,,"longistaminata",,"","A.Chev.& Roehr.",Accepted,,H,WCSP,426648,410075-1,"Compt. Rend. Hebd. Séances Acad. Sci.","159: 561","","1914",
kew-426649,A,Poaceae,,Oryza,,"madagascariensis",,"","(A.Chev.) Roshev.",Synonym,,H,WCSP,426649,410076-1,"Zlaki","224","","1937",kew-426648
kew-426650,A,Poaceae,,Oryza,,"malampuzhaensis",,"","Krishnasw. & Chandras.",Synonym,,H,WCSP,426650,410077-1,"Madras Agric. J.","45: 471","","1958",kew-426672
kew-426651,A,Poaceae,,Oryza,,"manilensis",,"","Merr.",Synonym,,H,WCSP,426651,410078-1,"Philipp. J. Sci., C","3: 219","","1908",kew-426662
kew-426652,A,Poaceae,,Oryza,,"marginata",,"","Steud.",Synonym,Invalid,H,WCSP,426652,410079-1,"Nomencl. Bot.","577","","1821",kew-426698
kew-426653,A,Poaceae,,Oryza,,"meridionalis",,"","N.Q.Ng",Synonym,,H,WCSP,426653,898331-1,"Bot. J. Linn. Soc.","82: 328","","1981",kew-426697
kew-426654,A,Poaceae,,Oryza,,"mexicana",,"","(Kunth) Döll",Synonym,,H,WCSP,426654,,"Fl. Bras.","2(1): 10","","1871",kew-422089
kew-426655,A,Poaceae,,Oryza,,"meyeriana",,"","(Zoll. & Moritzi) Baill.",Accepted,,H,WCSP,426655,410081-1,"Hist. Pl.","12: 166","","1894",
kew-426656,A,Poaceae,,Oryza,,"meyeriana",subsp.,"abromeitiana","(Prodán) Tateoka",Synonym,,L,WCSP,426656,,"Bot. Mag. (Tokyo)","75: 460","","1962",kew-426655
kew-426657,A,Poaceae,,Oryza,,"meyeriana",subsp.,"granulata","(Nees & Arn. ex Steud.) Tateoka",Synonym,,L,WCSP,426657,,"Bot. Mag. (Tokyo)","75: 460","","1962",kew-426655
kew-426659,A,Poaceae,,Oryza,,"meyeriana",var.,"granulata","(Nees ex Steud.) Duist.",Synonym,,L,WCSP,426659,953314-1,"Blumea","32: 185","","1987",kew-426655
kew-426660,A,Poaceae,,Oryza,,"meyeriana",var.,"indandamanica","(J.L.Ellis) Veldkamp",Synonym,,L,WCSP,426660,967000-1,"Blumea","36: 179","","1991",kew-426655
tro-50049545,A,Poaceae,,Oryza,,"meyeriana",subsp.,"meyeriana","",Synonym,,L,TRO,50049545,,"","","","",kew-426655
kew-426658,A,Poaceae,,Oryza,,"meyeriana",subsp.,"tuberculata","W.C.Wu, Y.G.Lu & G.C.Wang",Synonym,,L,WCSP,426658,1005698-1,"Chin. J. Rice Sci.","4(1): 35","","1990",kew-426655
tro-50279618,A,Poaceae,,Oryza,,"meyeriana",subsp.,"tuberculata","W.C. Wei & Y.G. Lu",Synonym,,L,TRO,50279618,,"","","","",kew-426655
kew-426661,A,Poaceae,,Oryza,,"mezii",,"","Prodoehl",Synonym,,H,WCSP,426661,410082-1,"Bot. Arch.","1: 223","","1922",kew-426604
kew-426662,A,Poaceae,,Oryza,,"minuta",,"","J.Presl",Accepted,,H,WCSP,426662,410083-1,"Reliq. Haenk.","1: 208","","1830",
tro-25551197,A,Poaceae,,Oryza,,"minuta",var.,"minuta","",Synonym,,L,TRO,25551197,,"","","","",kew-426662
kew-426663,A,Poaceae,,Oryza,,"minuta",var.,"silvatica","(E.G.Camus) Veldkamp",Synonym,,L,WCSP,426663,970190-1,"Blumea","37: 232","","1992",kew-426672
kew-426664,A,Poaceae,,Oryza,,"monandra",,"","(Sw.) Döll",Synonym,,H,WCSP,426664,1037626-2,"Fl. Bras.","2(2): 9","","1871",kew-422105
kew-426665,A,Poaceae,,Oryza,,"monandra",var.,"grandiflora","Döll",Synonym,,L,WCSP,426665,176931-2,"Fl. Bras.","2(2): 9","","1877",kew-422100
tro-25528474,A,Poaceae,,Oryza,,"monandra",var.,"monandra","",Synonym,,L,TRO,25528474,,"","","","",kew-422105
kew-426666,A,Poaceae,,Oryza,,"monandra",var.,"parviflora","Döll",Synonym,,L,WCSP,426666,176932-2,"Fl. Bras.","2(2): 9","","1871",kew-422105
kew-426667,A,Poaceae,,Oryza,,"montana",,"","Lour.",Synonym,,H,WCSP,426667,410086-1,"Fl. Cochinch.","215","","1790",kew-426698
kew-426668,A,Poaceae,,Oryza,,"mutica",,"","Steud.",Synonym,Invalid,H,WCSP,426668,410088-1,"Nomencl. Bot.","577","","1821",kew-426698
kew-426669,A,Poaceae,,Oryza,,"neocaledonica",,"","Morat",Accepted,,H,WCSP,426669,978469-1,"Bull. Mus. Natl. Hist. Nat., B, Adansonia","16: 3","","1994",
kew-426670,A,Poaceae,,Oryza,,"nepalensis",,"","G.Don ex Steud.",Synonym,Invalid,H,WCSP,426670,,"Syn. Pl. Glumac.","1: 3","","1853",kew-426698
kew-426671,A,Poaceae,,Oryza,,"nivara",,"","S.D.Sharma & Shastry",Synonym,,H,WCSP,426671,410090-1,"Indian J. Genet. Pl. Breed.","25: 161","","1965",kew-426697
kew-426672,A,Poaceae,,Oryza,,"officinalis",,"","Wall. ex Watt",Accepted,,H,WCSP,426672,,"Dict. Econ. Prod. India","5: 501","","1891",
kew-426673,A,Poaceae,,Oryza,,"officinalis",subsp.,"malampuzhaenensis","(Krishnasw. & Chandras.) Tateoka",Synonym,,L,WCSP,426673,,"Bot. Mag. (Tokyo)","75: 422","","1962",kew-426672
tro-50251535,A,Poaceae,,Oryza,,"officinalis",subsp.,"malampuzhaensis","(Krishnasw. & Chandras.) Tateoka",Synonym,,L,TRO,50251535,,"Bot. Mag. (Tokyo)","75: 422","422","1962",kew-426672
tro-25551201,A,Poaceae,,Oryza,,"officinalis",subsp.,"officinalis","",Synonym,,L,TRO,25551201,,"","","","",kew-426672
tro-25511278,A,Poaceae,,Oryza,,"ongistaminata",,"","A. Chev. & Roehr.",Unresolved,,L,TRO,25511278,,"","","","",
kew-426674,A,Poaceae,,Oryza,,"oryzoides",,"","(L.) Dalla Torre & Sarnth.",Synonym,,H,WCSP,426674,410094-1,"Fl. Tirol","6(1): 142","","1906",kew-422108
tro-50131796,A,Poaceae,,Oryza,,"oryzoides",,"","(L.) Brand & W.D.J. Koch",Synonym,,M,TRO,50131796,,"Syn. Deut. Schweiz. Fl. (ed. 3)","3: 2704","2704","1905",kew-422108
kew-426675,A,Poaceae,,Oryza,,"palustris",,"","Salisb.",Synonym,Illegitimate,H,WCSP,426675,410095-1,"Prodr. Stirp. Chap. Allerton","25","","1796",kew-426698
kew-426676,A,Poaceae,,Oryza,,"paraguayensis",,"","Franch.",Synonym,Invalid,H,WCSP,426676,410096-1,"Bull. Soc. Hist. Nat. Autun","8: 365","","1895",kew-426697
tro-25526970,A,Poaceae,,Oryza,,"paraguayensis",,"","Wedd. ex E. Fourn.",Synonym,,M,TRO,25526970,410097-1,"Compt. Rend. Cong. Int. Bot. & Hort. Paris","1878: 233","233","1880",kew-426697
kew-426677,A,Poaceae,,Oryza,,"parviflora",,"","(R.Br.) Baill.",Synonym,,H,WCSP,426677,410100-1,"Bull. Mens. Soc. Linn. Paris","2: 1063","","1892",kew-438186
kew-426678,A,Poaceae,,Oryza,,"parviflora",,"","P.Beauv.",Synonym,Invalid,H,WCSP,426678,410098-1,"Ess. Agrostogr.","27","","1812",kew-426698
kew-426679,A,Poaceae,,Oryza,,"perennis",,"","Moench",Synonym,,H,WCSP,426679,410101-1,"Methodus","197","","1794",kew-426698
