ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-145605,A,Apocynaceae,,Pagiantha,,"cerifera",,"","(Pancher & Sebert) Markgr.",Synonym,,H,WCSP,145605,80747-1,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 546","","1935",kew-200617
kew-145606,A,Apocynaceae,,Pagiantha,,"corymbosa",,"","(Roxb. ex Wall.) Markgr.",Synonym,,H,WCSP,145606,80748-1,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 546","","1935",kew-200648
kew-145607,A,Apocynaceae,,Pagiantha,,"crispa",,"","(Roxb.) Markgr.",Synonym,,H,WCSP,145607,80749-1,"Mitt. Bot. Staatssamml. München","1: 29","","1950",kew-200557
kew-145608,A,Apocynaceae,,Pagiantha,,"dichotoma",,"","(Roxb. ex Wall.) Markgr.",Synonym,,H,WCSP,145608,80750-1,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 546","","1935",kew-200667
kew-145609,A,Apocynaceae,,Pagiantha,,"fagraeoides",,"","(Miq.) Markgr.",Synonym,,H,WCSP,145609,80751-1,"Mitt. Bot. Staatssamml. München","1: 29","","1950",kew-200938
kew-145610,A,Apocynaceae,,Pagiantha,,"heyneana",,"","(Wall.) Markgr.",Synonym,,H,WCSP,145610,80752-1,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 546","","1935",kew-200557
kew-145611,A,Apocynaceae,,Pagiantha,,"koroana",,"","Markgr.",Synonym,,H,WCSP,145611,80753-1,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 549","","1935",kew-200965
kew-145612,A,Apocynaceae,,Pagiantha,,"koroana",var.,"salomonensis","Markgr.",Synonym,,L,WCSP,145612,,"Gard. Bull. Singapore","22: 28","","1967",kew-200922
kew-145613,A,Apocynaceae,,Pagiantha,,"macrocarpa",,"","(Jack) Markgr.",Synonym,,H,WCSP,145613,80755-1,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 546","","1935",kew-200791
kew-145614,A,Apocynaceae,,Pagiantha,,"mauritiana",,"","(Poir.) Markgr.",Synonym,,H,WCSP,145614,80756-1,"Mitt. Bot. Staatssamml. München","1: 29","","1950",kew-200876
kew-145615,A,Apocynaceae,,Pagiantha,,"megacarpa",,"","(Merr.) Markgr.",Synonym,,H,WCSP,145615,80757-1,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 546","","1935",kew-200791
kew-145616,A,Apocynaceae,,Pagiantha,,"oligantha",,"","(Merr.) Markgr.",Synonym,,H,WCSP,145616,80758-1,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 546","","1935",kew-200860
kew-145617,A,Apocynaceae,,Pagiantha,,"pandacaqui",,"","(Lam.) Markgr.",Synonym,,H,WCSP,145617,80759-1,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 546","","1935",kew-200860
kew-145618,A,Apocynaceae,,Pagiantha,,"peninsularis",,"","Kerr",Synonym,,H,WCSP,145618,80760-1,"Bull. Misc. Inform. Kew","1937: 43","","1937",kew-200648
kew-145619,A,Apocynaceae,,Pagiantha,,"persicariifolia",,"","(Jacq.) Markgr.",Synonym,,H,WCSP,145619,80761-1,"Mitt. Bot. Staatssamml. München","1: 29","","1950",kew-200876
kew-145620,A,Apocynaceae,,Pagiantha,,"plumeriifolia",,"","(Elmer) Markgr.",Synonym,,H,WCSP,145620,80762-1,"Mitt. Bot. Staatssamml. München","1: 29","","1950",kew-200791
kew-145621,A,Apocynaceae,,Pagiantha,,"sessilifolia",,"","(Baker) Markgr.",Synonym,,H,WCSP,145621,80763-1,"Mitt. Bot. Staatssamml. München","1: 29","","1950",kew-200930
kew-145622,A,Apocynaceae,,Pagiantha,,"sphaerocarpa",,"","(Blume) Markgr.",Synonym,,H,WCSP,145622,80764-1,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 546","","1935",kew-200938
kew-145623,A,Apocynaceae,,Pagiantha,,"subglobosa",,"","(Merr.) Markgr.",Synonym,,H,WCSP,145623,80765-1,"Notizbl. Bot. Gart. Berlin-Dahlem","12: 547","","1935",kew-200860
kew-145624,A,Apocynaceae,,Pagiantha,,"thurstonii",,"","(Horne ex Baker) A.C.Sm.",Synonym,,H,WCSP,145624,80766-1,"J. Arnold Arbor.","33: 114","","1952",kew-200965
