ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
gcc-3885,A,Compositae,,Pentacalia,,"abietina",,"","(Willd. ex Wedd.) Cuatrec.",Accepted,,M,TICA,C7F048FC-7D3D-4D72-A1BA-0737945513F8,,"Phytologia 49(3): 252 (1981):.","","252","1981",
gcc-9672,A,Compositae,,Pentacalia,,"abietina",var.,"abietina","",Synonym,,L,TICA,8A739905-3B4E-4AE1-B529-12112A2E5E78,,"","","","",gcc-3885
gcc-124158,A,Compositae,,Pentacalia,,"aclydiphylla",,"","(Cuatrec.) Cuatrec.",Accepted,,L,TICA,F22E8073-4E6B-4C23-B86B-D0069F1C1B00,187876-2,"","","252","1981",
gcc-40452,A,Compositae,,Pentacalia,,"acunae",,"","Borhidi",Accepted,,M,TICA,0028F584-4F27-4C49-BEB8-4AF679B7F893,305678-2,"","","88","1992",
gcc-27073,A,Compositae,,Pentacalia,,"albi-panquei",,"","S.Díaz & Cuatrec.",Accepted,,M,TICA,C79D1BE7-F2B9-4946-AD90-320CDEBFD904,318466-2,"","","689","1990",
gcc-113531,A,Compositae,,Pentacalia,,"albiramea",,"","(Cuatrec.) Cuatrec.",Unresolved,,L,TICA,79806F91-2609-4716-974A-B7D29CB7A3F4,187877-2,"","","252","1981",gcc-15778
gcc-101216,A,Compositae,,Pentacalia,,"albotecta",,"","(Cuatrec.) Cuatrec.",Accepted,,M,TICA,5CBADF9C-C509-4E7E-A02D-9C5597AFB199,187878-2,"","","252","1981",
gcc-5407,A,Compositae,,Pentacalia,,"almironcillo",,"","(M.Gómez) Proctor",Synonym,,M,TICA,6F670316-0E95-4932-9C95-0A175153C0E6,1108341-2,"J. Arnold Arbor. 63(3)","","312","1982",gcc-35081
gcc-9861,A,Compositae,,Pentacalia,,"almorzana",,"","S.Díaz & Cuatrec.",Accepted,,L,TICA,25953F16-4FF4-4F71-8EAC-12687B8CABBB,,"","","","1994",
gcc-44020,A,Compositae,,Pentacalia,,"americana",,"","(L.f.) Cuatrec.",Accepted,,M,TICA,35BAEA94-D8B9-473E-A9F9-518C269683A7,187879-2,"","","252","1981",
gcc-127955,A,Compositae,,Pentacalia,,"amplexicaulis",,"","(Kunth) Cuatrec.",Accepted,,M,TICA,0290AB3C-6E82-4872-AF3F-D8E4635A9AD8,187880-2,"","","252","1981",
gcc-35321,A,Compositae,,Pentacalia,,"andicola",,"","(Turcz.) Cuatrec.",Accepted,,M,TICA,9F47B9B7-8ACA-4195-BDB6-417C532F90FE,909380-1,"Phytologia 49(3)","","252","1981",
gcc-149705,A,Compositae,,Pentacalia,,"andicola",var.,"andicola","",Synonym,,L,TICA,9D08CD3F-5C20-4664-83E9-5E7C563A8E3C,,"","","","",gcc-35321
gcc-142400,A,Compositae,,Pentacalia,,"andrei",,"","(Greenm.) Cuatrec.",Accepted,,M,TICA,50A6193A-86EB-4771-B7B6-F983005610C8,,"","","243","1981",
gcc-13575,A,Compositae,,Pentacalia,,"antioquensis",,"","(Cuatrec.) Cuatrec.",Accepted,,M,TICA,8DFB3F36-C8A2-43CF-991B-194195A23038,187883-2,"","","243","1981",
gcc-124285,A,Compositae,,Pentacalia,,"apiculata",,"","(Sch.Bip. ex Wedd.) Cuatrec.",Accepted,,M,TICA,B00CFEEB-4877-4FC1-9E41-D055A067841F,187884-2,"","","252","1981",
