ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-466486,A,Poaceae,,Pentameris,,"acinosa",,"","(Stapf) Galley & H.P.Linder",Unresolved,,L,WCSP,466486,77111523-1,"Ann. Missouri Bot. Gard.","97: 329","","2010",kew-433122
kew-433045,A,Poaceae,,Pentameris,,"airoides",,"","(Nees) Steud.",Synonym,,H,WCSP,433045,,"Nomencl. Bot.","ed. 2, 2: 298","","1841",kew-433124
tro-25524702,A,Poaceae,,Pentameris,,"airoides",,"","Nees",Synonym,,M,TRO,25524702,,"Sem. Hort. Bot. Vratisl.","","","1834",kew-433124
kew-467962,A,Poaceae,,Pentameris,,"alticola",,"","(H.P.Linder) Galley & H.P.Linder",Unresolved,,L,WCSP,467962,77111525-1,"Ann. Missouri Bot. Gard.","97: 330","","2010",kew-433126
kew-433046,A,Poaceae,,Pentameris,,"americana",,"","(Scribn.) A.Nelson & J.F.Macbr.",Synonym,,H,WCSP,433046,188138-2,"Bot. Gaz.","56: 469","","1913",kew-406961
kew-467947,A,Poaceae,,Pentameris,,"ampla",,"","(Nees) Galley & H.P.Linder",Unresolved,,L,WCSP,467947,77111526-1,"Ann. Missouri Bot. Gard.","97: 330","","2010",kew-433127
kew-465958,A,Poaceae,,Pentameris,,"andringitrensis",,"","(A.Camus) Galley & H.P.Linder",Unresolved,,L,WCSP,465958,77111527-1,"Ann. Missouri Bot. Gard.","97: 330","","2010",kew-433128
kew-433047,A,Poaceae,,Pentameris,,"angulata",,"","(Nees) Steud.",Synonym,,H,WCSP,433047,,"Nomencl. Bot.","ed. 2, 2: 298","","1841",kew-433233
kew-433048,A,Poaceae,,Pentameris,,"angustifolia",,"","(Nees) Steud.",Synonym,,L,WCSP,433048,,"Nomencl. Bot.","ed. 2, 2: 298","","1841",kew-433199
kew-465947,A,Poaceae,,Pentameris,,"argentea",,"","(Stapf) Galley & H.P.Linder",Unresolved,,L,WCSP,465947,77111528-1,"Ann. Missouri Bot. Gard.","97: 330","","2010",kew-433134
kew-465956,A,Poaceae,,Pentameris,,"aristidoides",,"","(Thunb.) Galley & H.P.Linder",Unresolved,,L,WCSP,465956,77111529-1,"Ann. Missouri Bot. Gard.","97: 330","","2010",kew-433135
kew-467948,A,Poaceae,,Pentameris,,"aristifolia",,"","(Schweick.) Galley & H.P.Linder",Unresolved,,L,WCSP,467948,77111530-1,"Ann. Missouri Bot. Gard.","97: 330","","2010",kew-433136
