ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
gcc-23616,A,Compositae,,Perymenium,,"acuminatum",,"","(La Llave) S.F.Blake",Accepted,,M,TICA,FB3AEFE4-563B-4111-9D34-2BA940202F4B,190900-2,"","","627","1924",
gcc-24478,A,Compositae,,Perymenium,,"album",,"","S.Watson",Unresolved,,L,TICA,B95B19CF-694B-4E82-898E-2D2F57E98AE8,190901-2,"","","154","1890",
gcc-1076,A,Compositae,,Perymenium,,"alticola",,"","McVaugh",Accepted,,M,TICA,AC818660-0741-4196-9E09-01F8C0F38010,,"","","","1972",
gcc-95164,A,Compositae,,Perymenium,,"angustifolium",,"","Brandegee",Synonym,,M,TICA,8EB82B35-03A0-48E9-866E-8EAA052C5260,190903-2,"","","260","1908",gcc-59677
gcc-120517,A,Compositae,,Perymenium,,"asperifolium",,"","Sch.Bip. ex Klatt",Accepted,,M,TICA,67B27634-EBC6-4F7F-9943-C7B85BC2BE69,237261-1,"","","143","1887",
gcc-114915,A,Compositae,,Perymenium,,"barclayanum",,"","DC.",Unresolved,,L,TICA,5ADAD915-DDAE-48C1-B47A-BAF769A81413,237262-1,"Prodr. (DC.) 5: 609","","609","1836",
gcc-106333,A,Compositae,,Perymenium,,"basaseachicanum",,"","B.L.Turner",Accepted,,M,TICA,9B862253-77B8-49EC-AE88-A78E380834A3,,"","","","1996",
gcc-50207,A,Compositae,,Perymenium,,"beckeri",,"","J.J.Fay",Accepted,,M,TICA,53204C80-E9FD-4FD9-8978-5D14CAE5929A,,"","","","1978",
gcc-75417,A,Compositae,,Perymenium,,"berlandieri",,"","DC.",Accepted,,M,TICA,63D23CF9-F26B-4A99-AC29-6261A754E1A8,237264-1,"","","608","1836",
gcc-136104,A,Compositae,,Perymenium,,"bishopii",,"","H.Rob.",Unresolved,,L,TICA,23B15832-B1AA-492A-9B72-EB7315B08DEE,190893-2,"","","54","1983",
gcc-12506,A,Compositae,,Perymenium,,"blepharolepis",,"","S.F.Blake",Unresolved,,L,TICA,B7969142-8770-4ACC-A9EE-174BCF7BA998,190905-2,"","","522","1916",
gcc-39475,A,Compositae,,Perymenium,,"buphthalmoides",,"","DC.",Accepted,,M,TICA,E62F7039-C6A0-4741-88A2-49424F889D33,237266-1,"Prodr. (DC.) 5: 609","","609","1836",
gcc-54611,A,Compositae,,Perymenium,,"buphthalmoides",var.,"buphthalmoides","",Synonym,,L,TICA,7A7B7384-3DAF-4B80-8986-6F6513DAE7A3,,"","","","1836",gcc-39475
gcc-17378,A,Compositae,,Perymenium,,"buphthalmoides",var.,"diguetii","(McVaugh) B.L.Turner",Accepted,,L,TICA,61973AF3-E8C1-41FF-9A96-201EC1A95C40,282549-2,"","","265","1988",
gcc-72306,A,Compositae,,Perymenium,,"buphthalmoides",var.,"tenellum","(A.Gray) McVaugh",Accepted,,L,TICA,3DAACD1E-24EE-40F1-8AD4-FCE8C221D59D,190909-2,"","","436","1972",
gcc-91809,A,Compositae,,Perymenium,,"calvum",,"","Greenm.",Synonym,,M,TICA,F50A6EDD-B5BF-430F-B77B-8734E0D9AF7C,282551-2,"Proc. Amer. Acad. Arts 40: 41","","41","1904",gcc-91111
gcc-136552,A,Compositae,,Perymenium,,"celendianum",,"","B.L.Turner",Unresolved,,L,TICA,53690C43-34F6-4266-A983-EC79E429FC12,300980-2,"","","208","1993",
gcc-52100,A,Compositae,,Perymenium,,"cervantesii",,"","DC.",Unresolved,,L,TICA,1637B849-81C0-49C4-9ECB-60A4027B9E04,237268-1,"Prodr. (DC.) 5: 609","","609","1836",
gcc-109544,A,Compositae,,Perymenium,,"chalarolepis",,"","B.L.Rob. & Greenm.",Synonym,,M,TICA,EDF0F6FE-545C-4BFE-BB63-AEE60FB3F121,190911-2,"","","525","1899",gcc-42320
gcc-23622,A,Compositae,,Perymenium,,"chihuahuense",,"","S.F.Blake",Unresolved,,L,TICA,7C9C39D0-BFB4-466F-9793-2BAAF6D3AA4C,190912-2,"","","625","1924",
gcc-142746,A,Compositae,,Perymenium,,"chloroleucum",,"","S.F.Blake",Accepted,,M,TICA,627A3841-C8EA-44C7-AD33-FA54DC6C0A79,190913-2,"","","349-350","1937",
gcc-33341,A,Compositae,,Perymenium,,"collinum",,"","Brandegee",Unresolved,,L,TICA,7E8D9CCF-4D9C-4D15-A710-3DCBE5A2CD96,190914-2,"","","395","1909",
gcc-135072,A,Compositae,,Perymenium,,"colombianum",,"","B.L.Turner",Accepted,,M,TICA,9B23021F-BA0F-4288-8479-E925E690A25C,304573-2,"","","209","1993",
gcc-77198,A,Compositae,,Perymenium,,"consobrinum",,"","S.F.Blake",Unresolved,,L,TICA,84A06CB1-4A53-4370-B03A-66549829693E,190915-2,"","","626","1924",
gcc-94807,A,Compositae,,Perymenium,,"cornutum",,"","Brandegee",Accepted,,M,TICA,E148BBD3-9DB9-4AA4-9C02-8DE1765160B7,190916-2,"","","192","1911",
gcc-8324,A,Compositae,,Perymenium,,"croceum",,"","B.L.Rob. & Greenm.",Accepted,,M,TICA,71D4ED5D-ABF0-4AF1-81F2-0F7E332A077E,190917-2,"","","527","1899",
gcc-2291,A,Compositae,,Perymenium,,"cualense",,"","B.L.Turner",Accepted,,M,TICA,3BCF2A8C-1DEF-4997-BBA3-042797F1DE93,304964-2,"","","317","1993",
gcc-2491,A,Compositae,,Perymenium,,"diguetii",,"","McVaugh",Synonym,,M,TICA,BD2D0263-AC57-49C7-8D64-0488C79B37D5,,"Contr. Univ. Michigan Herb. 9","","","1972",gcc-17378
gcc-104199,A,Compositae,,Perymenium,,"discolor",,"","Sch.Bip.",Unresolved,,L,TICA,1D9ECA69-171C-42BF-AB4F-A2FDCF743B18,290228-2,"Leopoldina 23: 143","","143","1887",
gcc-3295,A,Compositae,,Perymenium,,"discolor",,"","Schrad.",Accepted,,M,TICA,7F1D304B-E2CC-4646-B2F3-06162A642B74,,"""Ind. Sem. Hort. Gotting. (1830). Cf Linnaea, vi. (1831) Litt. 73.""","","","1830",
gcc-144560,A,Compositae,,Perymenium,,"ecuadoricum",,"","S.F.Blake",Synonym,,M,TICA,AA1D7AC8-8A9A-4BB9-A6A9-FE5E275B9497,190919-2,"","","423","1922",gcc-136323
gcc-29633,A,Compositae,,Perymenium,,"episcopale",,"","J.J.Fay",Accepted,,M,TICA,DF616D30-1499-4075-B5B5-36C6129DB52F,,"","","","1978",
gcc-20551,A,Compositae,,Perymenium,,"fayi",,"","B.L.Turner",Accepted,,M,TICA,D19E3E25-4663-4B26-84BB-260644915DDE,282553-2,"Phytologia 69(1)","","16","1990",
gcc-35238,A,Compositae,,Perymenium,,"featherstonei",,"","S.F.Blake",Unresolved,,L,TICA,40E0E4E8-B0E6-42C3-901F-4153AB05AB54,190921-2,"","","222","1926",
gcc-21980,A,Compositae,,Perymenium,,"flexuosum",,"","Greenm.",Unresolved,,L,TICA,90EDBEC4-9667-4D14-8F8B-28A7AD8C732B,190922-2,"","","263","1905",
gcc-42320,A,Compositae,,Perymenium,,"ghiesbreghtii",,"","B.L.Rob. & Greenm.",Accepted,,M,TICA,34909DE3-1823-4674-9DC1-4E6502016E72,190923-2,"","","525","1899",
gcc-118008,A,Compositae,,Perymenium,,"glandulosum",,"","Brandegee",Accepted,,M,TICA,E2FE389C-6982-4F1F-AD31-C1EE91BF203A,190924-2,"","","261","1908",
