ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-19100161,A,Loranthaceae,,Phthirusa,,"abdita",,"","S. Moore",Synonym,,M,TRO,19100161,194464-2,"Trans. Linn. Soc. London, Bot.","4: 450","450","1895",kew-2536568
kew-2536721,A,Loranthaceae,,Phthirusa,,"adenostemon",,"","Eichler",Synonym,,M,WCSP (in review),,551215-1,"Fl. Bras.","5(2): 58","","1868",kew-2536568
kew-2540888,A,Loranthaceae,,Phthirusa,,"adenostemon",var.,"huberi","Rizzini",Synonym,,L,WCSP (in review),,194465-2,"Dusenia","3: 455","","1952",kew-2536568
kew-2536720,A,Loranthaceae,,Phthirusa,,"adunca",,"","(G.Mey.) Maguire",Synonym,,M,WCSP (in review),,194466-2,"Bull. Torrey Bot. Club","75: 301","","1948",kew-2536568
kew-2536719,A,Loranthaceae,,Phthirusa,,"adunca",var.,"magdalenae","(Cham. & Schltdl.) Rizzini",Synonym,,L,WCSP (in review),,921277-1,"Fl. Venez.","4(2): 79","","1982",kew-2536568
kew-2536696,A,Loranthaceae,,Phthirusa,,"adunca",f.,"magnifolia","Rizzini",Synonym,,L,WCSP (in review),,917153-1,"Fl. Venez.","4(2): 81","","1982",kew-2536568
kew-2540889,A,Loranthaceae,,Phthirusa,,"adunca",var.,"orinocensis","(Spreng.) Steyerm.",Synonym,,L,WCSP (in review),,194467-2,"Fieldiana, Bot.","28: 224","","1951",kew-2536568
kew-2536663,A,Loranthaceae,,Phthirusa,,"adunca",var.,"rigidifolia","Rizzini",Synonym,,L,WCSP (in review),,886579-1,"Bol. Soc. Venez. Ci. Nat.","32: 326","","1976",kew-2536568
kew-2536706,A,Loranthaceae,,Phthirusa,,"alata",,"","(Tiegh.) Engl.",Synonym,,M,WCSP (in review),,194470-2,"Nat. Pflanzenfam.","Nachtr. 1: 135","","1897",kew-2760805
kew-2536672,A,Loranthaceae,,Phthirusa,,"alternifolia",,"","Eichler",Synonym,,M,WCSP (in review),,194471-2,"Fl. Bras.","5(2): 66","","1868",kew-2724464
