ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35213471,B,Lejeuneaceae,,Physocolea,,"africana",,"","Stephani",Synonym,,M,TRO,35213471,,"Sp. Hepat.","5: 867","867","1915",tro-35213472
tro-35212545,B,Lejeuneaceae,,Physocolea,,"angustibracteata",,"","(Schiffner) Stephani",Synonym,,M,TRO,35212545,,"Sp. Hepat.","5: 888","888","1916",tro-100377139
tro-35201783,B,Lejeuneaceae,,Physocolea,,"apiahyna",,"","Stephani",Synonym,,M,TRO,35201783,,"Sp. Hepat.","5: 874","874","1916",tro-35202283
tro-35189715,B,Lejeuneaceae,,Physocolea,,"autoica",,"","Stephani",Synonym,,M,TRO,35189715,,"Sp. Hepat.","5: 867","867","1916",tro-35189721
tro-35212536,B,Lejeuneaceae,,Physocolea,,"balansae",,"","Stephani",Synonym,,M,TRO,35212536,,"Sp. Hepat.","5: 888","888","1916",tro-35212537
tro-35215266,B,Lejeuneaceae,,Physocolea,,"bidentula",,"","Stephani",Synonym,,M,TRO,35215266,,"Sp. Hepat.","5: 868","868","",tro-35215267
tro-35211907,B,Lejeuneaceae,,Physocolea,,"bolombensis",,"","Stephani",Synonym,,M,TRO,35211907,,"Sp. Hepat.","5: 868","868","1916",tro-35207308
tro-35209763,B,Lejeuneaceae,,Physocolea,,"casuarinae",,"","Stephani",Synonym,,M,TRO,35209763,,"Sp. Hepat.","5: 909","909","1916",tro-35209764
tro-35211570,B,Lejeuneaceae,,Physocolea,,"conchaefolia",,"","(Gottsche) Stephani",Synonym,,M,TRO,35211570,,"","","","1916",tro-35211289
tro-35203583,B,Lejeuneaceae,,Physocolea,,"crenulata",,"","Herzog",Accepted,,M,TRO,35203583,,"Mitt. Inst. Allg. Bot. Hamburg","7: 215. f. 10","215","1931",
tro-35210868,B,Lejeuneaceae,,Physocolea,,"cristata",,"","Stephani",Synonym,,M,TRO,35210868,,"Sp. Hepat.","5: 869","869","1916",tro-35211911
tro-35215273,B,Lejeuneaceae,,Physocolea,,"cuneata",,"","(Lehm. & Lindenb.) Stephani",Synonym,,M,TRO,35215273,,"Sp. Hepat.","5: 869","869","",tro-35215271
tro-35209757,B,Lejeuneaceae,,Physocolea,,"cuspidata",,"","Stephani",Unresolved,,L,TRO,35209757,,"Sp. Hepat.","5: 889","889","1916",
tro-35201618,B,Lejeuneaceae,,Physocolea,,"decemplicata",,"","Stephani",Synonym,,M,TRO,35201618,,"Sp. Hepat.","5: 869","869","1916",tro-35201553
tro-35205673,B,Lejeuneaceae,,Physocolea,,"denticulata",,"","Horik.",Accepted,,M,TRO,35205673,,"J. Sci. Hiroshima Univ., Ser. B, Div. 2, Bot.","2: 287. f. 62","287","1934",
tro-35209759,B,Lejeuneaceae,,Physocolea,,"dentilobula",,"","Stephani",Synonym,,M,TRO,35209759,,"Sp. Hepat.","5: 892","892","1916",tro-35209760
tro-35212543,B,Lejeuneaceae,,Physocolea,,"desciscens",,"","(Stephani) Stephani",Synonym,,M,TRO,35212543,,"Sp. Hepat.","5: 891","891","1916",tro-100356750
tro-35216370,B,Lejeuneaceae,,Physocolea,,"elegans",,"","(Stephani) Stephani",Accepted,,M,TRO,35216370,,"Sp. Hepat.","5: 870","870","1916",
tro-35210352,B,Lejeuneaceae,,Physocolea,,"elliptica",,"","Stephani",Accepted,,M,TRO,35210352,,"Mem. Soc. Sci. Nat. Cherbourg","","","1916",
tro-35216127,B,Lejeuneaceae,,Physocolea,,"erectifolia",,"","(Stephani) Stephani",Accepted,,M,TRO,35216127,,"Sp. Hepat.","5: 870","870","1916",
tro-100361978,B,Lejeuneaceae,,Physocolea,,"erostrata",,"","Herzog",Synonym,,M,TRO,100361978,,"Beih. Bot. Centralbl.","Abt. B, 61: 582","582","1942",tro-100361979
tro-35202829,B,Lejeuneaceae,,Physocolea,,"estipulata",,"","Gottsche ex Stephani",Synonym,,M,TRO,35202829,,"Sp. Hepat.","5: 893","893","1916",tro-35202581
tro-35209830,B,Lejeuneaceae,,Physocolea,,"falcata",,"","Horik.",Accepted,,M,TRO,35209830,,"J. Sci. Hiroshima Univ., Ser. B, Div. 2, Bot.","1: 22. f. 6","22","1931",
tro-35216372,B,Lejeuneaceae,,Physocolea,,"filicaulis",,"","(Stephani) Stephani",Accepted,,M,TRO,35216372,,"Sp. Hepat.","5: 871","871","1916",
tro-35212557,B,Lejeuneaceae,,Physocolea,,"flavicans",,"","Stephani",Synonym,,M,TRO,35212557,,"Sp. Hepat.","5: 893","893","1916",tro-35212558
tro-35216377,B,Lejeuneaceae,,Physocolea,,"flegelii",,"","Stephani",Unresolved,,L,TRO,35216377,,"Sp. Hepat.","5: 873","873","1916",
tro-35202169,B,Lejeuneaceae,,Physocolea,,"fusca",,"","Stephani",Synonym,,M,TRO,35202169,,"Sp. Hepat.","5: 893","893","1916",tro-35202692
tro-35213477,B,Lejeuneaceae,,Physocolea,,"gemmifera",,"","P.C. Chen",Synonym,,M,TRO,35213477,,"Feddes Repert. Spec. Nov. Regni Veg.","58: 50. f. 19","50","1955",tro-35213478
tro-35212559,B,Lejeuneaceae,,Physocolea,,"gottschei",,"","Stephani",Synonym,,M,TRO,35212559,,"Sp. Hepat. Brit. Isl.","5: 894","894","1916",tro-35212560
tro-35216374,B,Lejeuneaceae,,Physocolea,,"grossidens",,"","Stephani",Synonym,,M,TRO,35216374,,"Sp. Hepat.","5: 872","872","1916",tro-35216375
tro-35191772,B,Lejeuneaceae,,Physocolea,,"gymnocolea",,"","(Spruce) Stephani",Synonym,,M,TRO,35191772,,"Sp. Hepat.","5: 877","877","1916",tro-35207419
tro-35205683,B,Lejeuneaceae,,Physocolea,,"handelii",,"","Herzog",Synonym,,M,TRO,35205683,,"Symb. Sin.","5: 55. f. 21: 4–8","55","1930",tro-35205686
tro-35205674,B,Lejeuneaceae,,Physocolea,,"hirta",,"","Stephani",Synonym,,M,TRO,35205674,,"Sp. Hepat.","5: 895","895","1916",tro-35205679
tro-35205675,B,Lejeuneaceae,,Physocolea,,"inuena",,"","Stephani",Synonym,,M,TRO,35205675,,"Sp. Hepat.","5: 897","897","1916",tro-35205680
tro-35211905,B,Lejeuneaceae,,Physocolea,,"javanica",,"","Stephani",Synonym,,M,TRO,35211905,,"Sp. Hepat.","5: 895","895","1916",tro-35211906
tro-35213462,B,Lejeuneaceae,,Physocolea,,"leptolejeuneoides",,"","Schiffner",Synonym,,M,TRO,35213462,,"Ann. Bryol.","2: 95. f. 5","95","1929",tro-35213463
tro-35209765,B,Lejeuneaceae,,Physocolea,,"lhotzkiana",,"","Hampe",Synonym,,M,TRO,35209765,,"Syn. Hepat.","389","389","1845",tro-35209766
tro-35209840,B,Lejeuneaceae,,Physocolea,,"madothecoides",,"","Stephani",Synonym,,M,TRO,35209840,,"Sp. Hepat.","5: 989","989","1916",tro-35209692
tro-35205676,B,Lejeuneaceae,,Physocolea,,"magnilobula",,"","Horik.",Accepted,,M,TRO,35205676,,"J. Sci. Hiroshima Univ., Ser. B, Div. 2, Bot.","2: 288. pl. 21: 25–28","288","1934",
tro-35215411,B,Lejeuneaceae,,Physocolea,,"malanjae",,"","Stephani",Unresolved,,L,TRO,35215411,,"Sp. Hepat.","5: 872","872","1916",
tro-35191953,B,Lejeuneaceae,,Physocolea,,"megalandra",,"","(Spruce) Stephani",Accepted,,M,TRO,35191953,,"Sp. Hepat.","5: 879","879","1916",
tro-35191973,B,Lejeuneaceae,,Physocolea,,"myriandroecia",,"","(Spruce) Stephani",Accepted,,M,TRO,35191973,,"Sp. Hepat.","5: 879","879","1916",
tro-35214509,B,Lejeuneaceae,,Physocolea,,"myriantha",,"","Herzog",Synonym,,M,TRO,35214509,,"Memoranda Soc. Fauna Fl. Fenn.","27: 102","102","1951",tro-35202208
