ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2549081,A,Simaroubaceae,,Picrasma,,"ailanthoides",,"","(Bunge) Planch.",Synonym,,M,WCSP (in review),,813949-1,"London J. Bot.","5: 573","","1846",kew-2549064
kew-2549082,A,Simaroubaceae,,Picrasma,,"andamanica",,"","Kurz",Unresolved,,L,WCSP (in review),,,"Rep. Veg. Andaman Isl.","App.: 33","","1870",
kew-2549083,A,Simaroubaceae,,Picrasma,,"antillana",,"","(Eggers) Urb.",Synonym,,M,WCSP (in review),,,"Symb. Antill.","5: 377","","1908",kew-2549056
tro-50126879,A,Simaroubaceae,,Picrasma,,"chinensis",,"","P.Y. Chen",Accepted,,M,TRO,50126879,,"Acta Bot. Austro Sin.","1: 71, pl. 1, f. 1–9","71","1983",
tro-29400137,A,Simaroubaceae,,Picrasma,,"crenata",,"","Engl. in Engl. & Prantl",Accepted,,M,TRO,29400137,195994-2,"Nat. Pflanzenfam.","III(4): 222","222","1896",
tro-100368296,A,Simaroubaceae,,Picrasma,,"cubensis",,"","Radlk. & Urb.",Synonym,,L,TRO,100368296,195995-2,"Repert. Spec. Nov. Regni Veg.","18: 363","363","1922",kew-2623748
tro-50199175,A,Rutaceae,,Picrasma,,"denhamii",,"","Seem.",Synonym,,M,TRO,50199175,,"Fl. Vit.","33","33","1865",kew-2510124
kew-2549056,A,Simaroubaceae,,Picrasma,,"excelsa",,"","(Sw.) Planch.",Accepted,,M,WCSP (in review),,813955-1,"London J. Bot.","5: 574","","1846",
tro-29400182,A,Simaroubaceae,,Picrasma,,"guassioides",,"","Benn.",Unresolved,,L,TRO,29400182,,"","","","",
kew-2549057,A,Simaroubaceae,,Picrasma,,"japonica",,"","A.Gray",Synonym,,M,WCSP (in review),,,"Mem. Amer. Acad. Arts","n.s., 6: 383","","1859",kew-2549064
tro-29400229,A,Simaroubaceae,,Picrasma,,"javanica",,"","Blume",Accepted,,M,TRO,29400229,,"","","","",
tro-29400045,A,Simaroubaceae,,Picrasma,,"mexicana",,"","Brandegee",Accepted,,M,TRO,29400045,195996-2,"Univ. Calif. Publ. Bot.","10(8): 410","410","1924",
kew-2549060,A,Simaroubaceae,,Picrasma,,"napalensis",,"","Benn.",Unresolved,,L,WCSP (in review),,813959-1,"Pl. Jav. Rar.","201","","1844",
tro-29400140,A,Simaroubaceae,,Picrasma,,"palo-amargo",,"","Speg.",Synonym,,M,TRO,29400140,813960-1,"Physis (Buenos Aires)","3: 173","173","1917",tro-29400137
kew-2549055,A,Simaroubaceae,,Picrasma,,"philippinensis",,"","Elmer",Unresolved,,L,WCSP (in review),,813962-1,"Leafl. Philipp. Bot.","5: 1837","","1913",
kew-2549064,A,Simaroubaceae,,Picrasma,,"quassioides",,"","(D.Don) Benn.",Accepted,,M,WCSP (in review),,813963-1,"Pl. Jav. Rar.","198","","1844",
tro-50126878,A,Simaroubaceae,,Picrasma,,"quassioides",var.,"quassioides","",Synonym,,L,TRO,50126878,,"","","","",kew-2549064
kew-2549068,A,Simaroubaceae,,Picrasma,,"selleana",,"","Urb.",Unresolved,,L,WCSP (in review),,195998-2,"Ark. Bot.","20A(15): 38","","1926",
tro-29400139,A,Simaroubaceae,,Picrasma,,"vellozii",,"","Planch.",Synonym,,M,TRO,29400139,813965-1,"London J. Bot.","5: 574","574","1846",tro-29400137
