ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-50158203,A,Lentibulariaceae,,Pinguicula,,"acuminata",,"","Benth.",Accepted,,M,TRO,50158203,,"Pl. Hartw.","71","71","1839",
kew-2537251,A,Lentibulariaceae,,Pinguicula,,"acutifolia",,"","Michx.",Unresolved,,L,WCSP (in review),,526402-1,"Fl. Bor.-Amer.","1: 11","","1803",
tro-50092742,A,Lentibulariaceae,,Pinguicula,,"agnata",,"","Casper",Accepted,,M,TRO,50092742,196859-2,"Feddes Repert. Spec. Nov. Regni Veg.","67(1–3): 14","14","1963",
kew-2537273,A,Lentibulariaceae,,Pinguicula,,"alba",,"","Kuhl ex Hoppe",Unresolved,,L,WCSP (in review),,526404-1,"Bot. Taschenb. Anfänger Wiss. Apothekerkunst","1800: 225","","1800",
kew-2537260,A,Lentibulariaceae,,Pinguicula,,"albanica",,"","Griseb.",Unresolved,,L,WCSP (in review),,526405-1,"Spic. Fl. Rumel.","2: 9","","1844",
kew-2537259,A,Lentibulariaceae,,Pinguicula,,"albida",,"","C.Wright ex Griseb.",Unresolved,,L,WCSP (in review),,526406-1,"Cat. Pl. Cub.","162","","1866",
kew-2537258,A,Lentibulariaceae,,Pinguicula,,"algida",,"","Malyschev",Unresolved,,L,WCSP (in review),,526407-1,"Novosti Sist. Vyssh. Rast.","1966: 252","","1966",
kew-2537257,A,Lentibulariaceae,,Pinguicula,,"alpestris",,"","Pers.",Unresolved,,L,WCSP (in review),,526408-1,"Syn. Pl.","1: 18","","1805",
kew-2537256,A,Lentibulariaceae,,Pinguicula,,"alpicola",,"","Rouy",Unresolved,,L,WCSP (in review),,526409-1,"Fl. France","11: 202","","1909",
kew-2537533,A,Lentibulariaceae,,Pinguicula,,"alpina",,"","L.",Accepted,,M,WCSP (in review),,526412-1,"Sp. Pl.","17","","1753",
tro-18300166,A,Lentibulariaceae,,Pinguicula,,"antarctica",,"","Vahl",Accepted,,M,TRO,18300166,,"Enum. Pl.","1: 192","192","1827",
tro-18300368,A,Lentibulariaceae,,Pinguicula,,"antarctica",,"","A. Fernández",Synonym,,M,TRO,18300368,,"Caldasia","9: 17","17","1964",tro-18300017
kew-2897063,A,Lentibulariaceae,,Pinguicula,,"apuana",,"","Casper & Ansaldi",Unresolved,,L,WCSP (in review),,77103314-1,"Wulfenia","16: 13","","2009",
kew-2537519,A,Lentibulariaceae,,Pinguicula,,"arctica",,"","Eastw.",Unresolved,,L,WCSP (in review),,196860-2,"Bot. Gaz.","33: 293","","1902",
kew-2537530,A,Lentibulariaceae,,Pinguicula,,"arvetii",,"","Genty",Unresolved,,L,WCSP (in review),,526415-1,"J. Bot. (Morot)","5: 250","","1891",
kew-2537541,A,Lentibulariaceae,,Pinguicula,,"auricolor",,"","Arv.-Touv.",Unresolved,,L,WCSP (in review),,526416-1,"Ess. Pl. Dauph.","50","","1871",
kew-2537527,A,Lentibulariaceae,,Pinguicula,,"australis",,"","Nutt.",Unresolved,,L,WCSP (in review),,30226758-2,"J. Acad. Nat. Sci. Philadelphia","7: 103","","1834",
kew-2537528,A,Lentibulariaceae,,Pinguicula,,"australis",,"","Chapm.",Unresolved,,L,WCSP (in review),,526417-1,"Fl. South. U.S.","284","","1860",
kew-2537526,A,Lentibulariaceae,,Pinguicula,,"bakeriana",,"","Sander",Synonym,,M,WCSP (in review),,,"Gard. Chron.","n.s., 15: 541","","1881",kew-2537549
kew-2537525,A,Lentibulariaceae,,Pinguicula,,"balcanica",,"","Casper",Accepted,,M,WCSP (in review),,526420-1,"Feddes Repert. Spec. Nov. Regni Veg.","66: 105","","1962",
kew-2537524,A,Lentibulariaceae,,Pinguicula,,"barbata",,"","S.Z.Ruiz & Rzed.",Unresolved,,L,WCSP (in review),,930335-1,"Phytologia","60: 256","","1986",
kew-2537523,A,Lentibulariaceae,,Pinguicula,,"benedicta",,"","Barnhart",Unresolved,,L,WCSP (in review),,196861-2,"Mem. Torrey Bot. Club","16: 110","","1920",
tro-18300002,A,Lentibulariaceae,,Pinguicula,,"bicolor",,"","Wot.",Accepted,,M,TRO,18300002,,"","","","",
kew-2537521,A,Lentibulariaceae,,Pinguicula,,"bissei",,"","Casper",Unresolved,,L,WCSP (in review),,77063292-1,"Wulfenia","11: 2","","2004",
kew-2537520,A,Lentibulariaceae,,Pinguicula,,"bohemica",,"","Krajina",Unresolved,,L,WCSP (in review),,526423-1,"V?stn. Král. Ceské Spole?n. Nauk, T?. Mat.-P?ír.","15: 1","","1926 publ. 1927",
kew-2532341,A,Lentibulariaceae,,Pinguicula,,"borealis",,"","Salisb.",Unresolved,,L,WCSP (in review),,526424-1,"Prodr. Stirp. Chap. Allerton","90","","1796",
kew-2532307,A,Lentibulariaceae,,Pinguicula,,"brachyloba",,"","Schult.",Unresolved,,L,WCSP (in review),,526425-1,"Mant.","1: 167","","1822",
tro-18300080,A,Lentibulariaceae,,Pinguicula,,"caerulea",,"","Walter",Accepted,,M,TRO,18300080,526434-1,"Fl. Carol.","63","63","1788",
tro-50337559,A,Lentibulariaceae,,Pinguicula,,"calderoniae",,"","Zamudio",Accepted,,M,TRO,50337559,77065797-1,"Bol. Soc. Bot. México","68: 85","85","2001",
tro-18300017,A,Lentibulariaceae,,Pinguicula,,"calyptrata",,"","Kunth",Accepted,,M,TRO,18300017,,"Nov. Gen. Sp. (quarto ed.)","2: 226","226","1817",
kew-2532315,A,Lentibulariaceae,,Pinguicula,,"campanulata",,"","Lam.",Unresolved,,L,WCSP (in review),,526427-1,"J. Hist. Nat.","1: 336","","1792",
kew-2532314,A,Lentibulariaceae,,Pinguicula,,"camtschatica",,"","Willd. ex Link",Unresolved,,L,WCSP (in review),,526428-1,"Jahrb. Gewächsk.","1(3): 54","","1820",
kew-2532313,A,Lentibulariaceae,,Pinguicula,,"caryophyllacea",,"","Casper",Unresolved,,L,WCSP (in review),,77063293-1,"Wulfenia","11: 8","","2004",
kew-2532312,A,Lentibulariaceae,,Pinguicula,,"casabitoana",,"","J.Jiménez Alm.",Unresolved,,L,WCSP (in review),,196863-2,"Rhodora","62: 238","","1960",
kew-2532311,A,Lentibulariaceae,,Pinguicula,,"caudata",,"","Schltdl.",Synonym,,M,WCSP (in review),,526430-1,"Linnaea","7: 393","","1832",kew-2537549
tro-18300167,A,Lentibulariaceae,,Pinguicula,,"chilensis",,"","Clos",Accepted,,M,TRO,18300167,526431-1,"Fl. Chil.","4: 365","365","1849",
kew-2608244,A,Lentibulariaceae,,Pinguicula,,"chuquisacensis",,"","S.Beck, A.Fleischm. & Borsch",Unresolved,,L,WCSP (in review),,,"Willdenowia","38: 205","","2008",
kew-2532298,A,Lentibulariaceae,,Pinguicula,,"cladophila",,"","Ernst",Unresolved,,L,WCSP (in review),,196864-2,"Bot. Jahrb. Syst.","80: 175","","1961",
tro-18300398,A,Lentibulariaceae,,Pinguicula,,"clivorum",,"","Standl. & Steyerm.",Accepted,,M,TRO,18300398,196865-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","23(4): 179","179","1944",
tro-50158208,A,Lentibulariaceae,,Pinguicula,,"colimensis",,"","McVaugh & Mickel",Accepted,,M,TRO,50158208,196866-2,"Brittonia","15(2): 138, f. 3, 6–7","138","1963",
tro-50229873,A,Lentibulariaceae,,Pinguicula,,"conzattii",,"","Zamudio & van Marm",Accepted,,M,TRO,50229873,326513-2,"Acta Bot. Mex.","62: 16–20, f. 1","16","2003",
kew-2532304,A,Lentibulariaceae,,Pinguicula,,"corsica",,"","Bernard & Gren.",Accepted,,M,WCSP (in review),,,"Fl. France","2: 443","","1853",
tro-50173443,A,Lentibulariaceae,,Pinguicula,,"crassifolia",,"","Zamudio",Accepted,,M,TRO,50173443,935776-1,"Acta Bot. Mex.","3: 21–25, f. 1–2","21","1988",
kew-2532302,A,Lentibulariaceae,,Pinguicula,,"crenatiloba",,"","A.DC.",Accepted,,M,WCSP (in review),,526437-1,"Prodr.","8: 30","","1844",
kew-2532301,A,Lentibulariaceae,,Pinguicula,,"crystallina",,"","Sm.",Unresolved,,L,WCSP (in review),,526438-1,"Fl. Graec.","1: 11","","1806",
kew-2532299,A,Lentibulariaceae,,Pinguicula,,"cubensis",,"","Urquiola & Casper",Unresolved,,L,WCSP (in review),,70029227-1,"Willdenowia","33: 170","","2003",
tro-50107850,A,Lentibulariaceae,,Pinguicula,,"cyclosecta",,"","Casper",Accepted,,M,TRO,50107850,196867-2,"Feddes Repert. Spec. Nov. Regni Veg.","67(1–3): 11–12","11","1963",
kew-2532332,A,Lentibulariaceae,,Pinguicula,,"daurica",,"","Pall. ex Link",Unresolved,,L,WCSP (in review),,526440-1,"Jahrb. Gewächsk.","1(3): 54","","1820",
kew-2532309,A,Lentibulariaceae,,Pinguicula,,"davurica",,"","Schult.",Unresolved,,L,WCSP (in review),,526441-1,"Mant.","1: 373","","1822",
tro-50337562,A,Lentibulariaceae,,Pinguicula,,"debbertiana",,"","Speta & F. Fuchs",Accepted,,M,TRO,50337562,961415-1,"Linzer Biol. Beitr.","24(1): 375","375","1992",
kew-2532339,A,Lentibulariaceae,,Pinguicula,,"dertosensis",,"","(Cañig.) Mateo & M.B.Crespo",Unresolved,,L,WCSP (in review),,988994-1,"Fl. Abrev. Comun. Valenciana","430","","1995",
tro-50319895,A,Lentibulariaceae,,Pinguicula,,"diversifolia",,"","Cuatrec.",Accepted,,M,TRO,50319895,196868-2,"Caldasia","3: 430, f. 2","430","1945",
kew-2532337,A,Lentibulariaceae,,Pinguicula,,"edentula",,"","Hook.",Unresolved,,L,WCSP (in review),,526443-1,"Exot. Fl.","1: t. 16","","1822",
tro-50337563,A,Lentibulariaceae,,Pinguicula,,"ehlersiae",,"","Speta & F. Fuchs",Accepted,,M,TRO,50337563,928596-1,"Stapfia","10: 114","114","1982",
tro-50069785,A,Lentibulariaceae,,Pinguicula,,"elatior",,"","Michx.",Synonym,,M,TRO,50069785,30254053-2,"Fl. Bor.-Amer.","1: 11","11","1803",tro-100353960
kew-2532334,A,Lentibulariaceae,,Pinguicula,,"eliae",,"","Sennen",Unresolved,,L,WCSP (in review),,526445-1,"Bol. Soc. Ibér. Ci. Nat.","35: 21","","1936",
tro-50149771,A,Lentibulariaceae,,Pinguicula,,"elizabethiae",,"","Zamudio",Accepted,,M,TRO,50149771,1009200-1,"Acta Bot. Mex.","47: 16–22, f. 1, 2A–D","16","1999",
kew-2532320,A,Lentibulariaceae,,Pinguicula,,"elongata",,"","Benj.",Accepted,,M,WCSP (in review),,526446-1,"Linnaea","20: 318","","1847",
tro-50147868,A,Lentibulariaceae,,Pinguicula,,"emarginata",,"","Zamudio & Rzed.",Accepted,,M,TRO,50147868,,"Phytologia","60(4): 258–260, f. 2","258","1986",
tro-50173433,A,Lentibulariaceae,,Pinguicula,,"esseriana",,"","B. Kirchn.",Accepted,,M,TRO,50173433,196870-2,"Willdenowia","11(2): 317–319, f. 1","317","1981",
kew-2532329,A,Lentibulariaceae,,Pinguicula,,"filifolia",,"","C.Wright ex Griseb.",Unresolved,,L,WCSP (in review),,526447-1,"Cat. Pl. Cub.","162","","1866",
