ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
ild-14713,A,Leguminosae,,Piptadenia,,"adiantoides",,"","(Spreng.) J.F.Macbr.",Accepted,,H,ILDIS,14713,1190017-2,"","","","",
ild-27849,A,Leguminosae,,Piptadenia,,"adiantoides",var.,"peruviana","J.F.Macbr.",Synonym,,L,ILDIS,27849,,"","","","",ild-25603
ild-21239,A,Leguminosae,,Piptadenia,,"affinis",,"","Burkart",Accepted,,H,ILDIS,21239,,"","","","",
ild-152,A,Leguminosae,,Piptadenia,,"africana",,"","Hook.f.",Synonym,,H,ILDIS,152,,"","","","",ild-151
kew-2544021,A,Leguminosae,,Piptadenia,,"amazonica",,"","Ducke",Unresolved,,L,WCSP (in review),,199621-2,"Arch. Jard. Bot. Rio de Janeiro","1: 17","","1915",
ild-30817,A,Leguminosae,,Piptadenia,,"anolidurus",,"","Barneby",Accepted,,H,ILDIS,30817,,"","","","",
ild-10,A,Leguminosae,,Piptadenia,,"aubrevillei",,"","Pellegr.",Synonym,,H,ILDIS,10,,"","","","",ild-126
tro-13071156,A,Leguminosae,,Piptadenia,,"belini",,"","Capuron",Synonym,,M,TRO,13071156,,"","","","",ild-39680
tro-13057265,A,Leguminosae,,Piptadenia,,"bequaerti",,"","De Wild.",Unresolved,,L,TRO,13057265,,"Ann. Soc. Sc. Brux.","44(1): 216","216","1925",
ild-22747,A,Leguminosae,,Piptadenia,,"biuncifera",,"","Benth.",Synonym,,H,ILDIS,22747,,"","","","",ild-20299
ild-23567,A,Leguminosae,,Piptadenia,,"blanchetii",,"","Benth.",Synonym,,H,ILDIS,23567,1209405-2,"","","","",ild-21231
ild-42470,A,Leguminosae,,Piptadenia,,"boiviniana",,"","Baill.",Synonym,,H,ILDIS,42470,,"","","","",ild-65
tro-13031771,A,Leguminosae,,Piptadenia,,"boliviana",,"","Benth.",Accepted,,M,TRO,13031771,514358-1,"Trans. Linn. Soc. London","30(3): 370","370","1875",
ild-131,A,Leguminosae,,Piptadenia,,"buchananii",,"","Baker",Synonym,,H,ILDIS,131,,"","","","",ild-130
tro-13057248,A,Leguminosae,,Piptadenia,,"buchananii",,"","Baker f.",Synonym,,M,TRO,13057248,514359-1,"Bull. Misc. Inform. Kew","1894: 354","354","1894",ild-130
ild-30818,A,Leguminosae,,Piptadenia,,"buchtienii",,"","Barneby",Accepted,,H,ILDIS,30818,,"","","","",
ild-14025,A,Leguminosae,,Piptadenia,,"catenaeformis",,"","Ducke",Synonym,,H,ILDIS,14025,,"","","","",ild-33028
tro-13012455,A,Leguminosae,,Piptadenia,,"cateniformis",,"","Ducke",Synonym,,M,TRO,13012455,311731-2,"Arch. Jard. Bot. Rio de Janeiro","1(1): 17, pl. 5–6","17","1915",ild-33028
ild-29359,A,Leguminosae,,Piptadenia,,"cebil",,"","(Griseb.) Griseb.",Synonym,,H,ILDIS,29359,199625-2,"","","","",ild-33897
tro-13057257,A,Leguminosae,,Piptadenia,,"chevalieri",,"","Harms",Synonym,,M,TRO,13057257,514362-1,"J. Bot.","22: 112","112","1909",ild-175
tro-13031772,A,Leguminosae,,Piptadenia,,"chrysostachys",,"","(Benth.) Benth.",Accepted,,M,TRO,13031772,514363-1,"Trans. Linn. Soc. London","30(3): 368","368","1875",
ild-187,A,Leguminosae,,Piptadenia,,"claessensii",,"","De Wild.",Synonym,,H,ILDIS,187,,"","","","",ild-171
