ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35186990,B,Geocalycaceae,,Plagiochila,,"abdita",,"","Sull.",Synonym,,M,TRO,35186990,,"Hooker's J. Bot. Kew Gard. Misc.","2: 317","317","1850",tro-35203574
tro-35213638,B,Plagiochilaceae,,Plagiochila,,"abietina",,"","(Nees) Nees & Mont.",Accepted,,M,TRO,35213638,,"Voy. Amér. Mérid., Bot.","81","81","1839",
tro-35187581,B,Plagiochilaceae,,Plagiochila,,"acanthoda",,"","Lindenb. & Gottsche",Accepted,,M,TRO,35187581,,"Hedwigia","","","1847",
tro-35185706,B,Plagiochilaceae,,Plagiochila,,"acanthophylla",,"","Gottsche",Accepted,,M,TRO,35185706,,"Bot. Zeitung (Berlin)","16, Beil.: 37","37","1858",
tro-35201753,B,Plagiochilaceae,,Plagiochila,,"acanthophylla",subsp.,"ciliigera","(R.M. Schust.) R.M. Schust.",Accepted,,L,TRO,35201753,,"Hepat. Anthocerotae N. Amer.","4: 435","435","1980",
tro-35213354,B,Plagiochilaceae,,Plagiochila,,"acicularis",,"","Herzog",Synonym,,M,TRO,35213354,,"Memoranda Soc. Fauna Fl. Fenn.","26: 40. f. 24","40","1950",tro-35213355
tro-35187520,B,Plagiochilaceae,,Plagiochila,,"adianthoides",,"","(Sw.) Lindenb.",Accepted,,M,TRO,35187520,,"Sp. Hepat.","fasc. 2–3: 77","77","1840",
tro-35209962,B,Plagiochilaceae,,Plagiochila,,"aequidentata",,"","Stephani",Accepted,,M,TRO,35209962,,"Sp. Hepat.","5:","","1917",
tro-35206455,B,Plagiochilaceae,,Plagiochila,,"aequifolia",,"","Stephani",Unresolved,,L,TRO,35206455,,"Sp. Hepat.","2: 227.","227","1902",
tro-35187521,B,Plagiochilaceae,,Plagiochila,,"aerea",,"","Taylor",Accepted,,M,TRO,35187521,,"London J. Bot.","5: 263","263","1846",
tro-35214673,B,Scapaniaceae,,Plagiochila,,"affinis",,"","Ångström",Synonym,,M,TRO,35214673,,"Disp. Musc. Scand.","12","12","1842",tro-35214674
tro-35202059,B,Plagiochilaceae,,Plagiochila,,"akiyamae",,"","Inoue",Accepted,,M,TRO,35202059,,"Bull. Natl. Sci. Mus., Tokyo, B","12: 73. f. 1","73","1986",
tro-35190045,B,Plagiochilaceae,,Plagiochila,,"alaskana",,"","A. Evans",Synonym,,M,TRO,35190045,,"Bull. Torrey Bot. Club","41: 590","590","1915",tro-35185758
tro-35207393,B,Plagiochilaceae,,Plagiochila,,"alata",,"","Inoue",Unresolved,,L,TRO,35207393,,"Bull. Natl. Sci. Mus.","8: 383","383","1965",
tro-35206180,B,Plagiochilaceae,,Plagiochila,,"alberti",,"","Steph.",Accepted,,M,TRO,35206180,,"Biblioth. Bot.","87: 188. f. 106: a","188","1916",
tro-35187557,B,Plagiochilaceae,,Plagiochila,,"aliena",,"","Gottsche",Accepted,,M,TRO,35187557,,"Sp. Hepat.","","","1863",
