ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35129893,B,Brachytheciaceae,,Platyhypnidium,,"afrorusciforme",,"","(Broth.) M. Fleisch.",Accepted,,M,TRO,35129893,,"Musci Buitenzorg","4: 1537","1537","1923",
tro-35216703,B,Brachytheciaceae,,Platyhypnidium,,"alopecuroides",,"","(Brid.) Koperski & Sauer, M.",Accepted,,M,TRO,35216703,,"Schriftenreihe Vegetationsk.","34: 387","387","2000",
tro-35129894,B,Brachytheciaceae,,Platyhypnidium,,"aquaticum",,"","(A. Jaeger) M. Fleisch.",Accepted,,M,TRO,35129894,,"Musci Buitenzorg","4: 1537","1537","1923",
tro-35129895,B,Brachytheciaceae,,Platyhypnidium,,"austrinum",,"","(Hook. f. & Wilson) M. Fleisch.",Accepted,,M,TRO,35129895,,"Musci Buitenzorg","4: 1537,","1537,","1923",
tro-35129896,B,Brachytheciaceae,,Platyhypnidium,,"brotheri",,"","(Paris) Wijk & Margad.",Accepted,,M,TRO,35129896,,"Taxon","9: 52","52","1960",
tro-35129897,B,Brachytheciaceae,,Platyhypnidium,,"circulifolium",,"","M. Fleisch.",Unresolved,,L,TRO,35129897,,"Musci Buitenzorg","4: 1537","1537","1923",
tro-35129898,B,Brachytheciaceae,,Platyhypnidium,,"delicatulum",,"","Sakurai",Synonym,,M,TRO,35129898,,"Bot. Mag. (Tokyo)","46: 380","380","1932",tro-35129917
tro-35129899,B,Brachytheciaceae,,Platyhypnidium,,"esquirolii",,"","(Cardot & Thér.) Broth.",Accepted,,M,TRO,35129899,,"Nat. Pflanzenfam. (ed. 2)","11: 347","347","1925",
tro-35204791,B,Brachytheciaceae,,Platyhypnidium,,"grolleanum",,"","Ochyra & Bednarek-Ochyra",Accepted,,M,TRO,35204791,,"Haussknechtia Beih.","9: 259. f. 1–2","259","1999",
tro-35184196,B,Brachytheciaceae,,Platyhypnidium,,"hedbergii",,"","(P. de la Varde) Ochyra & Sharp",Accepted,,M,TRO,35184196,,"J. Hattori Bot. Lab.","65: 363","636","1988",
tro-35129901,B,Brachytheciaceae,,Platyhypnidium,,"intermedium",,"","Herzog",Accepted,,M,TRO,35129901,,"Hedwigia","67: 258","258","1927",
tro-35129903,B,Brachytheciaceae,,Platyhypnidium,,"longirameum",,"","(Müll. Hal.) M. Fleisch.",Synonym,,M,TRO,35129903,,"Musci Buitenzorg","4: 1537","1537","1923",tro-35213979
tro-35204793,B,Brachytheciaceae,,Platyhypnidium,,"lusitanicum",,"","(Schimp.) Ochyra & Bednarek-Ochyra",Accepted,,M,TRO,35204793,,"Haussknechtia Beih.","9: 263","263","1999",
tro-35129904,B,Brachytheciaceae,,Platyhypnidium,,"mac-owanianum",,"","(Paris) M. Fleisch.",Accepted,,M,TRO,35129904,,"Musci Buitenzorg","4: 1537","1537","1923",
tro-35129905,B,Brachytheciaceae,,Platyhypnidium,,"malacocladum",,"","(Cardot) Broth.",Accepted,,M,TRO,35129905,,"Nat. Pflanzenfam. (ed. 2)","11: 347","347","1925",
tro-35129906,B,Brachytheciaceae,,Platyhypnidium,,"microrusciforme",,"","(Müll. Hal.) M. Fleisch.",Synonym,,M,TRO,35129906,,"Musci Buitenzorg","4: 1537","1537","1923",tro-35114362
