ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-50149014,A,Leguminosae,,Podocarpium,,"densum",,"","(C. Chen & X.J. Cui) P.H. Huang",Synonym,,M,TRO,50149014,1007342-1,"Bull. Bot. Res., Harbin","18(1): 6","6","1998",tro-50175440
ild-44238,A,Leguminosae,,Podocarpium,,"duclouxii",,"","(Pamp.) Y.C.Yang & P.H.Huang",Synonym,,L,ILDIS,44238,,"","","","",ild-44237
tro-13067081,A,Leguminosae,,Podocarpium,,"duclouxii",,"","(Pamp.) Yen C. Yang & P.H. Huang",Accepted,,M,TRO,13067081,515430-1,"Bull. Bot. Lab. N.-E. Forest. Inst., Harbin","4: 12","12","1979",
ild-38681,A,Leguminosae,,Podocarpium,,"fallax",,"","(Schindl.) C.Chen & X.J.Cui",Synonym,,H,ILDIS,38681,,"","","","",ild-51709
tro-50120250,A,Leguminosae,,Podocarpium,,"fallax",var.,"densum","C. Chen & X.J. Cui",Synonym,,L,TRO,50120250,949917-1,"Acta Bot. Yunnan.","9(3): 306–307","306","1987",tro-50175440
tro-50255814,A,Leguminosae,,Podocarpium,,"lancangense",,"","Y.Y. Qian",Synonym,,M,TRO,50255814,70029748-1,"Bull. Bot. Res., Harbin","23: 131","131","2003",tro-50255813
ild-38641,A,Leguminosae,,Podocarpium,,"laxum",,"","(DC.) Y.C.Yang & P.H.Huang",Synonym,,H,ILDIS,38641,,"","","","",ild-51718
tro-13067072,A,Leguminosae,,Podocarpium,,"laxum",,"","(DC.) Yen C. Yang & P.H. Huang",Accepted,,M,TRO,13067072,515431-1,"Bull. Bot. Lab. N.-E. Forest. Inst., Harbin","4: 7","7","1979",
ild-38657,A,Leguminosae,,Podocarpium,,"laxum",var.,"laterale","(Schindl.) Y.C.Yang & P.H.Huang",Synonym,,L,ILDIS,38657,,"","","","",ild-51711
tro-13067073,A,Leguminosae,,Podocarpium,,"laxum",var.,"laterale","(Schindl.) Yen C. Yang & P.H. Huang",Accepted,,L,TRO,13067073,885722-1,"Bull. Bot. Lab. N.-E. Forest. Inst., Harbin","4: 7","7","1979",
tro-50059342,A,Leguminosae,,Podocarpium,,"laxum",var.,"laxum","",Synonym,,L,TRO,50059342,,"","","","",tro-13067072
ild-38662,A,Leguminosae,,Podocarpium,,"leptopus",,"","(Benth.) Y.C.Yang & P.H.Huang",Synonym,,H,ILDIS,38662,,"","","","",ild-51717
tro-13067071,A,Leguminosae,,Podocarpium,,"leptopus",,"","(A. Gray ex Benth.) Yen C. Yang & P.H. Huang",Accepted,,M,TRO,13067071,515432-1,"Bull. Bot. Lab. N.-E. Forest. Inst., Harbin","4: 6","6","1979",
tro-100356169,A,Leguminosae,,Podocarpium,,"mandshuricum",,"","(Maxim.) Czerep.",Synonym,,M,TRO,100356169,,"","","","",tro-50175456
tro-50120249,A,Leguminosae,,Podocarpium,,"menglaense",,"","C. Chen & X.J. Cui",Synonym,,M,TRO,50120249,932611-1,"Acta Bot. Yunnan.","9(3): 305–306, pl. 1","305","1987",tro-50175448
ild-44231,A,Leguminosae,,Podocarpium,,"oldhami",,"","(Oliv.) Y.C.Yang & P.H.Huang",Synonym,Spelling variant,H,ILDIS,44231,,"","","","",ild-38663
ild-38664,A,Leguminosae,,Podocarpium,,"oldhamii",,"","(Oliv.) Y.C.Yang & P.H.Huang",Synonym,,H,ILDIS,38664,,"","","","",ild-38663
tro-13067070,A,Leguminosae,,Podocarpium,,"oldhamii",,"","(Oliv.) Yen C. Yang & P.H. Huang",Accepted,,M,TRO,13067070,515433-1,"Bull. Bot. Lab. N.-E. Forest. Inst., Harbin","4: 6","6","1979",
ild-38675,A,Leguminosae,,Podocarpium,,"podocarpum",,"","(DC.) Y.C.Yang & P.H.Huang",Synonym,,H,ILDIS,38675,,"","","","",ild-51716
tro-13067074,A,Leguminosae,,Podocarpium,,"podocarpum",,"","(DC.) Yen C. Yang & P.H. Huang",Accepted,,M,TRO,13067074,515434-1,"Bull. Bot. Lab. N.-E. Forest. Inst., Harbin","4: 7–8","7","1979",
ild-38694,A,Leguminosae,,Podocarpium,,"podocarpum",var.,"fallax","(Schindl.) Y.C.Yang & P.H.Huang",Synonym,,L,ILDIS,38694,,"","","","",ild-51709
tro-13067075,A,Leguminosae,,Podocarpium,,"podocarpum",var.,"fallax","(Schindl.) Yen C. Yang & P.H. Huang",Accepted,,L,TRO,13067075,885723-1,"Bull. Bot. Lab. N.-E. Forest. Inst., Harbin","4: 8","8","1979",
ild-52291,A,Leguminosae,,Podocarpium,,"podocarpum",var.,"japonicum","(Matsum.) P.H.Huang",Synonym,,L,ILDIS,52291,,"","","","",ild-51719
tro-50149015,A,Leguminosae,,Podocarpium,,"podocarpum",var.,"mandshuricum","(Maxim.) P.H. Huang",Synonym,,L,TRO,50149015,1007343-1,"Bull. Bot. Res., Harbin","18(1): 6","6","1998",tro-50175456
ild-38690,A,Leguminosae,,Podocarpium,,"podocarpum",var.,"oxyphyllum","(DC.) Y.C.Yang & P.H.Huang",Synonym,,L,ILDIS,38690,,"","","","",ild-51719
tro-50059343,A,Leguminosae,,Podocarpium,,"podocarpum",var.,"podocarpum","",Synonym,,L,TRO,50059343,,"","","","",tro-13067074
ild-44234,A,Leguminosae,,Podocarpium,,"podocarpum",var.,"szechuenense","(Craib) Y.C.Yang & P.H.Huang",Synonym,,L,ILDIS,44234,,"","","","",ild-51710
tro-13067079,A,Leguminosae,,Podocarpium,,"podocarpum",var.,"szechuenense","(W. G. Craib) Yen C. Yang & P.H. Huang",Accepted,,L,TRO,13067079,885725-1,"Bull. Bot. Lab. N.-E. Forest. Inst., Harbin","4: 10","10","1979",
ild-44241,A,Leguminosae,,Podocarpium,,"repandum",,"","(Vahl) Y.C.Yang & P.H.Huang",Synonym,,H,ILDIS,44241,,"","","","",ild-51721
tro-13067082,A,Leguminosae,,Podocarpium,,"repandum",,"","(Vahl) Yen C. Yang & P.H. Huang",Accepted,,M,TRO,13067082,515435-1,"Bull. Bot. Lab. N.-E. Forest. Inst., Harbin","4: 13","13","1979",
ild-44244,A,Leguminosae,,Podocarpium,,"williamsii",,"","(Ohashi) Y.C.Yang & P.H.Huang",Synonym,,H,ILDIS,44244,,"","","","",ild-51048
tro-13067083,A,Leguminosae,,Podocarpium,,"williamsii",,"","(H. Ohashi) Yen C. Yang & P.H. Huang",Accepted,,M,TRO,13067083,515436-1,"Bull. Bot. Lab. N.-E. Forest. Inst., Harbin","4: 13","13","1979",
