ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35169086,B,Polytrichaceae,,Polytrichastrum,,"alpiniforme",,"","(Cardot) G.L. Sm.",Accepted,,M,TRO,35169086,,"Mem. New York Bot. Gard.","21(3): 37","37","1971",
tro-35169087,B,Polytrichaceae,,Polytrichastrum,,"alpinum",,"","(Hedw.) G.L. Sm.",Accepted,,M,TRO,35169087,,"Mem. New York Bot. Gard.","21(3): 37","37","1971",
tro-35183962,B,Polytrichaceae,,Polytrichastrum,,"alpinum",var.,"alpinum","",Synonym,,L,TRO,35183962,,"","","","",tro-35169087
tro-35182655,B,Polytrichaceae,,Polytrichastrum,,"alpinum",var.,"fragile","(Bryhn) D.G. Long",Accepted,,L,TRO,35182655,,"Meddel. Grønland, Biosci.","17: 30","30","1985",
tro-35169088,B,Polytrichaceae,,Polytrichastrum,,"alpinum",var.,"septentrionale","(Brid.) G.L. Sm.",Accepted,,L,TRO,35169088,,"Mem. New York Bot. Gard.","21(3): 37","37","1971",
tro-35216887,B,Polytrichaceae,,Polytrichastrum,,"alpinum",var.,"sylvaticum","(Menzies) G.L. Merr.",Accepted,,L,TRO,35216887,,"Sida","22: 547","547","2006",
tro-35190475,B,Polytrichaceae,,Polytrichastrum,,"altaicum",,"","Ignatov & G.L. Merr.",Accepted,,M,TRO,35190475,,"Arctoa","5: 76. f. 29","76","1995",
tro-35186496,B,Polytrichaceae,,Polytrichastrum,,"appalachianum",,"","(L.E. Anderson) G.L. Merr.",Accepted,,M,TRO,35186496,,"Bryologist","95: 271","271","1992",
tro-35141012,B,Polytrichaceae,,Polytrichastrum,,"emodi",,"","G.L. Sm.",Accepted,,M,TRO,35141012,,"J. Hattori Bot. Lab.","38: 633. f. 1–11","633","1974",
tro-35169089,B,Polytrichaceae,,Polytrichastrum,,"formosum",,"","(Hedw.) G.L. Sm.",Accepted,,M,TRO,35169089,,"Mem. New York Bot. Gard.","21(3): 37","37","1971",
tro-35169694,B,Polytrichaceae,,Polytrichastrum,,"formosum",var.,"densifolium","(Wilson ex Mitt.) Z. Iwats. & Nog.",Accepted,,L,TRO,35169694,,"J. Hattori Bot. Lab.","37: 389","389","1973",
tro-35205827,B,Polytrichaceae,,Polytrichastrum,,"formosum",var.,"formosum","",Synonym,,L,TRO,35205827,,"","","","",tro-35169089
tro-35169695,B,Polytrichaceae,,Polytrichastrum,,"formosum",var.,"intersedens","(Cardot) Z. Iwats. & Nog.",Accepted,,L,TRO,35169695,,"J. Hattori Bot. Lab.","37: 389","389","1973",
tro-35100266,B,Polytrichaceae,,Polytrichastrum,,"fragile",,"","(Bryhn) Schljakov",Synonym,,M,TRO,35100266,,"Novosti Syst. Niza. Rast.","19: 209","209","1982",tro-35169087
tro-35100267,B,Polytrichaceae,,Polytrichastrum,,"longisetum",,"","(Sw. ex Brid.) G.L. Sm.",Accepted,,M,TRO,35100267,,"Mem. New York Bot. Gard.","21(3): 35","35","1971",
tro-35190474,B,Polytrichaceae,,Polytrichastrum,,"longisetum",var.,"anomalum","(Milde) Ignatov & G.L. Merr.",Accepted,,L,TRO,35190474,,"Arctoa","5: 71","71","1995",
tro-35169091,B,Polytrichaceae,,Polytrichastrum,,"lyallii",,"","(Mitt.) G.L. Sm.",Synonym,,M,TRO,35169091,,"Mem. New York Bot. Gard.","21(3): 40","40","1971",tro-35186497
tro-35100269,B,Polytrichaceae,,Polytrichastrum,,"norwegicum",,"","(Hedw.) Schljakov",Accepted,,M,TRO,35100269,,"Novosti Syst. Niza. Rast.","19: 210","210","1982",
tro-35169092,B,Polytrichaceae,,Polytrichastrum,,"ohioense",,"","(Renauld & Cardot) G.L. Sm.",Accepted,,M,TRO,35169092,,"Mem. New York Bot. Gard.","21(3): 35","35","1971",
tro-35169093,B,Polytrichaceae,,Polytrichastrum,,"pallidisetum",,"","(Funck) G.L. Sm.",Accepted,,M,TRO,35169093,,"Mem. New York Bot. Gard.","21(3): 35","35","1971",
tro-35141013,B,Polytrichaceae,,Polytrichastrum,,"papillatum",,"","G.L. Sm.",Accepted,,M,TRO,35141013,,"J. Hattori Bot. Lab.","38: 633. f. 12–24","633","1974",
tro-35169094,B,Polytrichaceae,,Polytrichastrum,,"sexangulare",,"","(Flörke ex Brid.) G.L. Sm.",Accepted,,M,TRO,35169094,,"Mem. New York Bot. Gard.","21(3): 37","37","1971",
tro-35216828,B,Polytrichaceae,,Polytrichastrum,,"sexangulare",var.,"sexangulare","",Synonym,,L,TRO,35216828,,"","","","",tro-35169094
tro-35186494,B,Polytrichaceae,,Polytrichastrum,,"sexangulare",var.,"vulcanicum","(C.E.O. Jensen) G.L. Merr.",Accepted,,L,TRO,35186494,,"Bryologist","95: 270","270","1992",
tro-35204845,B,Polytrichaceae,,Polytrichastrum,,"sphaerothecium",,"","(Besch.) J.-P. Frahm",Accepted,,M,TRO,35204845,,"Kleine Kryptogamenfl. (ed. 6)","4: 142","142","1995",
tro-35141014,B,Polytrichaceae,,Polytrichastrum,,"tenellum",,"","(Müll. Hal.) G.L. Sm.",Accepted,,M,TRO,35141014,,"Bryologist","78: 201","201","1975",
tro-35141015,B,Polytrichaceae,,Polytrichastrum,,"torquatum",,"","Mitt. ex Osada & G.L. Sm.",Accepted,,M,TRO,35141015,,"J. Hattori Bot. Lab.","38: 636. f. 25–36","636","1974",
tro-35169095,B,Polytrichaceae,,Polytrichastrum,,"xanthopilum",,"","(Wilson ex Mitt.) G.L. Sm.",Accepted,,M,TRO,35169095,,"Mem. New York Bot. Gard.","21(3): 35","35","1971",
