ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-163195,A,Rubiaceae,,Pomazota,,"assimilis",,"","Bremek.",Unresolved,,L,WCSP,163195,760929-1,"J. Arnold Arbor.","28: 198","","1947",
kew-163196,A,Rubiaceae,,Pomazota,,"batuensis",,"","Bremek.",Unresolved,,L,WCSP,163196,760930-1,"J. Arnold Arbor.","28: 203","","1947",
kew-163197,A,Rubiaceae,,Pomazota,,"bracteata",,"","(Korth.) Bremek.",Synonym,,H,WCSP,163197,760931-1,"J. Arnold Arbor.","28: 203","","1947",kew-46985
kew-163198,A,Rubiaceae,,Pomazota,,"capitata",,"","(Miq.) Bremek.",Synonym,,H,WCSP,163198,760932-1,"J. Arnold Arbor.","28: 199","","1947",kew-46986
kew-163199,A,Rubiaceae,,Pomazota,,"fulva",,"","(Zoll. & Moritzi) Bakh.f.",Synonym,,H,WCSP,163199,760933-1,"Blumea","7: 334","","1953",kew-46987
kew-163200,A,Rubiaceae,,Pomazota,,"involucrata",,"","Merr.",Synonym,,L,WCSP,163200,760934-1,"Mitt. Inst. Allg. Bot. Hamburg","7: 274","","1937",kew-163203
kew-163201,A,Rubiaceae,,Pomazota,,"pilosa",,"","(Miq.) Bremek.",Synonym,,H,WCSP,163201,760935-1,"J. Arnold Arbor.","28: 200","","1947",kew-46987
kew-163202,A,Rubiaceae,,Pomazota,,"reptans",,"","Backer ex Bremek.",Synonym,,H,WCSP,163202,760936-1,"J. Arnold Arbor.","28: 196","","1947",kew-46990
kew-163203,A,Rubiaceae,,Pomazota,,"rivularis",,"","M.R.Hend.",Unresolved,,L,WCSP,163203,760937-1,"Gard. Bull. Straits Settlem.","4: 411","","1929",
kew-163204,A,Rubiaceae,,Pomazota,,"scabiosiflora",,"","Bremek.",Unresolved,,L,WCSP,163204,760938-1,"J. Arnold Arbor.","28: 202","","1947",
kew-163205,A,Rubiaceae,,Pomazota,,"simalurensis",,"","Bremek.",Synonym,,H,WCSP,163205,760939-1,"J. Arnold Arbor.","28: 197","","1947",kew-274353
kew-163206,A,Rubiaceae,,Pomazota,,"sylvestris",,"","Ridl.",Synonym,,H,WCSP,163206,760940-1,"Trans. Linn. Soc. London, Bot.","3: 308","","1893",kew-46991
kew-163207,A,Rubiaceae,,Pomazota,,"vanleeuwenii",,"","Bremek.",Synonym,,H,WCSP,163207,760941-1,"J. Arnold Arbor.","28: 197","","1947",kew-274354
