ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
gcc-110823,A,Compositae,,Praxelis,,"asperulacea",,"","(Baker) R.M.King & H.Rob.",Accepted,,M,TICA,CFF866AE-4AAF-44D2-AA9C-B1C2C6A2556F,209977-2,"","","194","1970",
gcc-50797,A,Compositae,,Praxelis,,"basifolia",,"","(Malme) R.M.King & H.Rob.",Accepted,,M,TICA,CA700B5C-477B-4B38-95E1-5E389B89A943,209978-2,"","","194","1970",
gcc-85542,A,Compositae,,Praxelis,,"capillaris",,"","(DC.) Sch.Bip.",Accepted,,M,TICA,8DEF1B43-94A2-469F-8497-78E8FD9F115C,239393-1,"in Pollichia xxii-xxiv. (1866) 254.","","254","1866",
gcc-79273,A,Compositae,,Praxelis,,"chiquitensis",,"","(B.L.Rob.) R.M.King & H.Rob.",Accepted,,M,TICA,A95B9872-4817-4EBF-B14F-6B101E04A33C,209979-2,"","","458","1977",
gcc-15687,A,Compositae,,Praxelis,,"clematidea",,"","(Griseb.) R.M.King & H.Rob.",Accepted,,M,TICA,44E7E2B7-4F33-4A61-BE68-1D0CDD2FF0EE,209980-2,"Phytologia 20: 194 (1970)","","194","1970",
gcc-12339,A,Compositae,,Praxelis,,"conoclinanthia",,"","(Hieron.) R.M.King & H.Rob.",Accepted,,M,TICA,393AC748-4092-442C-8E12-16FF917D011C,209981-2,"","","194","1970",
gcc-96701,A,Compositae,,Praxelis,,"diffusa",,"","(Rich.) Pruski",Accepted,,M,TICA,3827150A-7424-4701-B9B3-9230DF5D0BE1,1195112-2,"","","475","1998",
gcc-118594,A,Compositae,,Praxelis,,"grandiflora",,"","(DC.) Sch.Bip.",Accepted,,M,TICA,57E13D69-F807-4232-BD66-C358231267C3,,"","","254","1866",
gcc-78715,A,Compositae,,Praxelis,,"grandiflora",,"","(DC.) R.M.King & H.Rob.",Synonym,Illegitimate,M,TICA,70363547-BA80-4285-8409-69C416F7581D,209982-2,"","","194","1970",gcc-118594
gcc-41362,A,Compositae,,Praxelis,,"grandifolium",,"","Sch.",Unresolved,,L,TICA,C0CBF34D-1554-4384-B449-4C9CF3BAC887,239398-1,"in Pollichia xxii-xxiv. (1866) 254.","","xxii-xxiv.  254","1866",
gcc-102000,A,Compositae,,Praxelis,,"hecatantha",,"","Sch.Bip.",Unresolved,,L,TICA,64F9B79C-CFF1-470B-99DD-9E0F4BBD09CA,209983-2,"","","","",
gcc-86999,A,Compositae,,Praxelis,,"hecatantha",,"","Sch.Bip. ex Baker",Synonym,Illegitimate,M,TICA,A8E66E73-622E-4BF3-81B2-7C3B1264C083,,"Fl. Bras. (Martius) 6(2): 343","","343","1876",gcc-129310
gcc-145633,A,Compositae,,Praxelis,,"insignia",,"","(Malme) R.M.King & H.Rob.",Accepted,,M,TICA,D434F12A-C8D5-4DB6-AE61-07BD2D1F0D36,209984-2,"Phytologia 20: 195. 1970.","","195","1970",
gcc-10144,A,Compositae,,Praxelis,,"insignis",,"","(Malme) R.M.King & H.Rob.",Accepted,,M,TICA,F52F634B-B47D-49BE-A89B-12F95B266E98,209984-2,"","","195","1970",
gcc-119889,A,Compositae,,Praxelis,,"karuaiensis",,"","(V.M.Badillo) R.M.King & H.Rob.",Accepted,,M,TICA,2362B2C2-4431-46FB-9A93-C633E0E82F89,209985-2,"","","195","1970",
gcc-129310,A,Compositae,,Praxelis,,"kleinioides",,"","(Kunth) Sch.Bip.",Accepted,,M,TICA,3EBEE669-C95C-48E3-B468-DBFADD22462D,239402-1,"in Pollichia xxii-xxiv. (1866) 254.","","254","1866",
gcc-115648,A,Compositae,,Praxelis,,"missiona",,"","(Malme) R.M.King & H.Rob.",Accepted,,M,TICA,5553DB00-0217-4A39-9C0C-BCAA502B306D,209986-2,"","","195","1970",
gcc-127576,A,Compositae,,Praxelis,,"odontodactyla",,"","(B.L.Rob.) R.M.King & H.Rob.",Accepted,,M,TICA,546131A6-2CED-4810-B3AC-D7F94A760C3E,209987-2,"","","195","1970",
gcc-30777,A,Compositae,,Praxelis,,"ostenii",,"","(B.L.Rob.) R.M.King & H.Rob.",Accepted,,M,TICA,16D34F0D-AF52-42E1-9829-38F7B1D8DD48,209988-2,"","","195","1970",
gcc-76190,A,Compositae,,Praxelis,,"paucidentata",,"","(DC.) Sch.Bip.",Synonym,,M,TICA,BD2B511D-F1FD-48F8-AC30-6422605E5477,239406-1,"in Pollichia xxii-xxiv. (1866) 254.","","254","1866",gcc-129310
gcc-33836,A,Compositae,,Praxelis,,"pauciflora",,"","(Kunth) R.M.King & H.Rob.",Accepted,,M,TICA,833512F6-A3A6-42C2-906E-3EBE661F74F8,209989-2,"","","195","1970",
gcc-92113,A,Compositae,,Praxelis,,"peduncularis",,"","(DC.) Sch.Bip.",Synonym,,M,TICA,0B5AD681-44F0-4E71-86EA-87E16C8A7457,239408-1,"in Pollichia xxii-xxiv. (1866) 254.","","254","1866",gcc-129310
gcc-40709,A,Compositae,,Praxelis,,"riedelii",,"","Sch.Bip. ex Baker",Synonym,Illegitimate,M,TICA,55B4F053-888F-44D0-B3EB-4B71B2C0C80E,,"Fl. Bras. (Martius) 6(2): 342","","342","1876",gcc-85542
gcc-136443,A,Compositae,,Praxelis,,"sanctopaulensis",,"","(B.L.Rob.) R.M.King & H.Rob.",Accepted,,M,TICA,0C697E4B-14E6-4D7C-9828-EC3C090A4129,283764-2,"Phytologia 65: 488. 1989","","488","1989",
gcc-99202,A,Compositae,,Praxelis,,"sideritis",,"","(DC.) Sch.Bip.",Synonym,,M,TICA,D772FE69-A3CB-4B87-97E9-97D62E93A2D4,239410-1,"in Pollichia xxii-xxiv. (1866) 254.","","254","1866",gcc-129310
gcc-6337,A,Compositae,,Praxelis,,"splettii",,"","H.Rob.",Accepted,,M,TICA,1332204D-3DE1-42D2-8144-0BCBBAA56F85,,"Phytologia 88(2): 148 (-150; fig. 6)","","","2006",
gcc-132384,A,Compositae,,Praxelis,,"villosa",,"","Cass.",Synonym,,M,TICA,DBDA4491-454C-4DEA-83E4-E32645D73289,239411-1,"in Dict. Sci. Nat. xliii. 261.","","261","1826",gcc-96701
