ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-35142861,B,Prionodontaceae,,Prionodon,,"arsenei",,"","Thér.",Synonym,,M,TRO,35142861,,"Smithsonian Misc. Collect.","78(2): 25. 14","25","1926",tro-35142870
tro-35142862,B,Prionodontaceae,,Prionodon,,"auriculatus",,"","Ångström",Synonym,,M,TRO,35142862,,"Öfvers. Förh. Kongl. Svenska Vetensk.-Akad.","33(4): 31, 32","31, 32","1876",tro-35142870
tro-35183426,B,Prionodontaceae,,Prionodon,,"balboi",,"","Tosco & Piovano",Accepted,,M,TRO,35183426,,"Allionia","4: 121. f. 7","121","1956",
tro-35142864,B,Prionodontaceae,,Prionodon,,"bolivianus",,"","Müll. Hal.",Synonym,,M,TRO,35142864,,"Nuovo Giorn. Bot. Ital., n.s.,","4: 146","146","1897",tro-35142895
tro-35142865,B,Prionodontaceae,,Prionodon,,"caldensis",,"","Broth.",Synonym,,M,TRO,35142865,,"Bih. Kongl. Svenska Vetensk.-Akad. Handl.","21 Afd. 3(3): 44","44","1895",tro-35142870
tro-35142866,B,Prionodontaceae,,Prionodon,,"cavifolius",,"","Herzog",Synonym,,M,TRO,35142866,,"Biblioth. Bot.","87: 109","109","1916",tro-35142896
tro-35142867,B,Prionodontaceae,,Prionodon,,"ciliatus",,"","Besch.",Synonym,,M,TRO,35142867,,"Ann. Sci. Nat., Bot., sér. 6,","10: 261","261","1880",tro-35142870
tro-35142868,B,Prionodontaceae,,Prionodon,,"ciliolatoserratus",,"","Herzog",Synonym,,M,TRO,35142868,,"Biblioth. Bot.","87: 109","109","1916",tro-35142870
tro-35142869,B,Prionodontaceae,,Prionodon,,"contortus",,"","Herzog",Accepted,,M,TRO,35142869,,"Biblioth. Bot.","87: 110","110","1916",
tro-35142870,B,Prionodontaceae,,Prionodon,,"densus",,"","(Sw. ex Hedw.) Müll. Hal.",Accepted,,M,TRO,35142870,,"Bot. Zeitung (Berlin)","2: 129. 1","129","1844",
tro-35142871,B,Prionodontaceae,,Prionodon,,"densus",var.,"crispatulus","E.B. Bartram",Synonym,,L,TRO,35142871,,"Contr. U.S. Natl. Herb.","26: 92. f. 29: b–e","92","1928",tro-35142870
tro-35142874,B,Prionodontaceae,,Prionodon,,"dichotomus",,"","Hampe",Synonym,,M,TRO,35142874,,"Linnaea","32: 150","150","1863",tro-35142870
tro-35142875,B,Prionodontaceae,,Prionodon,,"divaricatus",,"","Mitt.",Synonym,,M,TRO,35142875,,"J. Linn. Soc., Bot.","12: 420","420","1869",tro-35142883
tro-35142877,B,Prionodontaceae,,Prionodon,,"elongatus",,"","(Hook. f. & Wilson) A. Jaeger",Accepted,,M,TRO,35142877,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 223 (Gen. Sp. Musc. 2: 127)","223 ","1877",
tro-35142878,B,Prionodontaceae,,Prionodon,,"filifolius",,"","Herzog",Synonym,,M,TRO,35142878,,"Beih. Bot. Centralbl., Abt. 2","26(2): 77","77","1909",tro-35142883
tro-35142879,B,Prionodontaceae,,Prionodon,,"flagellaris",,"","Hampe",Synonym,,M,TRO,35142879,,"Ann. Sci. Nat., Bot., sér. 5,","4: 356","356","1865",tro-35142895
tro-35142882,B,Prionodontaceae,,Prionodon,,"fragilifolius",,"","Broth.",Synonym,,M,TRO,35142882,,"Bot. Jahrb. Syst.","56(Beibl. 123): 17","17","1920",tro-35142883
tro-35142883,B,Prionodontaceae,,Prionodon,,"fuscolutescens",,"","Hampe",Accepted,,M,TRO,35142883,,"Ann. Sci. Nat., Bot., sér. 5,","4: 357","357","1865",
tro-35142884,B,Prionodontaceae,,Prionodon,,"geniculatus",,"","Müll. Hal.",Synonym,,M,TRO,35142884,,"Flora","83: 338","338","1897",tro-35142870
tro-35142885,B,Prionodontaceae,,Prionodon,,"haitensis",,"","Renauld & Cardot",Synonym,,M,TRO,35142885,,"Bull. Soc. Roy. Bot. Belgique","33(2): 125","125","1895",tro-35142870
tro-35142887,B,Prionodontaceae,,Prionodon,,"hoffmannii",,"","Müll. Hal.",Accepted,,M,TRO,35142887,,"Hedwigia","40: 56","56","1901",
tro-35142888,B,Prionodontaceae,,Prionodon,,"jamesonii",,"","Müll. Hal.",Accepted,,M,TRO,35142888,,"Hedwigia","40: 56","56","1901",
tro-35142889,B,Prionodontaceae,,Prionodon,,"kunertii",,"","Müll. Hal.",Synonym,,M,TRO,35142889,,"Hedwigia","40: 55","55","1901",tro-35142870
tro-35142890,B,Prionodontaceae,,Prionodon,,"laeviusculus",,"","Mitt.",Synonym,,M,TRO,35142890,,"J. Linn. Soc., Bot.","12: 419","419","1869",tro-35142895
tro-35142891,B,Prionodontaceae,,Prionodon,,"leucodontoides",,"","Müll. Hal.",Synonym,,M,TRO,35142891,,"Hedwigia","40: 56","56","1901",tro-35142870
tro-35142893,B,Prionodontaceae,,Prionodon,,"longissimus",,"","Renauld & Cardot",Synonym,,M,TRO,35142893,,"Bull. Soc. Roy. Bot. Belgique","32(1): 178","178","1894",tro-35142895
tro-35142895,B,Prionodontaceae,,Prionodon,,"luteovirens",,"","(Taylor) Mitt.",Accepted,,M,TRO,35142895,,"J. Linn. Soc., Bot.","12: 417","417","1869",
tro-35142896,B,Prionodontaceae,,Prionodon,,"lycopodioides",,"","Hampe",Accepted,,M,TRO,35142896,,"Linnaea","32: 150","150","1863",
tro-35142897,B,Prionodontaceae,,Prionodon,,"lycopodium",,"","(Müll. Hal.) A. Jaeger",Synonym,,M,TRO,35142897,,"Ber. Thätigk. St. Gallischen Naturwiss. Ges.","1875–76: 223 (Gen. Sp. Musc. 2: 127)","223 ","1877",tro-35142870
tro-35142898,B,Prionodontaceae,,Prionodon,,"lycopodium",var.,"abbreviatum","Thér.",Synonym,,L,TRO,35142898,,"Rev. Bryol. Lichénol.","9: 27","27","1936",tro-35142870
tro-35142899,B,Prionodontaceae,,Prionodon,,"mexicanus",,"","Thér.",Synonym,,M,TRO,35142899,,"Smithsonian Misc. Collect.","78(2): 24. 13","24","1926",tro-35142870
tro-35142901,B,Prionodontaceae,,Prionodon,,"nitidulus",,"","Broth.",Synonym,,M,TRO,35142901,,"Hedwigia","45: 276","276","1906",tro-35142870
tro-35142902,B,Trachypodaceae,,Prionodon,,"otiophyllus",,"","Cardot",Synonym,,M,TRO,35142902,,"Rev. Bryol.","37: 7","7","1910",tro-35113188
tro-35142903,B,Prionodontaceae,,Prionodon,,"patentissimus",,"","Besch.",Synonym,,M,TRO,35142903,,"Bull. Herb. Boissier","2: 394","394","1894",tro-35142870
tro-35142904,B,Prionodontaceae,,Prionodon,,"pendulus",,"","Herzog",Synonym,,M,TRO,35142904,,"Biblioth. Bot.","87: 110","110","1916",tro-35142895
