ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-19900003,A,Martyniaceae,,Proboscidea,,"altheifolia",,"","(Benth.) Decne.",Accepted,,M,TRO,19900003,,"Ann. Sci. Nat., Bot., sér. 4,","3: 324","324","1865",
tro-19900004,A,Martyniaceae,,Proboscidea,,"arenaria",,"","(Engelm.) Decne.",Accepted,,M,TRO,19900004,675894-1,"Ann. Sci. Nat., Bot., sér. 5,","3: 326","326","1865",
tro-19900040,A,Martyniaceae,,Proboscidea,,"botteri",,"","Decne.",Synonym,,M,TRO,19900040,,"Ann. Sci. Nat., Bot., sér. 5,","3: 327","327","1865",tro-19900022
tro-19900042,A,Martyniaceae,,Proboscidea,,"confusa",,"","Van Eselt.",Synonym,,M,TRO,19900042,210330-2,"Techn. Bull. New York Agric. Exp. Sta., Geneva","149: 13–15, f. 4a–g","13","1929",tro-19900022
kew-2563049,A,Martyniaceae,,Proboscidea,,"cordifolia",,"","Moench",Unresolved,,L,WCSP (in review),,675896-1,"Methodus","466","","1794",kew-2547147
kew-2563027,A,Martyniaceae,,Proboscidea,,"crassibracteata",,"","Correll",Unresolved,,L,WCSP (in review),,210331-2,"Madroño","19: 190","","1968",
tro-19900028,A,Martyniaceae,,Proboscidea,,"diversifolia",,"","Hevly",Synonym,,M,TRO,19900028,,"Brittonia","21(4): 311","311","1969",tro-100001049
tro-50147967,A,Martyniaceae,,Proboscidea,,"fallax",,"","Decne.",Synonym,,M,TRO,50147967,675899-1,"Ann. Sci. Nat., Bot., sér. 5,","3: 325","325","1865",tro-19900005
tro-19900005,A,Martyniaceae,,Proboscidea,,"fragrans",,"","(Lindl.) Decne.",Accepted,,M,TRO,19900005,675900-1,"Ann. Sci. Nat., Bot., sér. 5,","3: 326","326","1865",
tro-50288392,A,Martyniaceae,,Proboscidea,,"gracillima",,"","Hevly",Synonym,,M,TRO,50288392,283780-2,"Madroño","20: 392","392","1971",tro-50288391
tro-50206684,A,Martyniaceae,,Proboscidea,,"jussiaei",,"","Schmidel",Synonym,,M,TRO,50206684,,"Icon. Pl.","49, t. 12–13","49","1763",tro-50327102
kew-2563041,A,Martyniaceae,,Proboscidea,,"jussieui",,"","Steud.",Unresolved,,L,WCSP (in review),,,"Nomencl. Bot.","ed. 2, 2: 397","","1841",kew-2547147
tro-19900006,A,Martyniaceae,,Proboscidea,,"louisiana",,"","(Mill.) Thell.",Accepted,,M,TRO,19900006,565379-1,"Mém. Soc. Sci. Nat. Cherbourg","38: 480","480","1912",
kew-2547147,A,Martyniaceae,,Proboscidea,,"louisianica",,"","(Mill.) Thell.",Accepted,,M,WCSP (in review),,,"Mém. Soc. Sci. Nat. Math. Cherbourg","IV, 38: 480","","1912",
tro-19900019,A,Martyniaceae,,Proboscidea,,"lutea",,"","Stapf",Synonym,,M,TRO,19900019,210337-2,"Nat. Pflanzenfam.","4(3b): 269","269","1895",kew-2859962
tro-19900007,A,Martyniaceae,,Proboscidea,,"parviflora",,"","(Wooton) Wooton & Standl.",Accepted,,M,TRO,19900007,210338-2,"Contr. U.S. Natl. Herb.","19: 602","602","1915",
tro-50288391,A,Martyniaceae,,Proboscidea,,"parviflora",subsp.,"gracillima","(Hevly) Bretting",Accepted,,L,TRO,50288391,283782-2,"SouthW. Naturalist","30(1): 150","150","1985",
tro-50288394,A,Martyniaceae,,Proboscidea,,"parviflora",subsp.,"sinaloensis","(Van Eselt.) Bretting",Accepted,,L,TRO,50288394,283783-2,"SouthW. Naturalist","30: 151","151","1985",
tro-19900025,A,Martyniaceae,,Proboscidea,,"peruviana",,"","Van Eselt.",Synonym,,M,TRO,19900025,210339-2,"Techn. Bull. New York Agric. Exp. Sta., Geneva","149: 17–19, f. 6a–g","17","1929",tro-19900003
tro-19900008,A,Martyniaceae,,Proboscidea,,"sabulosa",,"","Correll",Accepted,,M,TRO,19900008,210340-2,"Rhodora","68(776): 426–428, pl. 1335","426","1966",
tro-19900031,A,Martyniaceae,,Proboscidea,,"sinaloensis",,"","Van Eselt.",Accepted,,M,TRO,19900031,283784-2,"Techn. Bull. New York Agric. Exp. Sta., Geneva","149: 24, f. 9a–f","24","1929",
tro-19900009,A,Martyniaceae,,Proboscidea,,"spicata",,"","Correll",Accepted,,M,TRO,19900009,210342-2,"Wrightia","4(2): 77–78","77","1968",
tro-19900022,A,Martyniaceae,,Proboscidea,,"triloba",,"","(Schltdl. & Cham.) Decne.",Accepted,,M,TRO,19900022,675906-1,"Ann. Sci. Nat., Bot., sér. 5,","3: 326–327","326","1865",
tro-100001049,A,Martyniaceae,,Proboscidea,,"triloba",subsp.,"diversifolia","(Hevly) Bretting",Accepted,,L,TRO,100001049,283785-2,"SouthW. Naturalist","30(1): 150","150","1985",
tro-100001050,A,Martyniaceae,,Proboscidea,,"triloba",subsp.,"triloba","",Synonym,,L,TRO,100001050,,"","","","",tro-19900022
kew-2542920,A,Martyniaceae,,Proboscidea,,"unibracteata",,"","Decne.",Unresolved,,L,WCSP (in review),,1032561-2,"Ann. Sci. Nat., Bot.","V, 3: 325","","1865",
tro-50147968,A,Martyniaceae,,Proboscidea,,"violacea",,"","(Engelm.) Decne.",Synonym,,M,TRO,50147968,675908-1,"Ann. Sci. Nat., Bot., sér. 5,","3: 325","325","1865",tro-19900005
