ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
tro-13200721,A,Salicaceae,,Prockia,,"acuta",,"","Sessé & Moc. ex DC.",Synonym,,M,TRO,13200721,835033-1,"Prodr.","1: 260","260","1824",kew-4551315
kew-165633,A,Euphorbiaceae,,Prockia,,"albicans",,"","Blanco",Synonym,,H,WCSP,165633,835034-1,"Fl. Filip.","430","","1837",kew-41397
tro-13200728,A,Salicaceae,,Prockia,,"bahiensis",,"","Turcz.",Synonym,,M,TRO,13200728,835035-1,"Bjull. Moskovsk. Obač. Isp. Prir., Otd. Biol.","27(2): 335","335","1854",kew-4551315
tro-13200722,A,Salicaceae,,Prockia,,"completa",,"","Hook.",Synonym,,M,TRO,13200722,835036-1,"Icon. Pl.","1: t. 94","t. 94","1837",kew-4551315
tro-13200733,A,Salicaceae,,Prockia,,"costaricensis",,"","Standl.",Accepted,,M,TRO,13200733,210345-2,"Publ. Field Mus. Nat. Hist., Bot. Ser.","18(2): 723","723","1937",
kew-4551314,A,Salicaceae,,Prockia,,"crucifolia",,"","Müll.Berol.",Unresolved,,L,WCSP (in review),,835037-1,"Ann. Bot. Syst.","7: 451","","1869",
kew-4551315,A,Salicaceae,,Prockia,,"crucis",,"","P.Browne ex L.",Accepted,,M,WCSP (in review),,321266-2,"Syst. Nat. ed. 10","2: 1074","","1759",
tro-13200720,A,Salicaceae,,Prockia,,"crucis",var.,"cordata","DC.",Synonym,,L,TRO,13200720,210346-2,"Prodr.","1: 260","260","1824",kew-4551315
tro-13200734,A,Salicaceae,,Prockia,,"crucis",var.,"septemnervia","(Spreng.) Sleumer",Synonym,,L,TRO,13200734,210347-2,"Notizbl. Bot. Gart. Berlin-Dahlem","14: 47","47","1938",kew-4551315
tro-13200724,A,Salicaceae,,Prockia,,"crucis",var.,"villosa","A.J. Richards",Synonym,,L,TRO,13200724,,"Hist. Phys. Cuba, Pl. Vasc.","216","216","1845",kew-4551315
tro-13200920,A,Aphloiaceae,,Prockia,,"deltoides",,"","Poir.",Synonym,,M,TRO,13200920,,"Encycl.","5: 626","626","1804",kew-2643768
tro-13201158,A,Salicaceae,,Prockia,,"flava",,"","H. Karst.",Accepted,,M,TRO,13201158,835040-1,"Fl. Columb.","2: 79, pl. 140, f. 2","79","1863",
tro-13200256,A,Salicaceae,,Prockia,,"glabra",,"","Briq.",Synonym,,M,TRO,13200256,210348-2,"Bull. Herb. Boissier","2(7): 667","667","1907",kew-4551315
tro-13200731,A,Salicaceae,,Prockia,,"grandiflora",,"","Herzog",Synonym,,M,TRO,13200731,210349-2,"Repert. Spec. Nov. Regni Veg.","7: 62","62","1909",kew-4551315
tro-13200257,A,Salicaceae,,Prockia,,"hassleri",,"","Briq.",Synonym,,M,TRO,13200257,210350-2,"Bull. Herb. Boissier","2(7): 666","666","1907",kew-4551315
kew-4551308,A,Salicaceae,,Prockia,,"integrifolia",,"","Willd.",Unresolved,,L,WCSP (in review),,835041-1,"Sp. Pl.","2: 1214","","1799",
tro-50292301,A,Salicaceae,,Prockia,,"krusei",,"","J. Jiménez Ram. & R. Cruz D.",Accepted,,M,TRO,50292301,60439348-2,"Novon","15(2): 298, f. 1","298","2005",
kew-4551286,A,Salicaceae,,Prockia,,"laciniata",,"","Poir.",Unresolved,,L,WCSP (in review),,835042-1,"Encycl.","5: 627","","1804",
kew-4551287,A,Salicaceae,,Prockia,,"lobata",,"","Poir.",Unresolved,,L,WCSP (in review),,835043-1,"Encycl.","5: 627","","1804",
