ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2406519,A,Acanthaceae,,Pseudobarleria,,"caerulea",,"","(Roxb.) Oerst.",Unresolved,,L,WCSP (in review),,53367-1,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn","1854: 135","","1855",kew-2670235
tro-101737,A,Acanthaceae,,Pseudobarleria,,"canescens",,"","Engl.",Synonym,,M,TRO,101737,,"","","","",tro-101735
tro-101741,A,Acanthaceae,,Pseudobarleria,,"coccinea",,"","Lindau",Synonym,,M,TRO,101741,,"","","","",kew-2405992
kew-2406518,A,Acanthaceae,,Pseudobarleria,,"currori",,"","Lindau",Unresolved,,L,WCSP (in review),,53368-1,"Nat. Pflanzenfam.","4(3b): 300","","1895",
kew-2406517,A,Acanthaceae,,Pseudobarleria,,"engleriana",,"","Schinz",Unresolved,,L,WCSP (in review),,53369-1,"Verh. Bot. Vereins Prov. Brandenburg","31: 197","","1890",
tro-101768,A,Acanthaceae,,Pseudobarleria,,"glandulifera",,"","Lindau",Synonym,,M,TRO,101768,,"","","","",tro-101767
kew-2406550,A,Acanthaceae,,Pseudobarleria,,"glandulosa",,"","(S.Moore) Lindau",Synonym,,M,WCSP (in review),,53372-1,"Nat. Pflanzenfam.","4(3b): 299","","1895",kew-2406020
kew-2406526,A,Acanthaceae,,Pseudobarleria,,"glutinosa",,"","Engl.",Unresolved,,L,WCSP (in review),,53374-1,"Bot. Jahrb. Syst.","10: 259","","1888",kew-2405995
kew-2406563,A,Acanthaceae,,Pseudobarleria,,"halimioides",,"","Lindau",Unresolved,,L,WCSP (in review),,53375-1,"Nat. Pflanzenfam.","4(3b): 300","","1895",
kew-2406561,A,Acanthaceae,,Pseudobarleria,,"hirsuta",,"","T.Anderson",Synonym,Illegitimate,M,WCSP (in review),,53377-1,"J. Proc. Linn. Soc., Bot.","7: 26","","1864",kew-2405989
kew-2406562,A,Acanthaceae,,Pseudobarleria,,"hirsuta",,"","Oerst.",Synonym,,M,WCSP (in review),,53376-1,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn","1854: 135","","1855",kew-2670235
tro-101753,A,Acanthaceae,,Pseudobarleria,,"lanata",,"","Engl.",Synonym,,M,TRO,101753,,"","","","",tro-101752
kew-2406558,A,Acanthaceae,,Pseudobarleria,,"latifolia",,"","Schinz",Unresolved,,L,WCSP (in review),,53381-1,"Verh. Bot. Vereins Prov. Brandenburg","31: 197","","1890",
kew-2406556,A,Acanthaceae,,Pseudobarleria,,"lepidagathis",,"","Lindau",Unresolved,,L,WCSP (in review),,53382-1,"Nat. Pflanzenfam.","4(3b): 300","","1895",
kew-2406555,A,Acanthaceae,,Pseudobarleria,,"lindaui",,"","Dewèvre",Unresolved,,L,WCSP (in review),,53383-1,"Bull. Soc. Roy. Bot. Belgique","33(2): 104","","1894 publ. 1895",
tro-101757,A,Acanthaceae,,Pseudobarleria,,"linifolia",,"","Lindau",Synonym,,M,TRO,101757,,"","","","",tro-101754
kew-2406539,A,Acanthaceae,,Pseudobarleria,,"loranthifolia",,"","Lindau",Unresolved,,L,WCSP (in review),,53386-1,"Nat. Pflanzenfam.","4(3b): 300","","1895",
kew-2406564,A,Acanthaceae,,Pseudobarleria,,"ovata",,"","Schinz",Unresolved,,L,WCSP (in review),,53388-1,"Verh. Bot. Vereins Prov. Brandenburg","31: 198","","1890",kew-2406013
kew-2406549,A,Acanthaceae,,Pseudobarleria,,"physaloides",,"","Lindau",Unresolved,,L,WCSP (in review),,53389-1,"Nat. Pflanzenfam.","4(3b): 299","","1895",
kew-2406548,A,Acanthaceae,,Pseudobarleria,,"polystachya",,"","(Hook. ex Nees) Oerst.",Synonym,,M,WCSP (in review),,53390-1,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn","1854: 135","","1855",kew-2900664
kew-2406547,A,Acanthaceae,,Pseudobarleria,,"polytricha",,"","(Wall.) Oerst.",Unresolved,,L,WCSP (in review),,53391-1,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn","1854: 135","","1855",kew-2670235
kew-2406546,A,Acanthaceae,,Pseudobarleria,,"richardiana",,"","Oerst.",Unresolved,,L,WCSP (in review),,53392-1,"Vidensk. Meddel. Naturhist. Foren. Kjøbenhavn","1854: 135","","1855",kew-2670182
kew-2406545,A,Acanthaceae,,Pseudobarleria,,"rupestris",,"","Lindau",Unresolved,,L,WCSP (in review),,53393-1,"Nat. Pflanzenfam.","4(3b): 300","","1895",
tro-101780,A,Acanthaceae,,Pseudobarleria,,"variabilis",,"","Engl.",Synonym,,M,TRO,101780,,"","","","",tro-101773
kew-2406542,A,Acanthaceae,,Pseudobarleria,,"welwitschii",,"","Lindau",Unresolved,,L,WCSP (in review),,53396-1,"Nat. Pflanzenfam.","4(3b): 300","","1895",
