ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-2897124,A,Loranthaceae,,Psittacanthus,,"acevedoi",,"","Kuijt",Unresolved,,L,WCSP (in review),,77101489-1,"Syst. Bot. Monogr.","86: 57","","2009",
kew-2536989,A,Loranthaceae,,Psittacanthus,,"acinarius",,"","(Mart.) Mart.",Accepted,,M,WCSP (in review),,551333-1,"Flora","13: 108","","1830",
kew-2897125,A,Loranthaceae,,Psittacanthus,,"acuminatus",,"","Kuijt",Unresolved,,L,WCSP (in review),,77101490-1,"Syst. Bot. Monogr.","86: 66","","2009",
kew-2536676,A,Loranthaceae,,Psittacanthus,,"acutifolius",,"","(Ruiz & Pav.) G.Don",Synonym,,M,WCSP (in review),,551334-1,"Gen. Hist.","3: 417","","1834",kew-2441832
kew-2897126,A,Loranthaceae,,Psittacanthus,,"acutus",,"","Kuijt",Unresolved,,L,WCSP (in review),,77101491-1,"Syst. Bot. Monogr.","86: 66","","2009",
tro-100000860,A,Loranthaceae,,Psittacanthus,,"aequatorius",,"","Kuijt",Accepted,,M,TRO,100000860,77101492-1,"Syst. Bot. Monogr.","86: 70, f. 22a–b","70","2009",
tro-19100646,A,Loranthaceae,,Psittacanthus,,"allenii",,"","Woodson & Schery",Synonym,,M,TRO,19100646,212108-2,"Ann. Missouri Bot. Gard.","27(3): 309","309","1940",tro-19100610
tro-19101646,A,Loranthaceae,,Psittacanthus,,"amazonicus",,"","(Ule) Kuijt",Accepted,,M,TRO,19101646,913237-1,"Candollea","38(2): 670","670","1983",
tro-50263461,A,Loranthaceae,,Psittacanthus,,"americanus",,"","(L.) Mart.",Accepted,,M,TRO,50263461,551336-1,"Flora","13(1): 108","108","1830",
tro-19100530,A,Loranthaceae,,Psittacanthus,,"amplexifolius",,"","Engl.",Accepted,,M,TRO,19100530,212109-2,"Nat. Pflanzenfam.","Nachtr. 1: 136","136","1897",
kew-2536957,A,Loranthaceae,,Psittacanthus,,"angustifolius",,"","Kuijt",Accepted,,M,WCSP (in review),,283932-2,"Ann. Missouri Bot. Gard.","74: 523","","1987",
kew-2897128,A,Loranthaceae,,Psittacanthus,,"antioquiensis",,"","Kuijt",Unresolved,,L,WCSP (in review),,77101493-1,"Syst. Bot. Monogr.","86: 79","","2009",
tro-50318348,A,Loranthaceae,,Psittacanthus,,"atrolineatus",,"","Kuijt",Accepted,,M,TRO,50318348,,"","","","",
tro-19101254,A,Loranthaceae,,Psittacanthus,,"auriculatus",,"","(Oliv.) Eichler",Accepted,,M,TRO,19101254,551338-1,"Fl. Bras.","5(2): 25","25","1865",
tro-50310303,A,Loranthaceae,,Psittacanthus,,"baguensis",,"","Kuijt",Accepted,,M,TRO,50310303,,"","","","",
tro-19101411,A,Loranthaceae,,Psittacanthus,,"barlowii",,"","Kuijt",Accepted,,M,TRO,19101411,283933-2,"Fl. Ecuador","24: 185–187, f. 34","185","1986",
kew-2897131,A,Loranthaceae,,Psittacanthus,,"bergii",,"","Kuijt",Unresolved,,L,WCSP (in review),,77101496-1,"Syst. Bot. Monogr.","86: 85","","2009",
kew-2536954,A,Loranthaceae,,Psittacanthus,,"berteroi",,"","G.Don",Unresolved,,L,WCSP (in review),,551339-1,"Gen. Hist.","3: 418","","1834",kew-2352910
kew-2536942,A,Loranthaceae,,Psittacanthus,,"bicalyculatus",,"","Mart.",Unresolved,,L,WCSP (in review),,551340-1,"Flora","13: 108","","1830",kew-2352886
kew-2536962,A,Loranthaceae,,Psittacanthus,,"biternatus",,"","(Hoffmanns.) G.Don",Accepted,,M,WCSP (in review),,551342-1,"Gen. Hist.","3: 415","","1834",
tro-19100196,A,Loranthaceae,,Psittacanthus,,"biternatus",,"","(Hoffsgg. in J.H. Schultes) Blume in Schultes & J.H. Schultes",Synonym,,M,TRO,19100196,551341-1,"Syst. Veg.","7: 1730","1730","1830",kew-2536962
kew-2897132,A,Loranthaceae,,Psittacanthus,,"bolbocephalus",,"","Kuijt",Unresolved,,L,WCSP (in review),,77101497-1,"Syst. Bot. Monogr.","86: 91","","2009",
kew-2897133,A,Loranthaceae,,Psittacanthus,,"bolivarensis",,"","Kuijt",Unresolved,,L,WCSP (in review),,77101498-1,"Syst. Bot. Monogr.","86: 93","","2009",
kew-2536950,A,Loranthaceae,,Psittacanthus,,"brachynema",,"","Eichler",Accepted,,M,WCSP (in review),,551343-1,"Fl. Bras.","5(2): 29","","1868",
kew-2897134,A,Loranthaceae,,Psittacanthus,,"brachypodus",,"","Kuijt",Unresolved,,L,WCSP (in review),,77101499-1,"Syst. Bot. Monogr.","86: 97","","2009",
tro-50318215,A,Loranthaceae,,Psittacanthus,,"brasiliensis",,"","(Desr.) Blume",Accepted,,M,TRO,50318215,551344-1,"Syst. Veg.","7(2): 1730","1730","1830",
tro-50066502,A,Loranthaceae,,Psittacanthus,,"breedlovei",,"","Kuijt",Accepted,,M,TRO,50066502,301853-2,"Novon","6(1): 51, f. 12","51","1996",
tro-50302270,A,Loranthaceae,,Psittacanthus,,"cajamarcanae",,"","Kuijt",Unresolved,,L,TRO,50302270,,"","","","",
kew-2897135,A,Loranthaceae,,Psittacanthus,,"cajamarcanus",,"","Kuijt",Unresolved,,L,WCSP (in review),,77101500-1,"Syst. Bot. Monogr.","86: 102","","2009",
tro-19100531,A,Loranthaceae,,Psittacanthus,,"calcaratus",,"","A.C. Sm.",Accepted,,M,TRO,19100531,212111-2,"Bull. Torrey Bot. Club","58: 89","89","1931",
kew-2536945,A,Loranthaceae,,Psittacanthus,,"calyculatus",,"","(DC.) G.Don",Accepted,,M,WCSP (in review),,551347-1,"Gen. Hist.","3: 415","","1834",
tro-50231713,A,Loranthaceae,,Psittacanthus,,"calyculatus",var.,"calyculatus","",Synonym,,L,TRO,50231713,,"","","","",kew-2536945
kew-2536944,A,Loranthaceae,,Psittacanthus,,"calyculatus",var.,"wurdackii","Rizzini",Synonym,,L,WCSP (in review),,283934-2,"Rodriguésia","28(41): 15","","1976",kew-2873033
tro-19100532,A,Loranthaceae,,Psittacanthus,,"cardiphyllus",,"","(Willd. ex Roem. & Schult.) Eichler",Accepted,,M,TRO,19100532,551348-1,"Fl. Bras.","5(2): 27","27","1868",
kew-2897136,A,Loranthaceae,,Psittacanthus,,"carinatus",,"","Kuijt",Unresolved,,L,WCSP (in review),,77101501-1,"Syst. Bot. Monogr.","86: 108","","2009",
kew-2897137,A,Loranthaceae,,Psittacanthus,,"carnosus",,"","Kuijt",Unresolved,,L,WCSP (in review),,77101502-1,"Syst. Bot. Monogr.","86: 110","","2009",
